name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,"Federal fiscal year of the disclosure file the case was published in, running from 1 October to 30 September",,no,diretorios_data_tempo.ano:ano,year,no,"Partition column. Fiscal year, 1 October to 30 September, taken from the source file rather than from any date in the row",
case_number,STRING,"Case number assigned by the Office of Foreign Labor Certification to the permanent labor certification application, unique within the fiscal year",,no,,,no,"Case number formats differ across the eFile, iCERT and FLAG systems; uniqueness is guaranteed only within a fiscal year",
case_status,STRING,Outcome of the application at the time the file was published,,yes,,,no,,
received_date,DATE,Date the application was received by the Department of Labor,,no,,,no,,
decision_date,DATE,Date the Department of Labor issued its determination on the application,,no,,,no,,
employer_name,STRING,Legal business name of the employer filing the application,,no,,,no,,
employer_trade_name,STRING,Trade name or doing-business-as name of the employer,,no,,,no,,
employer_address,STRING,First line of the employer's business address,,no,,,no,,
employer_city,STRING,City of the employer's business address,,no,,,no,,
employer_state,STRING,USPS two-letter abbreviation of the state of the employer's business address,,no,,,no,"USPS abbreviation, normalised by Data Basis — the source writes full state names in some years and abbreviations in others. Not linked to the US state directory, which is keyed on the FIPS code; referential coverage is checked by a dbt test instead",
employer_postal_code,STRING,ZIP code of the employer's business address,,no,,,no,,
employer_country,STRING,Country of the employer's business address,,no,,,no,,
naics_id,STRING,North American Industry Classification System code of the employer's industry,,no,,,no,"NAICS vintage follows the year of filing and code length varies from 2 to 6 digits, so codes are not linked to a directory",
job_title,STRING,"Job title of the position offered, as written by the employer",,no,,,no,,
soc_id,STRING,Standard Occupational Classification code of the position offered,,no,,,no,"SOC vintage follows the year of filing (SOC 2000, 2010 or 2018), so codes are not comparable across the whole series and are not linked to a directory",
soc_title,STRING,Standard Occupational Classification title of the position offered,,no,,,no,,
full_time_position,STRING,Whether the position offered is full time,,yes,,,no,,
wage_offered_from,FLOAT64,"Wage offered to the worker, at the bottom of the offered range, in the unit given by wage_unit_of_pay",,no,,usd,no,,
wage_offered_to,FLOAT64,"Wage offered to the worker, at the top of the offered range, in the unit given by wage_unit_of_pay",,no,,usd,no,,
wage_unit_of_pay,STRING,"Period the offered wage refers to, harmonised by Data Basis to hour, day, week, bi-weekly, semi-monthly, month, year or piece rate",,yes,,,no,"Harmonised by Data Basis from vocabularies that differ by year and program (Hour, HR, Hourly all become hour)",
wage_offered_from_annual,FLOAT64,"Offered wage at the bottom of the range converted to an annual amount by Data Basis, null when the unit is missing or is a piece rate",,no,,usd,no,"Derived by Data Basis: the offered wage multiplied by 2080 for hourly, 260 for daily, 52 for weekly, 26 for bi-weekly, 24 for semi-monthly and 12 for monthly pay. Null when the unit is absent or is a piece rate",
wage_offered_to_annual,FLOAT64,"Offered wage at the top of the range converted to an annual amount by Data Basis, null when the unit is missing or is a piece rate",,no,,usd,no,Derived by Data Basis using the same factors as wage_offered_from_annual,
prevailing_wage,FLOAT64,"Prevailing wage determined for the occupation and area, in the unit given by prevailing_wage_unit_of_pay",,no,,usd,no,"Not published from FY2025, when the redesigned ETA-9089 replaced the wage amount with a reference to the prevailing wage determination case number",
prevailing_wage_unit_of_pay,STRING,"Period the prevailing wage refers to, harmonised by Data Basis to hour, day, week, bi-weekly, semi-monthly, month, year or piece rate",,yes,,,no,Harmonised by Data Basis in the same way as wage_unit_of_pay,
prevailing_wage_annual,FLOAT64,"Prevailing wage converted to an annual amount by Data Basis, null when the unit is missing or is a piece rate",,no,,usd,no,Derived by Data Basis using the same factors as wage_offered_from_annual,
prevailing_wage_level,STRING,"Skill level of the prevailing wage determination, from Level I to Level IV",,yes,,,no,,
