name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do voo programado,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column.,Year,Year of the scheduled flight,Año del vuelo programado
quarter,INT64,"Trimestre do voo programado, de 1 a 4",,no,,quarter,no,Derivable from month; kept as published.,Quarter,"Quarter of the scheduled flight, 1 to 4","Trimestre del vuelo programado, de 1 a 4"
month,INT64,"Mês do voo programado, de 1 a 12",,no,br_bd_diretorios_data_tempo.mes:mes,month,no,,Month,"Month of the scheduled flight, 1 to 12","Mes del vuelo programado, de 1 a 12"
day_of_month,INT64,Dia do mês do voo programado,,no,,day,no,,DayofMonth,Day of month of the scheduled flight,Día del mes del vuelo programado
day_of_week,STRING,"Dia da semana do voo programado, com 1 para segunda-feira",,yes,,,no,"A weekday label rather than a quantity, so STRING.",DayOfWeek,"Day of week of the scheduled flight, with 1 for Monday","Día de la semana del vuelo programado, con 1 para lunes"
flight_date,DATE,"Data do voo programado, na hora local do aeroporto de origem",,no,,,no,,FlightDate,"Date of the scheduled flight, in origin-airport local time","Fecha del vuelo programado, en hora local del aeropuerto de origen"
reporting_carrier,STRING,Código único da empresa aérea que reportou o voo,,yes,,,no,"When a code has been reused, earlier users carry a numeric suffix such as PA(1). This is the field to use for analysis across a range of years.",Reporting_Airline,Unique carrier code of the airline that reported the flight,Código único de la aerolínea que reportó el vuelo
reporting_carrier_airline_id,STRING,Identificador numérico da empresa aérea atribuído pelo US DOT,,yes,,,no,"One identifier per DOT certificate, stable regardless of code, name or holding company.",DOT_ID_Reporting_Airline,Numeric US DOT identifier of the reporting airline,Identificador numérico de la aerolínea asignado por el US DOT
reporting_carrier_iata_code,STRING,Código IATA da empresa aérea que reportou o voo,,no,,,no,Not unique over time; the same code has been assigned to different carriers. Use reporting_carrier for analysis.,IATA_CODE_Reporting_Airline,IATA code of the reporting airline,Código IATA de la aerolínea que reportó el vuelo
tail_number,STRING,Prefixo de registro da aeronave,,no,,,no,,Tail_Number,Aircraft tail number,Matrícula de la aeronave
flight_number,STRING,Número do voo atribuído pela empresa aérea,,no,,,no,"An identifier, not a quantity.",Flight_Number_Reporting_Airline,Flight number assigned by the reporting carrier,Número de vuelo asignado por la aerolínea
origin_airport_id,STRING,Identificador numérico do aeroporto de origem atribuído pelo US DOT,,no,,,no,"Stable across time, unlike the airport code. Resolved by the `airport` table in this dataset; no US airport directory exists yet.",OriginAirportID,Numeric US DOT identifier of the origin airport,Identificador numérico del aeropuerto de origen asignado por el US DOT
origin_airport_seq_id,STRING,Identificador da versão datada do aeroporto de origem,,no,,,no,Changes when airport attributes such as name or coordinates change.,OriginAirportSeqID,Identifier of the time-specific version of the origin airport,Identificador de la versión fechada del aeropuerto de origen
origin_city_market_id,STRING,Identificador do mercado urbano de origem atribuído pelo US DOT,,no,,,no,Consolidates airports serving the same city market.,OriginCityMarketID,US DOT city market identifier of the origin,Identificador del mercado urbano de origen asignado por el US DOT
origin,STRING,Código do aeroporto de origem,,yes,,,no,Airport codes can be reused over time; join on origin_airport_id for analysis across a range of years.,Origin,Code of the origin airport,Código del aeropuerto de origen
origin_city_name,STRING,Cidade do aeroporto de origem,,no,,,no,,OriginCityName,City of the origin airport,Ciudad del aeropuerto de origen
origin_state_abbreviation,STRING,Sigla da unidade federativa do aeroporto de origem,,yes,,,no,Includes Canadian provinces and US territories.,OriginState,State abbreviation of the origin airport,Sigla del estado del aeropuerto de origen
origin_state_fips,STRING,Código FIPS do estado do aeroporto de origem,,yes,,,no,,OriginStateFips,FIPS state code of the origin airport,Código FIPS del estado del aeropuerto de origen
origin_state_name,STRING,Nome do estado do aeroporto de origem,,no,,,no,,OriginStateName,State name of the origin airport,Nombre del estado del aeropuerto de origen
origin_world_area_code,STRING,Código de área mundial do aeroporto de origem,,yes,,,no,,OriginWac,World area code of the origin airport,Código de área mundial del aeropuerto de origen
