name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano-calendário do acidente,Calendar year of the crash,Año calendario del accidente,1975(1)2024,no,diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento,Partition column,Columna de particionamiento,YEAR
state_id,STRING,Código FIPS de duas posições do estado onde ocorreu o acidente,Two-digit FIPS code of the state where the crash occurred,Código FIPS de dos posiciones del estado donde ocurrió el accidente,1975(1)2024,no,diretorios_us.state:id_state,,no,O arquivo nacional cobre os 50 estados e o Distrito de Columbia; Porto Rico e demais territórios são publicados separadamente e não estão incluídos,The national file covers the 50 states and the District of Columbia; Puerto Rico and the other territories are published separately and are not included,El archivo nacional cubre los 50 estados y el Distrito de Columbia; Puerto Rico y los demás territorios se publican por separado y no están incluidos,STATE
county_id,STRING,Código FIPS de cinco posições do condado onde ocorreu o acidente,Five-digit FIPS code of the county where the crash occurred,Código FIPS de cinco posiciones del condado donde ocurrió el accidente,1975(1)2024,no,diretorios_us.county:id_county,,no,Construído como estado (2 dígitos) + condado (3 dígitos); nulo quando o código de condado é 0 (não aplicável) ou 997-999 (desconhecido),Built as state (2 digits) + county (3 digits); null where the county code is 0 (not applicable) or 997-999 (unknown),Construido como estado (2 dígitos) + condado (3 dígitos); nulo cuando el código de condado es 0 (no aplicable) o 997-999 (desconocido),COUNTY
case_number,STRING,"Número do caso atribuído pelo estado, único dentro do par estado-ano","Case number assigned by the state, unique within the state-year pair","Número de caso asignado por el estado, único dentro del par estado-año",1975(1)2024,no,,,no,"Chave primária lógica da tabela junto com year e state_id, e chave de ligação com vehicle e person","Logical primary key of the table together with year and state_id, and the join key to vehicle and person","Clave primaria lógica de la tabla junto con year y state_id, y clave de unión con vehicle y person",ST_CASE
city_code,STRING,Código NHTSA do município ou cidade onde ocorreu o acidente,NHTSA code of the city or municipality where the crash occurred,Código NHTSA de la ciudad o municipio donde ocurrió el accidente,1975(1)2024,yes,,,no,"Codificação própria da NHTSA, que não corresponde ao código FIPS de place; 0 indica área não incorporada","NHTSA's own coding, which does not correspond to the FIPS place code; 0 marks an unincorporated area","Codificación propia de la NHTSA, que no corresponde al código FIPS de place; 0 indica área no incorporada",CITY
date,DATE,Data do acidente,Date of the crash,Fecha del accidente,1975(1)2024,no,,,no,"Derivada de year, month e day; nula quando mês ou dia trazem código de desconhecido","Derived from year, month and day; null where month or day carry an unknown code","Derivada de year, month y day; nula cuando mes o día traen código de desconocido",
month,INT64,Mês-calendário do acidente,Calendar month of the crash,Mes calendario del accidente,1975(1)2024,no,diretorios_data_tempo.mes:mes,month,no,,,,MONTH
day,INT64,Dia do mês em que ocorreu o acidente,Day of the month on which the crash occurred,Día del mes en que ocurrió el accidente,1975(1)2024,no,,day,no,,,,DAY
day_of_week_code,STRING,Dia da semana em que ocorreu o acidente,Day of the week on which the crash occurred,Día de la semana en que ocurrió el accidente,1975(1)2024,yes,,,no,"Coluna codificada; o conjunto de códigos mudou ao longo do tempo, portanto consulte a tabela dicionario pelo par (código, cobertura_temporal)","Coded column; the code set changed over time, so read it against the dicionario table on the (code, temporal coverage) pair","Columna codificada; el conjunto de códigos cambió con el tiempo, por lo que debe leerse en la tabla dicionario por el par (código, cobertura temporal)",DAY_WEEK
hour,INT64,"Hora do acidente, no relógio de 24 horas","Hour of the crash, on the 24-hour clock","Hora del accidente, en el reloj de 24 horas",1975(1)2024,no,,hour,no,,,,HOUR
minute,INT64,Minuto do acidente,Minute of the crash,Minuto del accidente,1975(1)2024,no,,minute,no,,,,MINUTE
latitude,FLOAT64,"Latitude do local do acidente, em graus decimais","Latitude of the crash location, in decimal degrees","Latitud del lugar del accidente, en grados decimales",1999(1)2024,no,,degree,no,"Publicada a partir de 1999, mas de qualidade irregular antes de aproximadamente 2001, quando o georreferenciamento passou a ser exigido de todos os estados; valores de preenchimento (77.7777, 88.8888, 99.9999) foram convertidos em nulo","Published from 1999 on, but of uneven quality before roughly 2001, when georeferencing became required of every state; filler values (77.7777, 88.8888, 99.9999) were converted to null","Publicada desde 1999, pero de calidad irregular antes de aproximadamente 2001, cuando el georreferenciamiento pasó a exigirse a todos los estados; los valores de relleno (77.7777, 88.8888, 99.9999) se convirtieron en nulo",LATITUDE|latitude
longitude,FLOAT64,"Longitude do local do acidente, em graus decimais","Longitude of the crash location, in decimal degrees","Longitud del lugar del accidente, en grados decimales",1999(1)2024,no,,degree,no,Mesmas ressalvas de qualidade e de valores de preenchimento descritas em latitude,Same quality and filler-value caveats described under latitude,Mismas advertencias de calidad y de valores de relleno descritas en latitude,LONGITUD|longitud
trafficway_id,STRING,"Identificação da via em que ocorreu o acidente, conforme registrada pelo estado","Identifier of the trafficway on which the crash occurred, as recorded by the state","Identificación de la vía en que ocurrió el accidente, según registro del estado",1982(1)2024,no,,,no,,,,TWAY_ID
milepoint,FLOAT64,"Marco quilométrico, em milhas, do ponto do acidente na via","Milepost, in miles, of the crash point along the trafficway","Hito, en millas, del punto del accidente en la vía",1982(1)2024,no,,mile,no,,,,MILEPT
