name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano-calendário do acidente,Calendar year of the crash,Año calendario del accidente,1975(1)2024,no,diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento; derivada do arquivo anual de origem,Partition column; taken from the source annual file,Columna de particionamiento; derivada del archivo anual de origen,
state_id,STRING,Código FIPS de duas posições do estado onde ocorreu o acidente,Two-digit FIPS code of the state where the crash occurred,Código FIPS de dos posiciones del estado donde ocurrió el accidente,1975(1)2024,no,diretorios_us.state:id_state,,no,,,,STATE
case_number,STRING,"Número do caso atribuído pelo estado, único dentro do par estado-ano","Case number assigned by the state, unique within the state-year pair","Número de caso asignado por el estado, único dentro del par estado-año",1975(1)2024,no,,,no,Chave de ligação com as tabelas crash e vehicle,Join key to the crash and vehicle tables,Clave de unión con las tablas crash y vehicle,ST_CASE
vehicle_number,INT64,Número do veículo em que a pessoa estava; 0 identifica quem não estava em veículo automotor,Number of the vehicle the person was in; 0 identifies someone not in a motor vehicle,Número del vehículo en que estaba la persona; 0 identifica a quien no estaba en un vehículo automotor,1975(1)2024,no,,vehicle,no,"Pedestres, ciclistas e demais não ocupantes recebem vehicle_number igual a 0 e não têm correspondência na tabela vehicle","Pedestrians, cyclists and other non-occupants take vehicle_number 0 and have no counterpart row in the vehicle table","Peatones, ciclistas y demás no ocupantes reciben vehicle_number igual a 0 y no tienen correspondencia en la tabla vehicle",VEH_NO
person_number,INT64,Número sequencial da pessoa dentro do veículo ou do acidente,Sequential number of the person within the vehicle or the crash,Número secuencial de la persona dentro del vehículo o del accidente,1975(1)2024,no,,person,no,"Compõe a chave primária lógica da tabela com year, state_id, case_number e vehicle_number","Together with year, state_id, case_number and vehicle_number forms the logical primary key of the table","Junto con year, state_id, case_number y vehicle_number forma la clave primaria lógica de la tabla",PER_NO
age,INT64,Idade da pessoa em anos completos no momento do acidente,Age of the person in completed years at the time of the crash,Edad de la persona en años cumplidos en el momento del accidente,1975(1)2024,no,,year,no,"Códigos de desconhecido e não reportado foram convertidos em nulo; a sentinela mudou de 99 para o par 998/999 em 2009, de modo que uma leitura numérica ingênua registraria idades de 99 ou 999 anos","Unknown and not-reported codes were converted to null; the sentinel moved from 99 to the pair 998/999 in 2009, so a naive numeric read would record ages of 99 or 999 years","Los códigos de desconocido y no reportado se convirtieron en nulo; el centinela cambió de 99 al par 998/999 en 2009, de modo que una lectura numérica ingenua registraría edades de 99 o 999 años",AGE
sex_code,STRING,Sexo da pessoa,Sex of the person,Sexo de la persona,1975(1)2024,yes,,,no,"Coluna codificada; o conjunto de códigos mudou ao longo do tempo, portanto consulte a tabela dicionario pelo par (código, cobertura_temporal)","Coded column; the code set changed over time, so read it against the dicionario table on the (code, temporal coverage) pair","Columna codificada; el conjunto de códigos cambió con el tiempo, por lo que debe leerse en la tabla dicionario por el par (código, cobertura temporal)",SEX
person_type_code,STRING,"Tipo de pessoa: condutor, passageiro, pedestre, ciclista ou outro não ocupante","Type of person: driver, passenger, pedestrian, cyclist or other non-occupant","Tipo de persona: conductor, pasajero, peatón, ciclista u otro no ocupante",1975(1)2024,yes,,,no,"Coluna codificada; o conjunto de códigos mudou ao longo do tempo, portanto consulte a tabela dicionario pelo par (código, cobertura_temporal)","Coded column; the code set changed over time, so read it against the dicionario table on the (code, temporal coverage) pair","Columna codificada; el conjunto de códigos cambió con el tiempo, por lo que debe leerse en la tabla dicionario por el par (código, cobertura temporal)",PER_TYP
injury_severity_code,STRING,Gravidade da lesão sofrida pela pessoa,Severity of the injury sustained by the person,Gravedad de la lesión sufrida por la persona,1975(1)2024,yes,,,no,"A escala foi revisada seis vezes entre 1975 e 2024, incluindo a adoção da escala KABCO em 2010; comparações entre eras exigem a tabela dicionario","The scale was revised six times between 1975 and 2024, including the move to the KABCO scale in 2010; comparisons across eras require the dicionario table","La escala fue revisada seis veces entre 1975 y 2024, incluida la adopción de la escala KABCO en 2010; las comparaciones entre eras exigen la tabla dicionario",INJ_SEV
seating_position_code,STRING,Posição ocupada pela pessoa no veículo,Seating position occupied by the person in the vehicle,Posición ocupada por la persona en el vehículo,1975(1)2024,yes,,,no,"Coluna codificada; o conjunto de códigos mudou ao longo do tempo, portanto consulte a tabela dicionario pelo par (código, cobertura_temporal)","Coded column; the code set changed over time, so read it against the dicionario table on the (code, temporal coverage) pair","Columna codificada; el conjunto de códigos cambió con el tiempo, por lo que debe leerse en la tabla dicionario por el par (código, cobertura temporal)",SEAT_POS
