name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano-calendário do acidente,Calendar year of the crash,Año calendario del accidente,1975(1)2024,no,diretorios_data_tempo.ano:ano,year,no,"Coluna de particionamento; derivada do arquivo anual de origem, pois vehicle.csv não traz a coluna de ano em todos os anos","Partition column; taken from the source annual file, because vehicle.csv does not carry a year column in every year","Columna de particionamiento; derivada del archivo anual de origen, pues vehicle.csv no trae la columna de año en todos los años",
state_id,STRING,Código FIPS de duas posições do estado onde ocorreu o acidente,Two-digit FIPS code of the state where the crash occurred,Código FIPS de dos posiciones del estado donde ocurrió el accidente,1975(1)2024,no,diretorios_us.state:id_state,,no,,,,STATE
case_number,STRING,"Número do caso atribuído pelo estado, único dentro do par estado-ano","Case number assigned by the state, unique within the state-year pair","Número de caso asignado por el estado, único dentro del par estado-año",1975(1)2024,no,,,no,Chave de ligação com a tabela crash,Join key to the crash table,Clave de unión con la tabla crash,ST_CASE
vehicle_number,INT64,Número sequencial do veículo dentro do acidente,Sequential number of the vehicle within the crash,Número secuencial del vehículo dentro del accidente,1975(1)2024,no,,vehicle,no,"Compõe a chave primária lógica da tabela com year, state_id e case_number","Together with year, state_id and case_number forms the logical primary key of the table","Junto con year, state_id y case_number forma la clave primaria lógica de la tabla",VEH_NO
unit_type_code,STRING,"Tipo de unidade: veículo em movimento, estacionado ou fora de circulação","Type of unit: vehicle in transport, parked, or out of transport","Tipo de unidad: vehículo en movimiento, estacionado o fuera de circulación",2005(1)2024,yes,,,no,"Coluna codificada; o conjunto de códigos mudou ao longo do tempo, portanto consulte a tabela dicionario pelo par (código, cobertura_temporal)","Coded column; the code set changed over time, so read it against the dicionario table on the (code, temporal coverage) pair","Columna codificada; el conjunto de códigos cambió con el tiempo, por lo que debe leerse en la tabla dicionario por el par (código, cobertura temporal)",UNITTYPE
occupants_count,INT64,Número de ocupantes do veículo,Number of occupants of the vehicle,Número de ocupantes del vehículo,1975(1)2024,no,,person,no,"Códigos de desconhecido (99 até 2009, 99 e 999 a partir de 2010) foram convertidos em nulo",Unknown codes (99 through 2009; 99 and 999 from 2010) were converted to null,Los códigos de desconocido (99 hasta 2009; 99 y 999 desde 2010) se convirtieron en nulo,NUMOCCS|OCUPANTS
hit_and_run_code,STRING,Indica se o veículo evadiu-se do local do acidente,Whether the vehicle left the scene of the crash,Indica si el vehículo huyó del lugar del accidente,1975(1)2024,yes,,,no,"Coluna codificada; o conjunto de códigos mudou ao longo do tempo, portanto consulte a tabela dicionario pelo par (código, cobertura_temporal)","Coded column; the code set changed over time, so read it against the dicionario table on the (code, temporal coverage) pair","Columna codificada; el conjunto de códigos cambió con el tiempo, por lo que debe leerse en la tabla dicionario por el par (código, cobertura temporal)",HIT_RUN
registration_state_code,STRING,Estado de emplacamento do veículo,State in which the vehicle is registered,Estado de matriculación del vehículo,1975(1)2024,yes,,,no,"Coluna codificada; o conjunto de códigos mudou ao longo do tempo, portanto consulte a tabela dicionario pelo par (código, cobertura_temporal)","Coded column; the code set changed over time, so read it against the dicionario table on the (code, temporal coverage) pair","Columna codificada; el conjunto de códigos cambió con el tiempo, por lo que debe leerse en la tabla dicionario por el par (código, cobertura temporal)",REG_STAT
owner_code,STRING,Condição de propriedade do veículo,Ownership status of the vehicle,Condición de propiedad del vehículo,1991(1)2024,yes,,,no,"Coluna codificada; o conjunto de códigos mudou ao longo do tempo, portanto consulte a tabela dicionario pelo par (código, cobertura_temporal)","Coded column; the code set changed over time, so read it against the dicionario table on the (code, temporal coverage) pair","Columna codificada; el conjunto de códigos cambió con el tiempo, por lo que debe leerse en la tabla dicionario por el par (código, cobertura temporal)",OWNER
make_code,STRING,Marca do veículo,Make of the vehicle,Marca del vehículo,1975(1)2024,yes,,,no,"Coluna codificada; o conjunto de códigos mudou ao longo do tempo, portanto consulte a tabela dicionario pelo par (código, cobertura_temporal)","Coded column; the code set changed over time, so read it against the dicionario table on the (code, temporal coverage) pair","Columna codificada; el conjunto de códigos cambió con el tiempo, por lo que debe leerse en la tabla dicionario por el par (código, cobertura temporal)",MAKE
