table,name,description_pt,description_en,description_es
institution,year,"Ano de referência da coorte, conforme o arquivo anual publicado pela fonte","Reference year of the cohort, as published in the source's annual file","Año de referencia de la cohorte, según el archivo anual publicado por la fuente"
institution,unitid,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave da tabela us_ed_ipeds; como lá o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)","IPEDS institution identifier (UNITID). Same key as the us_ed_ipeds dataset; that dataset types it as INT64, so joining requires safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). Misma clave que la tabla us_ed_ipeds; allí el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
institution,opeid8,"Código OPE de 8 dígitos da instituição, atribuído pelo Escritório de Educação Superior","8-digit OPE ID of the institution, assigned by the Office of Postsecondary Education","Código OPE de 8 dígitos de la institución, asignado por la Oficina de Educación Superior"
institution,opeid6,"Código OPE de 6 dígitos da instituição, comum a todos os campi de uma mesma entidade","6-digit OPE ID of the institution, shared by every campus of the same entity","Código OPE de 6 dígitos de la institución, común a todos los campus de una misma entidad"
institution,federal_school_code,Código federal da instituição usado no formulário FAFSA,Federal school code used on the FAFSA form,Código federal de la institución usado en el formulario FAFSA
institution,institution_name,Nome da instituição,Institution name,Nombre de la institución
institution,institution_alias,Nomes alternativos e siglas pelos quais a instituição é conhecida,Alternative names and acronyms the institution is known by,Nombres alternativos y siglas por los que se conoce la institución
institution,institution_url,Endereço do sítio eletrônico da instituição,URL of the institution's website,Dirección del sitio web de la institución
institution,net_price_calculator_url,Endereço da calculadora de preço líquido da instituição,URL of the institution's net price calculator,Dirección de la calculadora de precio neto de la institución
institution,address,Endereço da instituição,Street address of the institution,Dirección de la institución
institution,city,Município da instituição,City of the institution,Ciudad de la institución
institution,state_abbreviation,Sigla do estado norte-americano em que a instituição está localizada,Two-letter postal code of the U.S. state where the institution is located,Sigla del estado de los Estados Unidos donde se ubica la institución
institution,zip_code,Código postal (ZIP) da instituição,ZIP code of the institution,Código postal (ZIP) de la institución
institution,state_fips,Código FIPS do estado em que a instituição está localizada,FIPS code of the state where the institution is located,Código FIPS del estado donde se ubica la institución
institution,region,Região do IPEDS em que a instituição está localizada,IPEDS region where the institution is located,Región del IPEDS donde se ubica la institución
institution,locale,"Grau de urbanização do local da instituição, segundo a classificação do NCES","Degree of urbanisation of the institution's locale, per the NCES classification","Grado de urbanización del lugar de la institución, según la clasificación del NCES"
institution,locale_degree_urbanization,Grau de urbanização agregado do local da instituição,Aggregated degree of urbanisation of the institution's locale,Grado de urbanización agregado del lugar de la institución
institution,latitude,Latitude da instituição em graus decimais,Latitude of the institution in decimal degrees,Latitud de la institución en grados decimales
