name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
admcon1,INT64,Secondary school GPA,,no,,,no,,admcon1
admcon2,INT64,Secondary school rank,,no,,,no,,admcon2
admcon3,INT64,Secondary school record,,no,,,no,,admcon3
admcon4,INT64,Completion of college-preparatory program,,no,,,no,,admcon4
admcon5,INT64,Recommendations,,no,,,no,,admcon5
admcon6,INT64,Formal demonstration of competencies,,no,,,no,,admcon6
admcon7,INT64,Admission test scores,,no,,,no,,admcon7
admcon8,INT64,English Proficiency Test,,no,,,no,,admcon8
admcon9,INT64,"Other Test (Wonderlic, WISC-III, etc.)",,no,,,no,,admcon9
admcon10,FLOAT64,Work experience,,no,,,no,,admcon10
admcon11,FLOAT64,Personal statement or essay,,no,,,no,,admcon11
admcon12,FLOAT64,Legacy status,,no,,,no,,admcon12
xapplcn,STRING,Imputation field for APPLCN - Applicants total,,no,,,no,,xapplcn
applicants_total,INT64,Applicants total,,no,,,no,,applcn
xapplcnm,STRING,Imputation field for APPLCNM - Applicants men,,no,,,no,,xapplcnm
applicants_men,FLOAT64,Applicants men,,no,,,no,,applcnm
xapplcnw,STRING,Imputation field for APPLCNW - Applicants women,,no,,,no,,xapplcnw
applicants_women,FLOAT64,Applicants women,,no,,,no,,applcnw
xapplcnan,STRING,Imputation field for APPLCNAN - Applicants another gender,,no,,,no,,xapplcnan
applcnan,FLOAT64,Applicants another gender,,no,,,no,,applcnan
xapplcnun,STRING,Imputation field for APPLCNUN - Applicants gender unknown,,no,,,no,,xapplcnun
applcnun,FLOAT64,Applicants gender unknown,,no,,,no,,applcnun
xadmssn,STRING,Imputation field for ADMSSN - Admissions total,,no,,,no,,xadmssn
admissions_total,FLOAT64,Admissions total,,no,,,no,,admssn
xadmssnm,STRING,Imputation field for ADMSSNM - Admissions men,,no,,,no,,xadmssnm
admissions_men,FLOAT64,Admissions men,,no,,,no,,admssnm
xadmssnw,STRING,Imputation field for ADMSSNW - Admissions women,,no,,,no,,xadmssnw
admissions_women,FLOAT64,Admissions women,,no,,,no,,admssnw
xadmssnan,STRING,Imputation field for ADMSSNAN - Admissions another gender,,no,,,no,,xadmssnan
admssnan,FLOAT64,Admissions another gender,,no,,,no,,admssnan
xadmssnun,STRING,Imputation field for ADMSSNUN - Admissions gender unknown,,no,,,no,,xadmssnun
admssnun,FLOAT64,Admissions gender unknown,,no,,,no,,admssnun
xenrlt,STRING,Imputation field for ENRLT - Enrolled total,,no,,,no,,xenrlt
enrolled_total,FLOAT64,Enrolled total,,no,,,no,,enrlt
xenrlm,STRING,Imputation field for ENRLM - Enrolled  men,,no,,,no,,xenrlm
enrolled_men,FLOAT64,Enrolled  men,,no,,,no,,enrlm
xenrlw,STRING,Imputation field for ENRLW - Enrolled  women,,no,,,no,,xenrlw
enrolled_women,FLOAT64,Enrolled  women,,no,,,no,,enrlw
xenrlan,STRING,Imputation field for ENRLAN - Enrolled another gender,,no,,,no,,xenrlan
