name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
lexp100k,FLOAT64,"Were annual total library expenses greater than or equal to $100,000",,no,,,no,,lexp100k
lcolelyn,INT64,Is the Library collection entirely electronic,,no,,,no,,lcolelyn
xlpbooks,STRING,Imputation field for LPBOOKS - Number of physical books,,no,,,no,,xlpbooks
lpbooks,FLOAT64,Number of physical books,,no,,,no,,lpbooks
xlebooks,STRING,Imputation field for LEBOOKS - Number of digital/electronic books,,no,,,no,,xlebooks
lebooks,INT64,Number of digital/electronic books,,no,,,no,,lebooks
xledatab,STRING,Imputation field for LEDATAB - Number of digital/electronic databases,,no,,,no,,xledatab
ledatab,INT64,Number of digital/electronic databases,,no,,,no,,ledatab
xlpmedia,STRING,Imputation field for LPMEDIA - Number of physical media,,no,,,no,,xlpmedia
lpmedia,FLOAT64,Number of physical media,,no,,,no,,lpmedia
xlemedia,STRING,Imputation field for LEMEDIA - Number of digital/electronic media,,no,,,no,,xlemedia
lemedia,INT64,Number of digital/electronic media,,no,,,no,,lemedia
xlpseria,STRING,Imputation field for LPSERIA - Number of physical serials,,no,,,no,,xlpseria
lpseria,FLOAT64,Number of physical serials,,no,,,no,,lpseria
xleseria,STRING,Imputation field for LESERIA - Number of electronic serials,,no,,,no,,xleseria
leseria,FLOAT64,Number of electronic serials,,no,,,no,,leseria
xlpcollc,STRING,"Imputation field for LPCLLCT - Total physical library collections (books, media and serials)",,no,,,no,,xlpcollc
lpcllct,FLOAT64,"Total physical library collections (books, media and serials)",,no,,,no,,lpcllct
xlecollc,STRING,"Imputation field for LECLLCT - Total electronic library collections (books, databases, media and serials)",,no,,,no,,xlecollc
lecllct,INT64,"Total electronic library collections (books, databases, media and serials)",,no,,,no,,lecllct
xltcllct,STRING,Imputation field for LTCLLCT - Total library collections (physical and electronic),,no,,,no,,xltcllct
ltcllct,FLOAT64,Total library collections (physical and electronic),,no,,,no,,ltcllct
xlpcrclt,STRING,Imputation field for LPCRCLT - Total physical library circulations (books and media),,no,,,no,,xlpcrclt
lpcrclt,FLOAT64,Total physical library circulations (books and media),,no,,,no,,lpcrclt
xlecrclt,STRING,Imputation field for LECRCLT - Total digital/electronic circulations (books and media),,no,,,no,,xlecrclt
lecrclt,INT64,Total digital/electronic circulations (books and media),,no,,,no,,lecrclt
xltcrclt,STRING,Imputation field for LTCRCLT - Total library circulations (physical and digital/electronic),,no,,,no,,xltcrclt
ltcrclt,FLOAT64,Total library circulations (physical and digital/electronic),,no,,,no,,ltcrclt
lilldyn,FLOAT64,Does institution have interlibrary loan services ?,,no,,,no,,lilldyn
xlilldpr,STRING,Imputation field for LILLDPR - Total interlibrary loans and documents provided to other libraries,,no,,,no,,xlilldpr
lilldpr,FLOAT64,Total interlibrary loans and documents provided to other libraries,,no,,,no,,lilldpr
xlilldrc,STRING,Imputation field for LILLDRC - Total interlibrary loans and documents received,,no,,,no,,xlilldrc
