name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
efalevel,FLOAT64,Level of student,,no,,,no,,efalevel
line,INT64,Level of student (original line number on survey form),,no,,,no,,line
section,INT64,Attendance status of student,,no,,,no,,section
lstudy,INT64,Level of student,,no,,,no,,lstudy
xeftotlt,STRING,Imputation field for EFTOTLT - Grand total,,no,,,no,,xeftotlt
eftotlt,FLOAT64,Grand total,,no,,,no,,eftotlt
xeftotlm,STRING,Imputation field for EFTOTLM - Grand total men,,no,,,no,,xeftotlm
eftotlm,FLOAT64,Grand total men,,no,,,no,,eftotlm
xeftotlw,STRING,Imputation field for EFTOTLW - Grand total women,,no,,,no,,xeftotlw
eftotlw,FLOAT64,Grand total women,,no,,,no,,eftotlw
xefaiant,STRING,Imputation field for EFAIANT - American Indian or Alaska Native total,,no,,,no,,xefaiant
efaiant,FLOAT64,American Indian or Alaska Native total,,no,,,no,,efaiant
xefaianm,STRING,Imputation field for EFAIANM - American Indian or Alaska Native men,,no,,,no,,xefaianm
efaianm,FLOAT64,American Indian or Alaska Native men,,no,,,no,,efaianm
xefaianw,STRING,Imputation field for EFAIANW - American Indian or Alaska Native women,,no,,,no,,xefaianw
efaianw,FLOAT64,American Indian or Alaska Native women,,no,,,no,,efaianw
xefasiat,STRING,Imputation field for EFASIAT - Asian total,,no,,,no,,xefasiat
efasiat,FLOAT64,Asian total,,no,,,no,,efasiat
xefasiam,STRING,Imputation field for EFASIAM - Asian men,,no,,,no,,xefasiam
efasiam,FLOAT64,Asian men,,no,,,no,,efasiam
xefasiaw,STRING,Imputation field for EFASIAW - Asian women,,no,,,no,,xefasiaw
efasiaw,FLOAT64,Asian women,,no,,,no,,efasiaw
xefbkaat,STRING,Imputation field for EFBKAAT - Black or African American total,,no,,,no,,xefbkaat
efbkaat,FLOAT64,Black or African American total,,no,,,no,,efbkaat
xefbkaam,STRING,Imputation field for EFBKAAM - Black or African American men,,no,,,no,,xefbkaam
efbkaam,FLOAT64,Black or African American men,,no,,,no,,efbkaam
xefbkaaw,STRING,Imputation field for EFBKAAW - Black or African American women,,no,,,no,,xefbkaaw
efbkaaw,FLOAT64,Black or African American women,,no,,,no,,efbkaaw
xefhispt,STRING,Imputation field for EFHISPT - Hispanic total,,no,,,no,,xefhispt
efhispt,FLOAT64,Hispanic total,,no,,,no,,efhispt
xefhispm,STRING,Imputation field for EFHISPM - Hispanic men,,no,,,no,,xefhispm
efhispm,FLOAT64,Hispanic men,,no,,,no,,efhispm
xefhispw,STRING,Imputation field for EFHISPW - Hispanic women,,no,,,no,,xefhispw
efhispw,FLOAT64,Hispanic women,,no,,,no,,efhispw
xefnhpit,STRING,Imputation field for EFNHPIT - Native Hawaiian or Other Pacific Islander total,,no,,,no,,xefnhpit
efnhpit,FLOAT64,Native Hawaiian or Other Pacific Islander total,,no,,,no,,efnhpit
