name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
effyalev,FLOAT64,Level and degree/certificate-seeking status of student,,no,,,no,,effyalev
effylev,INT64,Undergraduate or graduate level of student,,no,,,no,,effylev
lstudy,INT64,Original level of study on survey form,,no,,,no,,lstudy
xeytotlt,STRING,Imputation field for EFYTOTLT - Grand total,,no,,,no,,xeytotlt
efytotlt,FLOAT64,Grand total,,no,,,no,,efytotlt
xeytotlm,STRING,Imputation field for EFYTOTLM - Grand total men,,no,,,no,,xeytotlm
efytotlm,FLOAT64,Grand total men,,no,,,no,,efytotlm
xeytotlw,STRING,Imputation field for EFYTOTLW - Grand total women,,no,,,no,,xeytotlw
efytotlw,FLOAT64,Grand total women,,no,,,no,,efytotlw
xefyaiat,STRING,Imputation field for EFYAIANT - American Indian or Alaska Native total,,no,,,no,,xefyaiat
efyaiant,FLOAT64,American Indian or Alaska Native total,,no,,,no,,efyaiant
xefyaiam,STRING,Imputation field for EFYAIANM - American Indian or Alaska Native men,,no,,,no,,xefyaiam
efyaianm,FLOAT64,American Indian or Alaska Native men,,no,,,no,,efyaianm
xefyaiaw,STRING,Imputation field for EFYAIANW - American Indian or Alaska Native women,,no,,,no,,xefyaiaw
efyaianw,FLOAT64,American Indian or Alaska Native women,,no,,,no,,efyaianw
xefyasit,STRING,Imputation field for EFYASIAT - Asian total,,no,,,no,,xefyasit
efyasiat,FLOAT64,Asian total,,no,,,no,,efyasiat
xefyasim,STRING,Imputation field for EFYASIAM - Asian men,,no,,,no,,xefyasim
efyasiam,FLOAT64,Asian men,,no,,,no,,efyasiam
xefyasiw,STRING,Imputation field for EFYASIAW - Asian women,,no,,,no,,xefyasiw
efyasiaw,FLOAT64,Asian women,,no,,,no,,efyasiaw
xefybkat,STRING,Imputation field for EFYBKAAT - Black or African American total,,no,,,no,,xefybkat
efybkaat,FLOAT64,Black or African American total,,no,,,no,,efybkaat
xefybkam,STRING,Imputation field for EFYBKAAM - Black or African American men,,no,,,no,,xefybkam
efybkaam,FLOAT64,Black or African American men,,no,,,no,,efybkaam
xefybkaw,STRING,Imputation field for EFYBKAAW - Black or African American women,,no,,,no,,xefybkaw
efybkaaw,FLOAT64,Black or African American women,,no,,,no,,efybkaaw
xefyhist,STRING,Imputation field for EFYHISPT - Hispanic or Latino total,,no,,,no,,xefyhist
efyhispt,FLOAT64,Hispanic or Latino total,,no,,,no,,efyhispt
xefyhism,STRING,Imputation field for EFYHISPM - Hispanic or Latino men,,no,,,no,,xefyhism
efyhispm,FLOAT64,Hispanic or Latino men,,no,,,no,,efyhispm
xefyhisw,STRING,Imputation field for EFYHISPW - Hispanic or Latino women,,no,,,no,,xefyhisw
efyhispw,FLOAT64,Hispanic or Latino women,,no,,,no,,efyhispw
xefynhpt,STRING,Imputation field for EFYNHPIT - Native Hawaiian or Other Pacific Islander total,,no,,,no,,xefynhpt
