name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
xf3a01,STRING,Imputation field for F3A01 - Total assets,,no,,,no,,xf3a01
f3a01,FLOAT64,Total assets,,no,,,no,,f3a01
xf3a01a,STRING,Imputation field for F3A01A - Long-term investments,,no,,,no,,xf3a01a
f3a01a,FLOAT64,Long-term investments,,no,,,no,,f3a01a
xf3a01b,STRING,"Imputation field for F3A01B - Property, plant, and equipment, net of accumulated depreciation",,no,,,no,,xf3a01b
f3a01b,FLOAT64,"Property, plant, and equipment, net of accumulated depreciation",,no,,,no,,f3a01b
xf3a01c,STRING,"Imputation field for F3A01C - Intangible assets, net of accumulated amortization",,no,,,no,,xf3a01c
f3a01c,FLOAT64,"Intangible assets, net of accumulated amortization",,no,,,no,,f3a01c
xf3a02,STRING,Imputation field for F3A02 - Total liabilities,,no,,,no,,xf3a02
f3a02,FLOAT64,Total liabilities,,no,,,no,,f3a02
xf3a02a,STRING,"Imputation field for F3A02A - Debt related to property, plant, and equipment",,no,,,no,,xf3a02a
f3a02a,FLOAT64,"Debt related to property, plant, and equipment",,no,,,no,,f3a02a
xf3a03,STRING,Imputation field for F3A03 - Total equity,,no,,,no,,xf3a03
f3a03,FLOAT64,Total equity,,no,,,no,,f3a03
xf3a04,STRING,Imputation field for F3A04 - Total liabilities and equity,,no,,,no,,xf3a04
f3a04,FLOAT64,Total liabilities and equity,,no,,,no,,f3a04
xf3a05,STRING,Imputation field for F3A05 - Land and land improvements,,no,,,no,,xf3a05
f3a05,FLOAT64,Land and land improvements,,no,,,no,,f3a05
xf3a06,STRING,Imputation field for F3A06 - Buildings,,no,,,no,,xf3a06
f3a06,FLOAT64,Buildings,,no,,,no,,f3a06
xf3a07,STRING,"Imputation field for F3A07 - Equipment, including art and library collections",,no,,,no,,xf3a07
f3a07,FLOAT64,"Equipment, including art and library collections",,no,,,no,,f3a07
xf3a08,STRING,Imputation field for F3A08 - Construction in Progress,,no,,,no,,xf3a08
f3a08,FLOAT64,Construction in Progress,,no,,,no,,f3a08
xf3a09,STRING,"Imputation field for F3A09 - Other plant, property and equipment",,no,,,no,,xf3a09
f3a09,FLOAT64,"Other plant, property and equipment",,no,,,no,,f3a09
xf3a10,STRING,"Imputation field for F3A10 - Total Plant, Property, and Equipment",,no,,,no,,xf3a10
f3a10,FLOAT64,"Total Plant, Property, and Equipment",,no,,,no,,f3a10
xf3a11,STRING,Imputation field for F3A11 - Accumulated depreciation,,no,,,no,,xf3a11
f3a11,FLOAT64,Accumulated depreciation,,no,,,no,,f3a11
xf3a12,STRING,"Imputation field for F3A12 - Property, Plant, and Equipment, net of accumulated depreciation (from A1b)",,no,,,no,,xf3a12
f3a12,FLOAT64,"Property, Plant, and Equipment, net of accumulated depreciation (from A1b)",,no,,,no,,f3a12
xf3b01,STRING,Imputation field for F3B01 - Total revenues and investment return,,no,,,no,,xf3b01
