name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
stat_ic,INT64,Response status -  Institutional characteristics component,,no,,,no,,stat_ic
lock_ic,INT64,Status of IC component when institution was migrated,,no,,,no,,lock_ic
imp_ic,INT64,Type of imputation method Institutional Characteristics,,no,,,no,,imp_ic
stat_c,INT64,Response status -  Completions component,,no,,,no,,stat_c
lock_c,INT64,Status of completions component when institution was migrated,,no,,,no,,lock_c
prch_c,INT64,Parent/child indicator for completions,,no,,,no,,prch_c
idx_c,INT64,UnitID of Parent institution,,no,,,no,,idx_c
pcc_f,STRING,Parent/child allocation factor - Completions,,no,,,no,,pcc_f
imp_c,INT64,Type of imputation method Completions,,no,,,no,,imp_c
stat_e12,FLOAT64,Response status of institution - 12-month enrollment,,no,,,no,,stat_e12
lock_e12,FLOAT64,Status of 12-month enrollment component whe data collection closed,,no,,,no,,lock_e12
prch_e12,FLOAT64,Parent/child indicator for 12-month enrollment,,no,,,no,,prch_e12
idx_e12,FLOAT64,ID number of parent institution - 12-month enrollment,,no,,,no,,idx_e12
pce12_f,STRING,Parent/child allocation factor - 12-month enrollment,,no,,,no,,pce12_f
imp_e12,FLOAT64,Type of imputation method - 12 month enrollment,,no,,,no,,imp_e12
stat_sfa,FLOAT64,Response status for Student Financial Aid survey,,no,,,no,,stat_sfa
lock_sfa,FLOAT64,Status of Student Financial Aid Survey when data collection closed,,no,,,no,,lock_sfa
prch_sfa,FLOAT64,Parent/child indicator Student Financial Aid survey,,no,,,no,,prch_sfa
idx_sfa,FLOAT64,ID number of parent institution Student Financial Aid,,no,,,no,,idx_sfa
pcsfa_f,STRING,Parent/child allocation factor - Student Financial Aid,,no,,,no,,pcsfa_f
imp_sfa,FLOAT64,Type of imputation method Student Financial Aid,,no,,,no,,imp_sfa
sfaform,FLOAT64,SFA collection form type,,no,,,no,,sfaform
stat_gr,FLOAT64,Response status - Graduation Rates,,no,,,no,,stat_gr
lock_gr,FLOAT64,Status of Graduation rate survey when data collection closed,,no,,,no,,lock_gr
prch_gr,FLOAT64,Parent/child indicator - Graduation Rates,,no,,,no,,prch_gr
idx_gr,FLOAT64,UNITID of parent institution reporting Graduation Rates,,no,,,no,,idx_gr
pcgr_f,STRING,Parent/child allocation factor - Graduation Rates,,no,,,no,,pcgr_f
imp_gr,FLOAT64,Imputation method - Graduation Rates,,no,,,no,,imp_gr
cohrtstu,FLOAT64,Enrolled any full-time first-time students,,no,,,no,,cohrtstu
stat_gr2,FLOAT64,Response status - Graduation Rates 200,,no,,,no,,stat_gr2
lock_gr2,FLOAT64,Status of Graduation rate 200 survey when data collection closed,,no,,,no,,lock_gr2
prch_gr2,FLOAT64,Parent/child indicator - Graduation Rates 200,,no,,,no,,prch_gr2
idx_gr2,FLOAT64,UNITID of parent institution reporting Graduation Rates 200,,no,,,no,,idx_gr2
pcgr2_f,STRING,Parent/child allocation factor - Graduation Rates 200,,no,,,no,,pcgr2_f
