name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
grtype,FLOAT64,Cohort data,,no,,,no,,grtype
chrtstat,FLOAT64,Graduation rate status in cohort,,no,,,no,,chrtstat
section,INT64,Section of survey form,,no,,,no,,section
cohort,INT64,Cohort,,no,,,no,,cohort
line,FLOAT64,Original line number of survey form,,no,,,no,,line
xgrtotlt,STRING,Imputation field for GRTOTLT - Grand total,,no,,,no,,xgrtotlt
grtotlt,FLOAT64,Grand total,,no,,,no,,grtotlt
xgrtotlm,STRING,Imputation field for GRTOTLM - Total men,,no,,,no,,xgrtotlm
grtotlm,FLOAT64,Total men,,no,,,no,,grtotlm
xgrtotlw,STRING,Imputation field for GRTOTLW - Total women,,no,,,no,,xgrtotlw
grtotlw,FLOAT64,Total women,,no,,,no,,grtotlw
xgraiant,STRING,Imputation field for GRAIANT - American Indian or Alaska Native total,,no,,,no,,xgraiant
graiant,FLOAT64,American Indian or Alaska Native total,,no,,,no,,graiant
xgraianm,STRING,Imputation field for GRAIANM - American Indian or Alaska Native men,,no,,,no,,xgraianm
graianm,FLOAT64,American Indian or Alaska Native men,,no,,,no,,graianm
xgraianw,STRING,Imputation field for GRAIANW - American Indian or Alaska Native women,,no,,,no,,xgraianw
graianw,FLOAT64,American Indian or Alaska Native women,,no,,,no,,graianw
xgrasiat,STRING,Imputation field for GRASIAT - Asian total,,no,,,no,,xgrasiat
grasiat,FLOAT64,Asian total,,no,,,no,,grasiat
xgrasiam,STRING,Imputation field for GRASIAM - Asian men,,no,,,no,,xgrasiam
grasiam,FLOAT64,Asian men,,no,,,no,,grasiam
xgrasiaw,STRING,Imputation field for GRASIAW - Asian women,,no,,,no,,xgrasiaw
grasiaw,FLOAT64,Asian women,,no,,,no,,grasiaw
xgrbkaat,STRING,Imputation field for GRBKAAT - Black or African American total,,no,,,no,,xgrbkaat
grbkaat,FLOAT64,Black or African American total,,no,,,no,,grbkaat
xgrbkaam,STRING,Imputation field for GRBKAAM - Black or African American men,,no,,,no,,xgrbkaam
grbkaam,FLOAT64,Black or African American men,,no,,,no,,grbkaam
xgrbkaaw,STRING,Imputation field for GRBKAAW - Black or African American women,,no,,,no,,xgrbkaaw
grbkaaw,FLOAT64,Black or African American women,,no,,,no,,grbkaaw
xgrhispt,STRING,Imputation field for GRHISPT - Hispanic total,,no,,,no,,xgrhispt
grhispt,FLOAT64,Hispanic total,,no,,,no,,grhispt
xgrhispm,STRING,Imputation field for GRHISPM - Hispanic men,,no,,,no,,xgrhispm
grhispm,FLOAT64,Hispanic men,,no,,,no,,grhispm
xgrhispw,STRING,Imputation field for GRHISPW - Hispanic women,,no,,,no,,xgrhispw
grhispw,FLOAT64,Hispanic women,,no,,,no,,grhispw
xgrnhpit,STRING,Imputation field for GRNHPIT - Native Hawaiian or Other Pacific Islander total,,no,,,no,,xgrnhpit
grnhpit,FLOAT64,Native Hawaiian or Other Pacific Islander total,,no,,,no,,grnhpit
