name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
peo1istr,INT64,Occupational,,no,,,no,,peo1istr
peo2istr,INT64,Academic,,no,,,no,,peo2istr
peo3istr,INT64,Continuing professional,,no,,,no,,peo3istr
peo4istr,INT64,Recreational or avocational,,no,,,no,,peo4istr
peo5istr,INT64,Adult basic or high school equivalency,,no,,,no,,peo5istr
peo6istr,INT64,Secondary (high school),,no,,,no,,peo6istr
peo7istr,FLOAT64,Developmental,,no,,,no,,peo7istr
cntlaffi,INT64,Institutional control or affiliation,,no,,,no,,cntlaffi
pubprime,INT64,Primary public control,,no,,,no,,pubprime
pubsecon,INT64,Secondary public control,,no,,,no,,pubsecon
relaffil,INT64,Religious affiliation,,no,,,no,,relaffil
level1,INT64,Certificate of less than 1 year,,no,,,no,,level1
level1a,FLOAT64,Certificate of less than 12 weeks,,no,,,no,,level1a
level1b,FLOAT64,"Certificate of at least 12 weeks, but less than 1 year",,no,,,no,,level1b
level2,INT64,"Certifiicate of at least 1 year, but less than 2 years",,no,,,no,,level2
level3,INT64,Associate's degree,,no,,,no,,level3
level4,INT64,"Certificate of at least 2 years, but less than 4 years",,no,,,no,,level4
level5,INT64,Bachelor's degree,,no,,,no,,level5
level6,INT64,Postbaccalaureate certificate,,no,,,no,,level6
level7,INT64,Master's degree,,no,,,no,,level7
level8,INT64,Post-master's certificate,,no,,,no,,level8
level12,INT64,Other degree,,no,,,no,,level12
level17,FLOAT64,Doctor's degree - research/scholarship,,no,,,no,,level17
level18,FLOAT64,Doctor's degree - professional practice,,no,,,no,,level18
level19,FLOAT64,Doctor's degree - other,,no,,,no,,level19
calsys,INT64,Calendar system,,no,,,no,,calsys
ft_ug,INT64,Full-time undergraduate students are enrolled,,no,,,no,,ft_ug
ft_ftug,INT64,Full time first-time degree/certificate-seeking undergraduate students enrolled,,no,,,no,,ft_ftug
ftgdnidp,FLOAT64,Full-time graduate (not including doctor's professional practice) students are enrolled,,no,,,no,,ftgdnidp
pt_ug,FLOAT64,Part-time undergraduate students are enrolled,,no,,,no,,pt_ug
pt_ftug,FLOAT64,Part time first-time degree/certificate-seeking undergraduate students enrolled,,no,,,no,,pt_ftug
ptgdnidp,FLOAT64,Part-time graduate (not including doctor's professional practice) students are enrolled,,no,,,no,,ptgdnidp
docpp,FLOAT64,Doctor's professional practice students are enrolled,,no,,,no,,docpp
docppsp,FLOAT64,Doctor's professional practice students are enrolled in programs formerly designated as first-professional,,no,,,no,,docppsp
openadmp,INT64,Open admission policy,,no,,,no,,openadmp
noncrdt1,FLOAT64,Workforce Education,,no,,,no,,noncrdt1
noncrdt2,FLOAT64,Contract Training/Customized Training,,no,,,no,,noncrdt2
noncrdt3,FLOAT64,Developmental Education,,no,,,no,,noncrdt3
noncrdt4,FLOAT64,Recreational/Avocational/Leisure/Personal Enrichment,,no,,,no,,noncrdt4
noncrdt5,FLOAT64,Adult Basic Education,,no,,,no,,noncrdt5
