name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
xtuit1,STRING,Imputation field for TUITION1 - In-district average tuition for full-time undergraduates,,no,,,no,,xtuit1
tuition_in_district,FLOAT64,In-district average tuition for full-time undergraduates,,no,,,no,,tuition1
xfee1,STRING,Imputation field for FEE1 - In-district required fees for full-time undergraduates,,no,,,no,,xfee1
fee1,FLOAT64,In-district required fees for full-time undergraduates,,no,,,no,,fee1
xhrchg1,STRING,Imputation field for HRCHG1 - In-district per credit hour charge for part-time undergraduates,,no,,,no,,xhrchg1
hrchg1,FLOAT64,In-district per credit hour charge for part-time undergraduates,,no,,,no,,hrchg1
xtuit2,STRING,Imputation field for TUITION2 - In-state average tuition for full-time undergraduates,,no,,,no,,xtuit2
tuition_in_state,FLOAT64,In-state average tuition for full-time undergraduates,,no,,,no,,tuition2
xfee2,STRING,Imputation field for FEE2 - In-state required fees for full-time undergraduates,,no,,,no,,xfee2
fee2,FLOAT64,In-state required fees for full-time undergraduates,,no,,,no,,fee2
xhrchg2,STRING,Imputation field for HRCHG2 - In-state per credit hour charge for part-time undergraduates,,no,,,no,,xhrchg2
hrchg2,FLOAT64,In-state per credit hour charge for part-time undergraduates,,no,,,no,,hrchg2
xtuit3,STRING,Imputation field for TUITION3 - Out-of-state average tuition for full-time undergraduates,,no,,,no,,xtuit3
tuition_out_state,FLOAT64,Out-of-state average tuition for full-time undergraduates,,no,,,no,,tuition3
xfee3,STRING,Imputation field for FEE3 - Out-of-state required fees for full-time undergraduates,,no,,,no,,xfee3
fee3,FLOAT64,Out-of-state required fees for full-time undergraduates,,no,,,no,,fee3
xhrchg3,STRING,Imputation field for HRCHG3 - Out-of-state per credit hour charge for part-time undergraduates,,no,,,no,,xhrchg3
hrchg3,FLOAT64,Out-of-state per credit hour charge for part-time undergraduates,,no,,,no,,hrchg3
xtuit5,STRING,Imputation field for TUITION5 - In-district average tuition full-time graduates,,no,,,no,,xtuit5
tuition5,STRING,In-district average tuition full-time graduates,,no,,,no,,tuition5
xfee5,STRING,Imputation field for FEE5 - In-district required fees for full-time graduates,,no,,,no,,xfee5
fee5,STRING,In-district required fees for full-time graduates,,no,,,no,,fee5
xhrchg5,STRING,Imputation field for HRCHG5 - In-district per credit hour charge part-time graduates,,no,,,no,,xhrchg5
hrchg5,STRING,In-district per credit hour charge part-time graduates,,no,,,no,,hrchg5
xtuit6,STRING,Imputation field for TUITION6 - In-state average tuition full-time graduates,,no,,,no,,xtuit6
tuition6,STRING,In-state average tuition full-time graduates,,no,,,no,,tuition6
xfee6,STRING,Imputation field for FEE6 - In-state required fees for full-time graduates,,no,,,no,,xfee6
fee6,STRING,In-state required fees for full-time graduates,,no,,,no,,fee6
xhrchg6,STRING,Imputation field for HRCHG6 - In-state per credit hour charge part-time graduates,,no,,,no,,xhrchg6
hrchg6,STRING,In-state per credit hour charge part-time graduates,,no,,,no,,hrchg6
