name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
prgmofr,FLOAT64,Number of programs offered,,no,,,no,,prgmofr
cipcode1,STRING,CIP code of largest program,,no,,,no,,cipcode1
xciptui1,STRING,"Imputation field for CIPTUIT1 - Tuition and fees 2023-24 (institutions with no full-time, first-time, undergraduate students)",,no,,,no,,xciptui1
ciptuit1,STRING,"Tuition and fees 2023-24 (institutions with no full-time, first-time, undergraduate students)",,no,,,no,,ciptuit1
xcipsup1,STRING,"Imputation field for CIPSUPP1 - Books and supplies 2023-24 (institutions with no full-time, first-time, undergraduate students)",,no,,,no,,xcipsup1
cipsupp1,STRING,"Books and supplies 2023-24 (institutions with no full-time, first-time, undergraduate students)",,no,,,no,,cipsupp1
xciplgt1,FLOAT64,Imputation field for CIPLGTH1 - Total length of largest program,,no,,,no,,xciplgt1
ciplgth1,FLOAT64,Total length of largest program,,no,,,no,,ciplgth1
prgmsr1,STRING,Largest program measured in credit or clock hours,,no,,,no,,prgmsr1
xmthcmp1,FLOAT64,Imputation field for MTHCMP1 - Average number of months to complete largest program,,no,,,no,,xmthcmp1
mthcmp1,STRING,Average number of months to complete largest program,,no,,,no,,mthcmp1
xwkcmp1,FLOAT64,"Imputation field for WKCMP1 - Total length of program in weeks, as completed by a student attending full-time",,no,,,no,,xwkcmp1
wkcmp1,STRING,"Total length of program in weeks, as completed by a student attending full-time",,no,,,no,,wkcmp1
xlnayhr1,FLOAT64,Imputation field for LNAYHR1 - Total length of academic year (as used to calculate your Pell budget) in clock or credit hours,,no,,,no,,xlnayhr1
lnayhr1,STRING,Total length of academic year (as used to calculate your Pell budget) in clock or credit hours,,no,,,no,,lnayhr1
xlnaywk1,FLOAT64,Imputation field for LNAYWK1 - Total length of academic year (as used to calculate your Pell budget) in weeks,,no,,,no,,xlnaywk1
lnaywk1,STRING,Total length of academic year (as used to calculate your Pell budget) in weeks,,no,,,no,,lnaywk1
xchg1py0,FLOAT64,Imputation field for CHG1PY0 - Published tuition and fees 2020-21,,no,,,no,,xchg1py0
chg1py0,STRING,Published tuition and fees 2020-21,,no,,,no,,chg1py0
xchg1py1,FLOAT64,Imputation field for CHG1PY1 - Published tuition and fees 2021-22,,no,,,no,,xchg1py1
chg1py1,STRING,Published tuition and fees 2021-22,,no,,,no,,chg1py1
xchg1py2,FLOAT64,Imputation field for CHG1PY2 - Published tuition and fees 2022-23,,no,,,no,,xchg1py2
chg1py2,STRING,Published tuition and fees 2022-23,,no,,,no,,chg1py2
xchg1py3,FLOAT64,Imputation field for CHG1PY3 - Published tuition and fees 2023-24,,no,,,no,,xchg1py3
chg1py3,STRING,Published tuition and fees 2023-24,,no,,,no,,chg1py3
xchg4py0,FLOAT64,Imputation field for CHG4PY0 - Books and supplies 2020-21,,no,,,no,,xchg4py0
chg4py0,STRING,Books and supplies 2020-21,,no,,,no,,chg4py0
