name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
arank,INT64,Academic rank,,no,,,no,,arank
xsainstt,STRING,Imputation field for SAINSTT - Instructional staff - total,,no,,,no,,xsainstt
sainstt,FLOAT64,Instructional staff - total,,no,,,no,,sainstt
xsainstm,STRING,Imputation field for SAINSTM - Instructional staff - men,,no,,,no,,xsainstm
sainstm,FLOAT64,Instructional staff - men,,no,,,no,,sainstm
xsainstw,STRING,Imputation field for SAINSTW - Instructional staff - women,,no,,,no,,xsainstw
sainstw,FLOAT64,Instructional staff - women,,no,,,no,,sainstw
xsa_9mct,STRING,Imputation field for SA_9MCT - Instructional staff on less than 9-month contract-total,,no,,,no,,xsa_9mct
sa_9mct,FLOAT64,Instructional staff on less than 9-month contract-total,,no,,,no,,sa_9mct
xsa_9mcm,STRING,Imputation field for SA_9MCM - Instructional staff on less than 9-month contract-men,,no,,,no,,xsa_9mcm
sa_9mcm,FLOAT64,Instructional staff on less than 9-month contract-men,,no,,,no,,sa_9mcm
xsa_9mcw,STRING,Imputation field for SA_9MCW - Instructional staff on less than 9-month contract-women,,no,,,no,,xsa_9mcw
sa_9mcw,FLOAT64,Instructional staff on less than 9-month contract-women,,no,,,no,,sa_9mcw
xsatotlt,STRING,"Imputation field for SATOTLT - Instructional staff on 9, 10, 11 or 12 month contract-total",,no,,,no,,xsatotlt
satotlt,INT64,"Instructional staff on 9, 10, 11 or 12 month contract-total",,no,,,no,,satotlt
xsatotlm,STRING,"Imputation field for SATOTLM - Instructional staff on 9, 10, 11 or 12 month contract-men",,no,,,no,,xsatotlm
satotlm,INT64,"Instructional staff on 9, 10, 11 or 12 month contract-men",,no,,,no,,satotlm
xsatotlw,STRING,"Imputation field for SATOTLW - Instructional staff on 9, 10, 11 or 12 month contract-women",,no,,,no,,xsatotlw
satotlw,INT64,"Instructional staff on 9, 10, 11 or 12 month contract-women",,no,,,no,,satotlw
xsa09mct,STRING,Imputation field for SA09MCT - Instructional staff on 9-month contract-total,,no,,,no,,xsa09mct
sa09mct,FLOAT64,Instructional staff on 9-month contract-total,,no,,,no,,sa09mct
xsa09mcm,STRING,Imputation field for SA09MCM - Instructional staff on 9-month contract-men,,no,,,no,,xsa09mcm
sa09mcm,FLOAT64,Instructional staff on 9-month contract-men,,no,,,no,,sa09mcm
xsa09mcw,STRING,Imputation field for SA09MCW - Instructional staff on 9-month contract-women,,no,,,no,,xsa09mcw
sa09mcw,FLOAT64,Instructional staff on 9-month contract-women,,no,,,no,,sa09mcw
xsa10mct,STRING,Imputation field for SA10MCT - Instructional staff on 10-month contract-total,,no,,,no,,xsa10mct
sa10mct,FLOAT64,Instructional staff on 10-month contract-total,,no,,,no,,sa10mct
xsa10mcm,STRING,Imputation field for SA10MCM - Instructional staff on 10-month contract-men,,no,,,no,,xsa10mcm
sa10mcm,FLOAT64,Instructional staff on 10-month contract-men,,no,,,no,,sa10mcm
