name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the survey data collection (fall of academic year for most components),,no,br_bd_diretorios_data_tempo.ano:ano,,no,,
unitid,INT64,Unique identification number of the institution,,no,,,no,,unitid
xscugrad,STRING,Imputation field for SCUGRAD - Total number of undergraduates - financial aid cohort,,no,,,no,,xscugrad
scugrad,FLOAT64,Total number of undergraduates - financial aid cohort,,no,,,no,,scugrad
xscugdgsk,STRING,Imputation field for SCUGDGSK - Total number of degree/certificate-seeking undergraduate students,,no,,,no,,xscugdgsk
scugdgsk,FLOAT64,Total number of degree/certificate-seeking undergraduate students,,no,,,no,,scugdgsk
xscugndgs,STRING,Imputation field for SCUGNDGS - Total number of non-degee/non-certificate seeking undergraduate students,,no,,,no,,xscugndgs
scugndgs,FLOAT64,Total number of non-degee/non-certificate seeking undergraduate students,,no,,,no,,scugndgs
xscugffn,STRING,Imputation field for SCUGFFN - Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort,,no,,,no,,xscugffn
scugffn,FLOAT64,Total number of full-time first-time degree/certificate seeking undergraduates - financial aid cohort,,no,,,no,,scugffn
xscugffp,STRING,Imputation field for SCUGFFP - Full-time first-time degree/certificate seeking undergraduates as a percent of all undergraduates - financial aid cohort,,no,,,no,,xscugffp
scugffp,FLOAT64,Full-time first-time degree/certificate seeking undergraduates as a percent of all undergraduates - financial aid cohort,,no,,,no,,scugffp
xscfa2,STRING,Imputation field for SCFA2 - Total number of undergraduates - fall cohort,,no,,,no,,xscfa2
scfa2,FLOAT64,Total number of undergraduates - fall cohort,,no,,,no,,scfa2
xscfa2dg,STRING,Imputation field for SCFA2DG - Total number of degree/certificate-seeking undergraduates - fall cohort,,no,,,no,,xscfa2dg
scfa2dg,FLOAT64,Total number of degree/certificate-seeking undergraduates - fall cohort,,no,,,no,,scfa2dg
xscfa2nd,STRING,Imputation field for SCFA2ND - Total number of non-degee/non-certificate seeking undergraduates - fall cohort,,no,,,no,,xscfa2nd
scfa2nd,FLOAT64,Total number of non-degee/non-certificate seeking undergraduates - fall cohort,,no,,,no,,scfa2nd
xscfa1n,STRING,Imputation field for SCFA1N - Number of students in fall cohort,,no,,,no,,xscfa1n
scfa1n,FLOAT64,Number of students in fall cohort,,no,,,no,,scfa1n
xscfa1p,STRING,Imputation field for SCFA1P - Students in fall cohort as a percentage of all undergraduates,,no,,,no,,xscfa1p
scfa1p,FLOAT64,Students in fall cohort as a percentage of all undergraduates,,no,,,no,,scfa1p
xscfa11n,STRING,Imputation field for SCFA11N - Number of students in fall cohort who are paying in-district tuition rates,,no,,,no,,xscfa11n
scfa11n,FLOAT64,Number of students in fall cohort who are paying in-district tuition rates,,no,,,no,,scfa11n
xscfa11p,STRING,Imputation field for SCFA11P - Percentage of students in fall cohort who are paying in-district tuition rates,,no,,,no,,xscfa11p
scfa11p,FLOAT64,Percentage of students in fall cohort who are paying in-district tuition rates,,no,,,no,,scfa11p
xscfa12n,STRING,Imputation field for SCFA12N - Number of students in fall cohort who are paying in-state tuititon rates,,no,,,no,,xscfa12n
