id_tabela,nome_coluna,chave,cobertura_temporal,valor
school,state_id,01,,Alabama
school,state_id,02,,Alaska
school,state_id,03,,American Samoa
school,state_id,04,,Arizona
school,state_id,05,,Arkansas
school,state_id,06,,California
school,state_id,07,,Canal Zone
school,state_id,08,,Colorado
school,state_id,09,,Connecticut
school,state_id,10,,Delaware
school,state_id,11,,District of Columbia
school,state_id,12,,Florida
school,state_id,13,,Georgia
school,state_id,14,,Guam
school,state_id,15,,Hawaii
school,state_id,16,,Idaho
school,state_id,17,,Illinois
school,state_id,18,,Indiana
school,state_id,19,,Iowa
school,state_id,20,,Kansas
school,state_id,21,,Kentucky
school,state_id,22,,Louisiana
school,state_id,23,,Maine
school,state_id,24,,Maryland
school,state_id,25,,Massachusetts
school,state_id,26,,Michigan
school,state_id,27,,Minnesota
school,state_id,28,,Mississippi
school,state_id,29,,Missouri
school,state_id,30,,Montana
school,state_id,31,,Nebraska
school,state_id,32,,Nevada
school,state_id,33,,New Hampshire
school,state_id,34,,New Jersey
school,state_id,35,,New Mexico
school,state_id,36,,New York
school,state_id,37,,North Carolina
school,state_id,38,,North Dakota
school,state_id,39,,Ohio
school,state_id,40,,Oklahoma
school,state_id,41,,Oregon
school,state_id,42,,Pennsylvania
school,state_id,43,,Puerto Rico
school,state_id,44,,Rhode Island
school,state_id,45,,South Carolina
school,state_id,46,,South Dakota
school,state_id,47,,Tennessee
school,state_id,48,,Texas
school,state_id,49,,Utah
school,state_id,50,,Vermont
school,state_id,51,,Virginia
school,state_id,52,,Virgin Islands of the US
school,state_id,53,,Washington
school,state_id,54,,West Virginia
school,state_id,55,,Wisconsin
school,state_id,56,,Wyoming
school,state_id,58,,Department of Defense Dependent Schools (overseas)
school,state_id,59,,Bureau of Indian Education
school,state_id,60,,American Samoa
school,state_id,61,,Department of Defense Dependent Schools (domestic)
school,state_id,63,,Department of Defense Education Activity
school,state_id,64,,Federated States of Micronesia
school,state_id,65,,Mariana Islands waters (including Guam)
school,state_id,66,,Guam
school,state_id,67,,Johnston Atoll
school,state_id,68,,Marshall Islands
school,state_id,69,,Northern Mariana Islands
school,state_id,70,,Palau
school,state_id,71,,Midway Islands
school,state_id,72,,Puerto Rico
school,state_id,74,,US Minor Outlying Islands
school,state_id,75,,"Atlantic coast from North Carolina to Florida, and the coasts of Puerto Rico and Virgin Islands"
school,state_id,76,,Navassa Island
school,state_id,78,,Virgin Islands of the US
school,state_id,79,,Wake Island
school,state_id,81,,Baker Island
school,state_id,84,,Howland Island
school,state_id,86,,Jarvis Island
school,state_id,89,,Kingman Reef
school,state_id,95,,Palmyra Atoll
school,urban_centric_locale,1,,Large city
school,urban_centric_locale,2,,Midsize city
school,urban_centric_locale,3,,Urban fringe of large city
school,urban_centric_locale,4,,Urban fringe of midsize city
school,urban_centric_locale,5,,Large town
school,urban_centric_locale,6,,Small town
school,urban_centric_locale,7,,"Rural, outside CBSA"
school,urban_centric_locale,8,,"Rural, inside CBSA"
school,urban_centric_locale,9,,Not assigned
school,urban_centric_locale,11,,"City, large"
school,urban_centric_locale,12,,"City, midsize"
school,urban_centric_locale,13,,"City, small"
school,urban_centric_locale,21,,"Suburb, large"
school,urban_centric_locale,22,,"Suburb, midsize"
school,urban_centric_locale,23,,"Suburb, small"
school,urban_centric_locale,31,,"Town, fringe"
school,urban_centric_locale,32,,"Town, distant"
school,urban_centric_locale,33,,"Town, remote"
school,urban_centric_locale,41,,"Rural, fringe"
school,urban_centric_locale,42,,"Rural, distant"
school,urban_centric_locale,43,,"Rural, remote"
school,school_level,0,,Prekindergarten
school,school_level,1,,Primary
school,school_level,2,,Middle
school,school_level,3,,High
school,school_level,4,,Other
school,school_level,5,,Ungraded
school,school_level,6,,Adult Education
school,school_level,7,,Secondary
school,school_type,1,,Regular school
school,school_type,2,,Special education school
school,school_type,3,,Vocational school
school,school_type,4,,Other/alternative school
school,school_type,5,,Reportable program
school,school_status,1,,Open
school,school_status,2,,Closed
school,school_status,3,,New
school,school_status,4,,Added
school,school_status,5,,Changed agency
school,school_status,6,,Inactive
school,school_status,7,,Future
school,school_status,8,,Reopened
school,lowest_grade_offered,0,,Kindergarten
school,lowest_grade_offered,1,,1
school,lowest_grade_offered,2,,2
school,lowest_grade_offered,3,,3
school,lowest_grade_offered,4,,4
school,lowest_grade_offered,5,,5
school,lowest_grade_offered,6,,6
school,lowest_grade_offered,7,,7
school,lowest_grade_offered,8,,8
school,lowest_grade_offered,9,,9
school,lowest_grade_offered,10,,10
school,lowest_grade_offered,11,,11
school,lowest_grade_offered,12,,12
school,lowest_grade_offered,13,,13
school,lowest_grade_offered,14,,Adult education
school,lowest_grade_offered,15,,Ungraded
school,highest_grade_offered,0,,Kindergarten
school,highest_grade_offered,1,,1
school,highest_grade_offered,2,,2
school,highest_grade_offered,3,,3
school,highest_grade_offered,4,,4
school,highest_grade_offered,5,,5
school,highest_grade_offered,6,,6
school,highest_grade_offered,7,,7
school,highest_grade_offered,8,,8
school,highest_grade_offered,9,,9
school,highest_grade_offered,10,,10
school,highest_grade_offered,11,,11
school,highest_grade_offered,12,,12
school,highest_grade_offered,13,,13
school,highest_grade_offered,14,,Adult education
school,highest_grade_offered,15,,Ungraded
school,bureau_indian_education,1,,Yes
school,bureau_indian_education,0,,No
school,title_i_status,1,,School is eligible for Title I Targeted Assistance (TAS) but provides no program
school,title_i_status,2,,School is eligible for Title I Targeted Assistance (TAS) and provides TAS program
school,title_i_status,3,,School is eligible for Title I Schoolwide program (SWP) and provides Targeted Assistance program (TAS)
school,title_i_status,4,,School is eligible for Title I Schoolwide program (SWP) but provides no program
school,title_i_status,5,,School is eligible for Title I Schoolwide program (SWP) and provides Title I Schoolwide program
school,title_i_status,6,,School is not eligible for either Title I Targeted Assistance or Schoolwide program
school,title_i_eligible,1,,Yes
school,title_i_eligible,0,,No
school,title_i_schoolwide,1,,Yes
school,title_i_schoolwide,0,,No
school,charter,1,,Yes
school,charter,0,,No
school,magnet,1,,Yes
school,magnet,0,,No
school,shared_time,1,,Yes
school,shared_time,0,,No
school,virtual,0,,No
school,virtual,1,,Yes
school,virtual,2,,Virtual with face to face options
school,virtual,3,,Supplemental virtual
school,elem_cedp,1,,Yes
school,elem_cedp,0,,No
school,middle_cedp,1,,Yes
school,middle_cedp,0,,No
school,high_cedp,1,,Yes
school,high_cedp,0,,No
school,ungrade_cedp,1,,Yes
school,ungrade_cedp,0,,No
school,lunch_program,0,,No
school,lunch_program,1,,Yes participating without using any Provision or the CEP
school,lunch_program,2,,Yes under the Community Eligibility Provision (CEP)
school,lunch_program,3,,Yes under Provision 1
school,lunch_program,4,,Yes under Provision 2
school,lunch_program,5,,Yes under Provision 3
school_district,state_id,01,,Alabama
school_district,state_id,02,,Alaska
school_district,state_id,03,,American Samoa
school_district,state_id,04,,Arizona
school_district,state_id,05,,Arkansas
school_district,state_id,06,,California
school_district,state_id,07,,Canal Zone
school_district,state_id,08,,Colorado
school_district,state_id,09,,Connecticut
school_district,state_id,10,,Delaware
school_district,state_id,11,,District of Columbia
school_district,state_id,12,,Florida
school_district,state_id,13,,Georgia
school_district,state_id,14,,Guam
school_district,state_id,15,,Hawaii
school_district,state_id,16,,Idaho
school_district,state_id,17,,Illinois
school_district,state_id,18,,Indiana
school_district,state_id,19,,Iowa
school_district,state_id,20,,Kansas
school_district,state_id,21,,Kentucky
school_district,state_id,22,,Louisiana
school_district,state_id,23,,Maine
school_district,state_id,24,,Maryland
school_district,state_id,25,,Massachusetts
school_district,state_id,26,,Michigan
school_district,state_id,27,,Minnesota
school_district,state_id,28,,Mississippi
school_district,state_id,29,,Missouri
school_district,state_id,30,,Montana
school_district,state_id,31,,Nebraska
school_district,state_id,32,,Nevada
school_district,state_id,33,,New Hampshire
school_district,state_id,34,,New Jersey
school_district,state_id,35,,New Mexico
school_district,state_id,36,,New York
school_district,state_id,37,,North Carolina
school_district,state_id,38,,North Dakota
school_district,state_id,39,,Ohio
school_district,state_id,40,,Oklahoma
school_district,state_id,41,,Oregon
school_district,state_id,42,,Pennsylvania
school_district,state_id,43,,Puerto Rico
school_district,state_id,44,,Rhode Island
school_district,state_id,45,,South Carolina
school_district,state_id,46,,South Dakota
school_district,state_id,47,,Tennessee
school_district,state_id,48,,Texas
school_district,state_id,49,,Utah
school_district,state_id,50,,Vermont
school_district,state_id,51,,Virginia
school_district,state_id,52,,Virgin Islands of the US
school_district,state_id,53,,Washington
school_district,state_id,54,,West Virginia
school_district,state_id,55,,Wisconsin
school_district,state_id,56,,Wyoming
school_district,state_id,58,,Department of Defense Dependent Schools (overseas)
school_district,state_id,59,,Bureau of Indian Education
school_district,state_id,60,,American Samoa
school_district,state_id,61,,Department of Defense Dependent Schools (domestic)
school_district,state_id,63,,Department of Defense Education Activity
school_district,state_id,64,,Federated States of Micronesia
school_district,state_id,65,,Mariana Islands waters (including Guam)
school_district,state_id,66,,Guam
school_district,state_id,67,,Johnston Atoll
school_district,state_id,68,,Marshall Islands
school_district,state_id,69,,Northern Mariana Islands
school_district,state_id,70,,Palau
school_district,state_id,71,,Midway Islands
school_district,state_id,72,,Puerto Rico
school_district,state_id,74,,US Minor Outlying Islands
school_district,state_id,75,,"Atlantic coast from North Carolina to Florida, and the coasts of Puerto Rico and Virgin Islands"
school_district,state_id,76,,Navassa Island
school_district,state_id,78,,Virgin Islands of the US
school_district,state_id,79,,Wake Island
school_district,state_id,81,,Baker Island
school_district,state_id,84,,Howland Island
school_district,state_id,86,,Jarvis Island
school_district,state_id,89,,Kingman Reef
school_district,state_id,95,,Palmyra Atoll
school_district,cbsa_type,1,,Metropolitan statistical area
school_district,cbsa_type,2,,Micropolitan statistical area
school_district,urban_centric_locale,1,,Large city
school_district,urban_centric_locale,2,,Midsize city
school_district,urban_centric_locale,3,,Urban fringe of large city
school_district,urban_centric_locale,4,,Urban fringe of midsize city
school_district,urban_centric_locale,5,,Large town
school_district,urban_centric_locale,6,,Small town
school_district,urban_centric_locale,7,,"Rural, outside CBSA"
school_district,urban_centric_locale,8,,"Rural, inside CBSA"
school_district,urban_centric_locale,9,,Not assigned
school_district,urban_centric_locale,11,,"City, large"
school_district,urban_centric_locale,12,,"City, midsize"
school_district,urban_centric_locale,13,,"City, small"
school_district,urban_centric_locale,21,,"Suburb, large"
school_district,urban_centric_locale,22,,"Suburb, midsize"
school_district,urban_centric_locale,23,,"Suburb, small"
school_district,urban_centric_locale,31,,"Town, fringe"
school_district,urban_centric_locale,32,,"Town, distant"
school_district,urban_centric_locale,33,,"Town, remote"
school_district,urban_centric_locale,41,,"Rural, fringe"
school_district,urban_centric_locale,42,,"Rural, distant"
school_district,urban_centric_locale,43,,"Rural, remote"
school_district,agency_type,1,,Regular local school district
school_district,agency_type,2,,Local school district that is a component of a supervisory union
school_district,agency_type,3,,Supervisory union
school_district,agency_type,4,,Regional education service agency
school_district,agency_type,5,,State-operated agency
school_district,agency_type,6,,Federally operated agency
school_district,agency_type,7,,Charter agency
school_district,agency_type,8,,Other education agency
school_district,agency_type,9,,Specialized public school district
school_district,agency_level,0,,Prekindergarten
school_district,agency_level,1,,Primary
school_district,agency_level,2,,Middle
school_district,agency_level,3,,High
school_district,agency_level,4,,Other
school_district,agency_level,5,,Ungraded
school_district,agency_level,6,,Adult Education
school_district,agency_level,7,,Secondary
school_district,agency_charter_indicator,1,,All charter schools
school_district,agency_charter_indicator,2,,Some charter schools
school_district,agency_charter_indicator,3,,No charter schools
school_district,boundary_change_indicator,1,,No change; operational
school_district,boundary_change_indicator,2,,Closed
school_district,boundary_change_indicator,3,,New
school_district,boundary_change_indicator,4,,Added
school_district,boundary_change_indicator,5,,Significant change in geographical boundaries or instructional responsibility
school_district,boundary_change_indicator,6,,Temporarily closed
school_district,boundary_change_indicator,7,,Future
school_district,boundary_change_indicator,8,,Reopened
school_district,bureau_indian_education,1,,Yes
school_district,bureau_indian_education,0,,No
school_district,lowest_grade_offered,0,,Kindergarten
school_district,lowest_grade_offered,1,,1
school_district,lowest_grade_offered,2,,2
school_district,lowest_grade_offered,3,,3
school_district,lowest_grade_offered,4,,4
school_district,lowest_grade_offered,5,,5
school_district,lowest_grade_offered,6,,6
school_district,lowest_grade_offered,7,,7
school_district,lowest_grade_offered,8,,8
school_district,lowest_grade_offered,9,,9
school_district,lowest_grade_offered,10,,10
school_district,lowest_grade_offered,11,,11
school_district,lowest_grade_offered,12,,12
school_district,lowest_grade_offered,13,,13
school_district,lowest_grade_offered,14,,Adult education
school_district,lowest_grade_offered,15,,Ungraded
school_district,highest_grade_offered,0,,Kindergarten
school_district,highest_grade_offered,1,,1
school_district,highest_grade_offered,2,,2
school_district,highest_grade_offered,3,,3
school_district,highest_grade_offered,4,,4
school_district,highest_grade_offered,5,,5
school_district,highest_grade_offered,6,,6
school_district,highest_grade_offered,7,,7
school_district,highest_grade_offered,8,,8
school_district,highest_grade_offered,9,,9
school_district,highest_grade_offered,10,,10
school_district,highest_grade_offered,11,,11
school_district,highest_grade_offered,12,,12
school_district,highest_grade_offered,13,,13
school_district,highest_grade_offered,14,,Adult education
school_district,highest_grade_offered,15,,Ungraded
school_enrollment,state_id,01,,Alabama
school_enrollment,state_id,02,,Alaska
school_enrollment,state_id,03,,American Samoa
school_enrollment,state_id,04,,Arizona
school_enrollment,state_id,05,,Arkansas
school_enrollment,state_id,06,,California
school_enrollment,state_id,07,,Canal Zone
school_enrollment,state_id,08,,Colorado
school_enrollment,state_id,09,,Connecticut
school_enrollment,state_id,10,,Delaware
school_enrollment,state_id,11,,District of Columbia
school_enrollment,state_id,12,,Florida
school_enrollment,state_id,13,,Georgia
school_enrollment,state_id,14,,Guam
school_enrollment,state_id,15,,Hawaii
school_enrollment,state_id,16,,Idaho
school_enrollment,state_id,17,,Illinois
school_enrollment,state_id,18,,Indiana
school_enrollment,state_id,19,,Iowa
school_enrollment,state_id,20,,Kansas
school_enrollment,state_id,21,,Kentucky
school_enrollment,state_id,22,,Louisiana
school_enrollment,state_id,23,,Maine
school_enrollment,state_id,24,,Maryland
school_enrollment,state_id,25,,Massachusetts
school_enrollment,state_id,26,,Michigan
school_enrollment,state_id,27,,Minnesota
school_enrollment,state_id,28,,Mississippi
school_enrollment,state_id,29,,Missouri
school_enrollment,state_id,30,,Montana
school_enrollment,state_id,31,,Nebraska
school_enrollment,state_id,32,,Nevada
school_enrollment,state_id,33,,New Hampshire
school_enrollment,state_id,34,,New Jersey
school_enrollment,state_id,35,,New Mexico
school_enrollment,state_id,36,,New York
school_enrollment,state_id,37,,North Carolina
school_enrollment,state_id,38,,North Dakota
school_enrollment,state_id,39,,Ohio
school_enrollment,state_id,40,,Oklahoma
school_enrollment,state_id,41,,Oregon
school_enrollment,state_id,42,,Pennsylvania
school_enrollment,state_id,43,,Puerto Rico
school_enrollment,state_id,44,,Rhode Island
school_enrollment,state_id,45,,South Carolina
school_enrollment,state_id,46,,South Dakota
school_enrollment,state_id,47,,Tennessee
school_enrollment,state_id,48,,Texas
school_enrollment,state_id,49,,Utah
school_enrollment,state_id,50,,Vermont
school_enrollment,state_id,51,,Virginia
school_enrollment,state_id,52,,Virgin Islands of the US
school_enrollment,state_id,53,,Washington
school_enrollment,state_id,54,,West Virginia
school_enrollment,state_id,55,,Wisconsin
school_enrollment,state_id,56,,Wyoming
school_enrollment,state_id,58,,Department of Defense Dependent Schools (overseas)
school_enrollment,state_id,59,,Bureau of Indian Education
school_enrollment,state_id,60,,American Samoa
school_enrollment,state_id,61,,Department of Defense Dependent Schools (domestic)
school_enrollment,state_id,63,,Department of Defense Education Activity
school_enrollment,state_id,64,,Federated States of Micronesia
school_enrollment,state_id,65,,Mariana Islands waters (including Guam)
school_enrollment,state_id,66,,Guam
school_enrollment,state_id,67,,Johnston Atoll
school_enrollment,state_id,68,,Marshall Islands
school_enrollment,state_id,69,,Northern Mariana Islands
school_enrollment,state_id,70,,Palau
school_enrollment,state_id,71,,Midway Islands
school_enrollment,state_id,72,,Puerto Rico
school_enrollment,state_id,74,,US Minor Outlying Islands
school_enrollment,state_id,75,,"Atlantic coast from North Carolina to Florida, and the coasts of Puerto Rico and Virgin Islands"
school_enrollment,state_id,76,,Navassa Island
school_enrollment,state_id,78,,Virgin Islands of the US
school_enrollment,state_id,79,,Wake Island
school_enrollment,state_id,81,,Baker Island
