name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano-calendário de referência do formulário,Report calendar year of the form,Año calendario de referencia del formulario,,,diretorios_data_tempo.ano:ano,year,,,,,Year
month,INT64,Mês de referência (1 a 12),Report month (1 to 12),Mes de referencia (1 a 12),,,diretorios_data_tempo.mes:mes,month,,,,,Month
state_id,STRING,Código FIPS do estado dos Estados Unidos,FIPS code of the U.S. state,Código FIPS del estado de los Estados Unidos,,,br_bd_diretorios_us.state:id_state,,,,,,State
state_code,STRING,Código postal de dois caracteres do estado ou território conforme a fonte,Two-character postal code of the state or territory as published by the source,Código postal de dos caracteres del estado o territorio según la fuente,,,,,,,,,State
customer_sector,STRING,"Setor de consumo final: residencial, comercial, industrial ou transporte","End-use customer sector: residential, commercial, industrial or transportation","Sector de consumo final: residencial, comercial, industrial o transporte",,,,,,,,,(sector banner)
data_status,STRING,Situação do dado do mês: preliminar ou final,Status of the month's data: preliminary or final,Situación del dato del mes: preliminar o final,,,,,,,,,Data Status
sales_mwh,FLOAT64,Vendas de eletricidade a consumidores finais no setor no mês,Electricity sales to end-use customers in the sector in the month,Ventas de electricidad a consumidores finales en el sector en el mes,,,,megawatt_hour,,,,,Sales (Megawatthours)
revenue_usd,FLOAT64,"Receita com vendas a consumidores finais no setor no mês, convertida de milhares de dólares para dólares","Revenue from sales to end-use customers in the sector in the month, converted from thousands of dollars to dollars","Ingresos por ventas a consumidores finales en el sector en el mes, convertidos de miles de dólares a dólares",,,,usd,,,,,Revenue (Thousand Dollars)
customer_count,INT64,Número de consumidores finais atendidos no setor no mês,Number of end-use customers served in the sector in the month,Número de consumidores finales atendidos en el sector en el mes,,,,unit,,,,,Customers (Count)
average_price_cents_kwh,FLOAT64,"Preço médio ao consumidor final no setor no mês, conforme publicado pela fonte","Average price to the end-use customer in the sector in the month, as published by the source","Precio medio al consumidor final en el sector en el mes, según lo publicado por la fuente",,,,cents_per_kilowatt_hour,,,,,Price (Cents/kWh)
