name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano-calendário de referência do formulário,Report calendar year of the form,Año calendario de referencia del formulario,,,diretorios_data_tempo.ano:ano,year,,,,,Year
utility_id,STRING,Identificador da empresa (Utility Number) atribuído pela EIA; é a chave de junção estável com o conjunto us_eia_electricity e entre os formulários da EIA,Utility Number assigned by EIA; the stable join key with the us_eia_electricity dataset and across EIA forms,Número de empresa (Utility Number) asignado por la EIA; es la clave de unión estable con el conjunto us_eia_electricity y entre los formularios de la EIA,,,,,,Junta-se a us_eia_electricity pelo mesmo identificador de empresa da EIA,Joins to us_eia_electricity on the same EIA utility identifier,Se une a us_eia_electricity por el mismo identificador de empresa de la EIA,Utility Number
utility_name,STRING,Nome da empresa conforme declarado no formulário,Utility name as reported on the form,Nombre de la empresa según lo declarado en el formulario,,,,,,,,,Utility Name
state_id,STRING,Código FIPS do estado dos Estados Unidos,FIPS code of the U.S. state,Código FIPS del estado de los Estados Unidos,,,br_bd_diretorios_us.state:id_state,,,,,,State
ownership_type,STRING,"Tipo de propriedade da empresa, conforme a EIA (por exemplo, Investor Owned, Municipal, Cooperative, Federal, Political Subdivision, Power Marketer)","Ownership type of the utility, as classified by EIA (for example Investor Owned, Municipal, Cooperative, Federal, Political Subdivision, Power Marketer)","Tipo de propiedad de la empresa, según la EIA (por ejemplo Investor Owned, Municipal, Cooperative, Federal, Political Subdivision, Power Marketer)",,,,,,,,,Ownership
ba_code,STRING,Código da autoridade de balanceamento (balancing authority) da empresa; coletado a partir de 2012,Balancing authority code of the utility; collected from 2012 on,Código de la autoridad de balance de la empresa; recopilado desde 2012,,,,,,,,,BA Code
part,STRING,"Parte do Anexo 4 do formulário em que a linha foi declarada, indicando o tipo de arranjo de serviço","Part of the form's Schedule 4 the row was reported under, indicating the type of service arrangement","Parte del Anexo 4 del formulario en la que se declaró la fila, que indica el tipo de arreglo de servicio",,yes,,,,,,,Part
service_type,STRING,"Tipo de serviço prestado: Bundled (energia e distribuição), Energy (só energia) ou Delivery (só distribuição)","Type of service provided: Bundled (energy and delivery), Energy (energy only) or Delivery (delivery only)","Tipo de servicio prestado: Bundled (energía y distribución), Energy (solo energía) o Delivery (solo distribución)",,,,,,,,,Service Type
data_type,STRING,Indica se o valor foi observado (declarado pelo respondente) ou imputado pela EIA,Whether the value was observed (reported by the respondent) or imputed by EIA,Indica si el valor fue observado (declarado por el encuestado) o imputado por la EIA,,yes,,,,,,,Data Type
customer_sector,STRING,"Setor de consumo final: residencial, comercial, industrial ou transporte","End-use customer sector: residential, commercial, industrial or transportation","Sector de consumo final: residencial, comercial, industrial o transporte",,,,,,,,,(sector banner)
sales_mwh,FLOAT64,Vendas de eletricidade a consumidores finais no setor,Electricity sales to end-use customers in the sector,Ventas de electricidad a consumidores finales en el sector,,,,megawatt_hour,,,,,Sales (Megawatthours)
revenue_usd,FLOAT64,"Receita com vendas a consumidores finais no setor, convertida de milhares de dólares para dólares","Revenue from sales to end-use customers in the sector, converted from thousands of dollars to dollars","Ingresos por ventas a consumidores finales en el sector, convertidos de miles de dólares a dólares",,,,usd,,,,,Revenues (Thousand Dollars)
customer_count,INT64,Número de consumidores finais atendidos no setor,Number of end-use customers served in the sector,Número de consumidores finales atendidos en el sector,,,,unit,,,,,Customers (Count)
average_price_cents_kwh,FLOAT64,"Preço médio ao consumidor final no setor, derivado como receita dividida por vendas","Average price to the end-use customer in the sector, derived as revenue divided by sales","Precio medio al consumidor final en el sector, derivado como ingresos divididos por ventas",,,,cents_per_kilowatt_hour,,Derivado: receita em milhares de dólares x 100 dividida por vendas em MWh; nulo quando não há vendas,Derived: revenue in thousands of dollars times 100 divided by sales in MWh; null when there are no sales,Derivado: ingresos en miles de dólares por 100 divididos por ventas en MWh; nulo cuando no hay ventas,(derived)
