id_county,name,id_state,abbreviation_state,name_state
01013,Butler County,01,AL,Alabama
01119,Sumter County,01,AL,Alabama
01035,Conecuh County,01,AL,Alabama
01091,Marengo County,01,AL,Alabama
01029,Cleburne County,01,AL,Alabama
01019,Cherokee County,01,AL,Alabama
01039,Covington County,01,AL,Alabama
01075,Lamar County,01,AL,Alabama
01093,Marion County,01,AL,Alabama
01099,Monroe County,01,AL,Alabama
01025,Clarke County,01,AL,Alabama
01053,Escambia County,01,AL,Alabama
01129,Washington County,01,AL,Alabama
01133,Winston County,01,AL,Alabama
01131,Wilcox County,01,AL,Alabama
01023,Choctaw County,01,AL,Alabama
01111,Randolph County,01,AL,Alabama
01011,Bullock County,01,AL,Alabama
01027,Clay County,01,AL,Alabama
01041,Crenshaw County,01,AL,Alabama
01057,Fayette County,01,AL,Alabama
01105,Perry County,01,AL,Alabama
01095,Marshall County,01,AL,Alabama
01123,Tallapoosa County,01,AL,Alabama
01015,Calhoun County,01,AL,Alabama
01081,Lee County,01,AL,Alabama
01087,Macon County,01,AL,Alabama
01117,Shelby County,01,AL,Alabama
01009,Blount County,01,AL,Alabama
01115,St. Clair County,01,AL,Alabama
01021,Chilton County,01,AL,Alabama
01073,Jefferson County,01,AL,Alabama
01127,Walker County,01,AL,Alabama
01007,Bibb County,01,AL,Alabama
01113,Russell County,01,AL,Alabama
01043,Cullman County,01,AL,Alabama
01003,Baldwin County,01,AL,Alabama
01103,Morgan County,01,AL,Alabama
01079,Lawrence County,01,AL,Alabama
01069,Houston County,01,AL,Alabama
01061,Geneva County,01,AL,Alabama
01067,Henry County,01,AL,Alabama
01031,Coffee County,01,AL,Alabama
01005,Barbour County,01,AL,Alabama
01033,Colbert County,01,AL,Alabama
01077,Lauderdale County,01,AL,Alabama
01049,DeKalb County,01,AL,Alabama
01055,Etowah County,01,AL,Alabama
01089,Madison County,01,AL,Alabama
01083,Limestone County,01,AL,Alabama
01017,Chambers County,01,AL,Alabama
01097,Mobile County,01,AL,Alabama
01001,Autauga County,01,AL,Alabama
01101,Montgomery County,01,AL,Alabama
01085,Lowndes County,01,AL,Alabama
01051,Elmore County,01,AL,Alabama
01045,Dale County,01,AL,Alabama
01059,Franklin County,01,AL,Alabama
01071,Jackson County,01,AL,Alabama
01047,Dallas County,01,AL,Alabama
01121,Talladega County,01,AL,Alabama
01037,Coosa County,01,AL,Alabama
01109,Pike County,01,AL,Alabama
01065,Hale County,01,AL,Alabama
01107,Pickens County,01,AL,Alabama
01125,Tuscaloosa County,01,AL,Alabama
01063,Greene County,01,AL,Alabama
02013,Aleutians East Borough,02,AK,Alaska
02230,Skagway Municipality,02,AK,Alaska
02063,Chugach Census Area,02,AK,Alaska
02195,Petersburg Borough,02,AK,Alaska
02100,Haines Borough,02,AK,Alaska
02105,Hoonah-Angoon Census Area,02,AK,Alaska
02158,Kusilvak Census Area,02,AK,Alaska
02122,Kenai Peninsula Borough,02,AK,Alaska
02180,Nome Census Area,02,AK,Alaska
02068,Denali Borough,02,AK,Alaska
02290,Yukon-Koyukuk Census Area,02,AK,Alaska
02185,North Slope Borough,02,AK,Alaska
02275,Wrangell City and Borough,02,AK,Alaska
02066,Copper River Census Area,02,AK,Alaska
02070,Dillingham Census Area,02,AK,Alaska
02240,Southeast Fairbanks Census Area,02,AK,Alaska
02016,Aleutians West Census Area,02,AK,Alaska
02282,Yakutat City and Borough,02,AK,Alaska
02050,Bethel Census Area,02,AK,Alaska
02220,Sitka City and Borough,02,AK,Alaska
02150,Kodiak Island Borough,02,AK,Alaska
02060,Bristol Bay Borough,02,AK,Alaska
02198,Prince of Wales-Hyder Census Area,02,AK,Alaska
02188,Northwest Arctic Borough,02,AK,Alaska
02164,Lake and Peninsula Borough,02,AK,Alaska
