name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano-calendário de referência das atividades informadas,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column,YEAR
tri_facility_id,STRING,"Identificador TRI da instalação (TRIFID), 15 caracteres; identifica uma localização geográfica e não muda com trocas de proprietário",,no,,,no,,TRIFID
document_control_number,STRING,"Número de controle do documento, identificador único da submissão (Form R ou Form A) atribuído pela EPA",,no,,,no,Unique identifier assigned by EPA to each submission; format TTYY plus a sequential number,DOC_CTRL_NUM
tri_chemical_id,STRING,Identificador TRI do produto químico ou categoria de compostos: número CAS sem hífens com zeros à esquerda (10 dígitos) ou código Nnnn para categorias,,no,,,no,The value 9999999999 marks sanitized trade-secret submissions,TRI CHEMICAL/COMPOUND ID
chemical_name,STRING,"Nome do produto químico conforme informado no formulário (ou nome genérico, se declarado como segredo industrial)",,no,,,no,As reported on the form; the canonical name per chemical ID is in the chemical table,CHEMICAL
form_type,STRING,"Tipo de formulário entregue: R (Form R, relatório completo) ou A (Form A, declaração de certificação sem quantidades)",,yes,,,no,,FORM TYPE
elemental_metal_included,STRING,Indica se o formulário combina um composto metálico e o metal elementar correspondente (YES ou NO),2018(1),no,,,no,Collected since RY 2018,ELEMENTAL METAL INCLUDED
unit_of_measure,STRING,"Unidade em que a fonte informou as quantidades deste formulário: Pounds (libras) ou Grams (gramas, para dioxinas)",,no,,,no,"Unit the source used for this form: Pounds, or Grams for dioxin and dioxin-like compounds. Every quantity column in this dataset has already been put in a single unit",UNIT OF MEASURE
industry_sector_code,STRING,Código NAICS (3 ou 4 dígitos) do setor industrial atribuído pela EPA para análise de tendências do TRI,,no,,,no,,INDUSTRY SECTOR CODE
industry_sector,STRING,"Nome do setor industrial atribuído pela EPA (por exemplo Chemicals, Primary Metals)",,no,,,no,,INDUSTRY SECTOR
primary_sic,STRING,Código SIC (Standard Industrial Classification) primário de quatro dígitos da instalação,1987(1)2005,no,br_bd_diretorios_us.sic:id_sic,,no,Reported by facilities from RY 1987 through 2005; empty afterwards. The source's INVA (invalid) and NA are null,PRIMARY SIC
sic_2,STRING,Segundo código SIC (Standard Industrial Classification) de quatro dígitos informado pela instalação,1987(1)2005,no,,,no,Reported by facilities from RY 1987 through 2005; empty afterwards. The source's INVA (invalid) and NA are null,SIC 2
sic_3,STRING,Terceiro código SIC (Standard Industrial Classification) de quatro dígitos informado pela instalação,1987(1)2005,no,,,no,Reported by facilities from RY 1987 through 2005; empty afterwards. The source's INVA (invalid) and NA are null,SIC 3
