name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,"Ano de referência dos dados, usado como coluna de partição",,no,diretorios_data_tempo.ano:ano,year,no,,data_year
state_abbr,STRING,"Sigla de duas letras do estado, distrito ou território da agência",,no,,,no,,state_abbr
offender_id,STRING,"Identificador do agressor atribuído pelo FBI, único dentro do estado e do ano",,no,,,no,,offender_id
incident_id,STRING,"Identificador do incidente atribuído pelo FBI, único dentro do estado e do ano",,no,,,no,,incident_id
offender_sequence_number,STRING,Número de ordem do agressor dentro do incidente,,no,,,no,"O valor 0 identifica agressores desconhecidos, cujos atributos demográficos são todos nulos. The value 0 identifies unknown offenders, whose demographic attributes are all null.",offender_seq_num
age_code,STRING,"Código da faixa etária do agressor, incluindo os códigos de desconhecido e de menor de um ano",,yes,,,no,,age_id
age,INT64,"Idade exata do agressor em anos, quando informada",,no,,year,no,,age_num
age_range_low,INT64,"Limite inferior da faixa etária do agressor, quando a idade exata não é informada",,no,,year,no,,age_range_low_num
age_range_high,INT64,"Limite superior da faixa etária do agressor, quando a idade exata não é informada",,no,,year,no,,age_range_high_num
sex_code,STRING,Código do sexo do agressor,,yes,,,no,,sex_code
race_code,STRING,"Código da raça do agressor, tal como registrado pela agência",,yes,,,no,,race_id
ethnicity_code,STRING,Código da etnia hispânica ou latina do agressor,,yes,,,no,Coletado apenas por parte das agências; a cobertura varia muito entre estados e anos. Collected by only some agencies; coverage varies widely across states and years.,ethnicity_id
