name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,"Ano de referência dos dados, usado como coluna de partição",,no,diretorios_data_tempo.ano:ano,year,no,,year
state_abbr,STRING,"Sigla de duas letras do estado, distrito ou território da agência",,no,,,no,,numeric_state_code
ori,STRING,"Originating Agency Identifier de nove caracteres, para junção com as demais tabelas",,no,,,no,"O arquivo Return A traz apenas o ORI de sete caracteres do NCIC; a forma de nove é obtida na limpeza acrescentando o sufixo '00' da própria agência. A regra resolve para um ORI existente em 87,6% das agências em 2023 e 96,5% em 1995; as demais são agências que nunca enviaram o formulário de pessoal. The Return A file carries only the seven-character NCIC ORI; the nine-character form is derived during cleaning by appending the agency's own '00' suffix. The rule resolves to an existing ORI for 87.6% of agencies in 2023 and 96.5% in 1995; the rest are agencies that never filed an employee return.",ori_code
legacy_ori,STRING,"ORI de sete caracteres do NCIC, tal como publicado no arquivo Return A",,no,,,no,,ori_code
record_number,STRING,"Ordem do registro físico Return A da agência dentro do ano, a partir de 1",,no,,,no,"Quase sempre 1. O FBI passou a enviar mais de um registro por agência e ano nos arquivos recentes — 272 agências em 2022, uma delas 16 vezes — cada um com suas próprias contagens; nada no registro diz se substituem ou somam-se uns aos outros, por isso são mantidos e numerados. Almost always 1. The FBI began shipping more than one record per agency-year in the recent files — 272 agencies in 2022, one of them 16 times — each with its own counts; nothing in the record says whether they replace or supplement one another, so they are kept and numbered.",
month,INT64,"Mês de referência dos dados, de 1 a 12",,no,,month,no,,month
offense_code,STRING,Item de ofensa do formulário Return A a que as contagens se referem,,yes,,,no,"São os 27 itens do formulário resumido Return A, não os códigos do NIBRS: alguns são totais que somam os itens seguintes, de modo que somar todos os itens conta duas vezes. These are the 27 line items of the Return A summary form, not NIBRS codes: some are totals that add up the following items, so summing every item double counts.",
actual_count,INT64,"Número de ofensas efetivamente ocorridas, já descontadas as infundadas",,no,,offense,no,,card_1_actual_offenses
unfounded_count,INT64,Número de ofensas denunciadas que a investigação concluiu não terem ocorrido,,no,,offense,no,Zero em todos os registros anteriores a 1983. Zero for every record before 1983.,card_0_unfounded_offenses
cleared_count,INT64,Número de ofensas esclarecidas por prisão ou por meio excepcional,,no,,offense,no,,card_2_total_offenses_cleared
juvenile_cleared_count,INT64,Número de ofensas esclarecidas envolvendo apenas pessoas menores de 18 anos,,no,,offense,no,,card_3_clearances_under_18
record_type_code,STRING,"Código do tipo de registro do mês, que distingue retorno normal, ajuste e dado indisponível",,yes,,,no,"Registros de ajuste podem trazer contagens negativas, que corrigem meses anteriores. Adjustment records may carry negative counts, which correct earlier months.",card_1_type
breakdown_reported_flag,STRING,Indica se a agência informou a abertura por subtipo de ofensa ou apenas os totais,,yes,,,no,,card_1_p_t
