id_tabela,nome_coluna,chave,cobertura_temporal,valor
agency,core_city_flag,N,,Not a core city
agency,core_city_flag,Y,,Core city of a metropolitan statistical area
agency,nibrs_participated,N,,Did not report to NIBRS in the year
agency,nibrs_participated,Y,,Reported to NIBRS in the year
agency,population_group_code,0,,Possessions
agency,population_group_code,1,,"Cities 250,000 or over"
agency,population_group_code,1A,,"Cities 1,000,000 or over"
agency,population_group_code,1B,,"Cities from 500,000 through 999,999"
agency,population_group_code,1C,,"Cities from 250,000 through 499,999"
agency,population_group_code,2,,"Cities from 100,000 through 249,999"
agency,population_group_code,3,,"Cities from 50,000 through 99,999"
agency,population_group_code,4,,"Cities from 25,000 through 49,999"
agency,population_group_code,5,,"Cities from 10,000 through 24,999"
agency,population_group_code,6,,"Cities from 2,500 through 9,999"
agency,population_group_code,7,,"Cities under 2,500"
agency,population_group_code,8,,Non-metropolitan counties
agency,population_group_code,8A,,"Non-metropolitan counties 100,000 or over"
agency,population_group_code,8B,,"Non-metropolitan counties from 25,000 through 99,999"
agency,population_group_code,8C,,"Non-metropolitan counties from 10,000 through 24,999"
agency,population_group_code,8D,,"Non-metropolitan counties under 10,000"
agency,population_group_code,8E,,Non-metropolitan state police
agency,population_group_code,9,,Metropolitan counties
agency,population_group_code,9A,,"Metropolitan counties 100,000 or over"
agency,population_group_code,9B,,"Metropolitan counties from 25,000 through 99,999"
agency,population_group_code,9C,,"Metropolitan counties from 10,000 through 24,999"
agency,population_group_code,9D,,"Metropolitan counties under 10,000"
agency,population_group_code,9E,,Metropolitan state police
arrestee,age_code,00,,Unknown
arrestee,age_code,01,,1 Years Old
arrestee,age_code,02,,2 Years Old
arrestee,age_code,03,,3 Years Old
arrestee,age_code,04,,4 Years Old
arrestee,age_code,05,,5 Years Old
arrestee,age_code,06,,6 Years Old
arrestee,age_code,07,,7 Years Old
arrestee,age_code,08,,8 Years Old
arrestee,age_code,09,,9 Years Old
arrestee,age_code,10,,10 Years Old
arrestee,age_code,11,,11 Years Old
arrestee,age_code,12,,12 Years Old
arrestee,age_code,13,,13 Years Old
arrestee,age_code,14,,14 Years Old
arrestee,age_code,15,,15 Years Old
