name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_pt,description_en,description_es
extraction_date,DATE,Date the institution directory was extracted from the FDIC API,,no,,,no,"The directory is a current-state snapshot: one row per institution, carrying its latest known attributes rather than a history of them",(derived),Data em que o cadastro de instituições foi extraído da API do FDIC,Date the institution directory was extracted from the FDIC API,Fecha en que el directorio de instituciones fue extraído de la API de la FDIC
cert,STRING,FDIC certificate number identifying the institution,,no,,,no,Primary key. Stable across name changes and the key used by financials,CERT,Número do certificado do FDIC que identifica a instituição,FDIC certificate number identifying the institution,Número de certificado de la FDIC que identifica a la institución
name,STRING,Legal name of the institution,,no,,,no,,NAME,Razão social da instituição,Legal name of the institution,Razón social de la institución
rssd_id,STRING,Federal Reserve RSSD identifier,,no,,,no,Used to join to Federal Reserve and FFIEC sources,FED_RSSD,Identificador RSSD no Federal Reserve,Federal Reserve RSSD identifier,Identificador RSSD en la Reserva Federal
uninum,STRING,FDIC unique number for the institution,,no,,,no,,UNINUM,Número único atribuído pelo FDIC à instituição,FDIC unique number for the institution,Número único asignado por la FDIC a la institución
lei,STRING,Legal Entity Identifier,,no,,,no,,LEI,Identificador de entidade jurídica (LEI),Legal Entity Identifier,Identificador de entidad jurídica (LEI)
occ_charter_number,STRING,Charter number assigned by the OCC,,no,,,no,,CHARTER,Número de charter atribuído pelo OCC,Charter number assigned by the OCC,Número de charter asignado por la OCC
ots_docket_number,STRING,Docket number assigned by the former OTS,,no,,,no,,DOCKET,Número de processo atribuído pelo extinto OTS,Docket number assigned by the former OTS,Número de expediente asignado por la extinta OTS
previous_name,STRING,Most recent previous name of the institution,,no,,,no,The FDIC publishes up to ten previous names; only the most recent is kept,PRIORNAME1,Nome anterior mais recente da instituição,Most recent previous name of the institution,Nombre anterior más reciente de la institución
holding_company_rssd_id,STRING,RSSD identifier of the regulatory top holding company,,no,,,no,,RSSDHCR,Identificador RSSD da holding controladora final,RSSD identifier of the regulatory top holding company,Identificador RSSD de la sociedad holding controladora final
holding_company_name,STRING,Name of the regulatory top holding company,,no,,,no,,NAMEHCR,Nome da holding controladora final,Name of the regulatory top holding company,Nombre de la sociedad holding controladora final
holding_company_city,STRING,City of the regulatory top holding company,,no,,,no,,CITYHCR,Cidade da holding controladora final,City of the regulatory top holding company,Ciudad de la sociedad holding controladora final
holding_company_state,STRING,State abbreviation of the regulatory top holding company,,no,,,no,,STALPHCR,Sigla do estado da holding controladora final,State abbreviation of the regulatory top holding company,Sigla del estado de la sociedad holding controladora final
holding_company_type,STRING,Type of bank holding company,,yes,,,no,,HCTMULT,Tipo de holding bancária,Type of bank holding company,Tipo de sociedad holding bancaria
parent_cert,STRING,FDIC certificate number of the bank that directly owns this one,,no,,,no,,PARCERT,Número do certificado do FDIC do banco que detém diretamente esta instituição,FDIC certificate number of the bank that directly owns this one,Número de certificado de la FDIC del banco que posee directamente esta institución
ultimate_cert,STRING,FDIC certificate number the institution ultimately maps to,,no,,,no,,ULTCERT,Número do certificado do FDIC ao qual a instituição corresponde em última instância,FDIC certificate number the institution ultimately maps to,Número de certificado de la FDIC al que la institución corresponde en última instancia
successor_cert,STRING,FDIC certificate number the institution became after a merger or conversion,,no,,,no,,NEWCERT,Número do certificado do FDIC que a instituição passou a ter após fusão ou conversão,FDIC certificate number the institution became after a merger or conversion,Número de certificado de la FDIC que la institución pasó a tener tras una fusión o conversión
institution_class,STRING,Charter and supervisory class of the institution,,yes,,,no,,BKCLASS,Classe de charter e de supervisão da instituição,Charter and supervisory class of the institution,Clase de charter y de supervisión de la institución
class_code,STRING,Numeric subcategory of the institution class,,yes,,,no,,CLCODE,Subcategoria numérica da classe da instituição,Numeric subcategory of the institution class,Subcategoría numérica de la clase de la institución
chartering_agency,STRING,Agency that granted the institution's charter,,yes,,,no,,CHRTAGNT,Órgão que concedeu o charter da instituição,Agency that granted the institution's charter,Organismo que concedió el charter de la institución
primary_regulator,STRING,Primary federal regulator,,yes,,,no,,REGAGNT,Regulador federal primário,Primary federal regulator,Regulador federal primario
secondary_regulator,STRING,Secondary regulator,,yes,,,no,,REGAGENT2,Regulador secundário,Secondary regulator,Regulador secundario
is_state_chartered,STRING,Whether the institution holds a state charter,,yes,,,no,,STCHRTR,Indica se a instituição possui charter estadual,Whether the institution holds a state charter,Indica si la institución posee charter estatal
is_federally_chartered,STRING,Whether the institution holds a federal charter,,yes,,,no,,FEDCHRTR,Indica se a instituição possui charter federal,Whether the institution holds a federal charter,Indica si la institución posee charter federal
specialization_group,STRING,Asset concentration group the institution falls into,,yes,,,no,,SPECGRPN,Grupo de concentração de ativos em que a instituição se enquadra,Asset concentration group the institution falls into,Grupo de concentración de activos en que se ubica la institución
ownership_type,STRING,Whether the institution is stock-owned or mutually owned,,yes,,,no,,MUTUAL,Indica se a instituição é de capital acionário ou mútua,Whether the institution is stock-owned or mutually owned,Indica si la institución es de capital accionario o mutua
is_subchapter_s,STRING,Whether the institution is a Subchapter S corporation,,yes,,,no,,SUBCHAPS,Indica se a instituição é uma corporação Subchapter S,Whether the institution is a Subchapter S corporation,Indica si la institución es una corporación Subchapter S
is_community_bank,STRING,Whether the institution meets the FDIC community bank definition,,yes,,,no,,CB,Indica se a instituição atende à definição de banco comunitário do FDIC,Whether the institution meets the FDIC community bank definition,Indica si la institución cumple la definición de banco comunitario de la FDIC
minority_status,STRING,Minority depository institution status,,yes,,,no,,MDI_STATUS_DESC,Situação da instituição como depositária de propriedade minoritária,Minority depository institution status,Situación de la institución como depositaria de propiedad minoritaria
trust_powers,STRING,Trust powers granted to the institution,,yes,,,no,,TRUST,Poderes fiduciários concedidos à instituição,Trust powers granted to the institution,Poderes fiduciarios concedidos a la institución
is_agricultural_lender,STRING,Whether the institution is classified as an agricultural lender,,yes,,,no,,INSTAG,Indica se a instituição é classificada como credora agrícola,Whether the institution is classified as an agricultural lender,Indica si la institución se clasifica como prestamista agrícola
is_credit_card_institution,STRING,Whether the institution is classified as a credit card institution,,yes,,,no,,INSTCRCD,Indica se a instituição é classificada como instituição de cartão de crédito,Whether the institution is classified as a credit card institution,Indica si la institución se clasifica como institución de tarjeta de crédito
is_insured_foreign_branch,STRING,Whether the institution is an insured office of a foreign bank,,yes,,,no,,IBA,Indica se a instituição é uma agência segurada de banco estrangeiro,Whether the institution is an insured office of a foreign bank,Indica si la institución es una oficina asegurada de un banco extranjero
files_call_report_31,STRING,Whether the institution files the FFIEC 031 Call Report,,yes,,,no,,FORM31,Indica se a instituição entrega o Call Report FFIEC 031,Whether the institution files the FFIEC 031 Call Report,Indica si la institución presenta el Call Report FFIEC 031
is_fdic_insured,STRING,Whether the institution is insured by the FDIC,,yes,,,no,,INSFDIC,Indica se a instituição é segurada pelo FDIC,Whether the institution is insured by the FDIC,Indica si la institución está asegurada por la FDIC
