name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,"Ano do ciclo eleitoral de dois anos, identificado pelo ano par em que termina",1980(2)2026,no,,year,no,"Coluna de partição. Identifica o arquivo em massa da FEC publicado para aquele ciclo. Um ciclo cobre dois anos e é rotulado pelo ano par em que termina, de modo que year=2026 abrange as transações de 2025 e 2026.",,"Year of the two-year election cycle, identified by the even year in which it ends","Año del ciclo electoral de dos años, identificado por el año par en que termina"
candidate_id,STRING,Identificador de nove caracteres do candidato atribuído pela FEC,,no,,,no,,CAND_ID,Nine-character candidate identifier assigned by the FEC,Identificador de nueve caracteres del candidato asignado por la FEC
principal_committee_id,STRING,Identificador do comitê de campanha principal do candidato no ciclo,,no,,,no,,CAND_PCC,Identifier of the candidate's principal campaign committee in the cycle,Identificador del comité de campaña principal del candidato en el ciclo
candidate_name,STRING,Nome do candidato conforme registrado na FEC,,no,,,no,,CAND_NAME,Name of the candidate as registered with the FEC,Nombre del candidato según registrado en la FEC
party,STRING,Partido declarado pelo candidato,,yes,,,no,"Campo preenchido pelo declarante: cerca de 99% dos valores seguem a lista de códigos de partido da FEC, registrada no dicionário, mas o restante traz variantes não canônicas (por exemplo GOP, Rep, siglas de estado).",CAND_PTY_AFFILIATION,Party reported by the candidate,Partido declarado por el candidato
election_year,INT64,Ano da eleição informado na declaração de candidatura,,no,,year,no,,CAND_ELECTION_YR,Election year reported on the statement of candidacy,Año de la elección informado en la declaración de candidatura
office,STRING,"Cargo disputado: H (Câmara), S (Senado) ou P (Presidência)",,yes,,,no,,CAND_OFFICE,"Office sought: H (House), S (Senate) or P (President)","Cargo disputado: H (Cámara), S (Senado) o P (Presidencia)"
office_state,STRING,Estado do cargo disputado,,no,br_bd_diretorios_us.state:abbreviation,,no,Assume o valor US nas candidaturas presidenciais.,CAND_OFFICE_ST,State of the office sought,Estado del cargo disputado
office_district,STRING,Distrito eleitoral do cargo disputado; 00 para Senado e Presidência,,no,,,no,"Rótulo de dois dígitos com zero à esquerda, não uma quantidade.",CAND_OFFICE_DISTRICT,Electoral district of the office sought; 00 for Senate and President,Distrito electoral del cargo disputado; 00 para Senado y Presidencia
incumbent_challenger_status,STRING,"Situação do candidato: I (incumbente), C (desafiante) ou O (cadeira aberta)",,yes,,,no,,CAND_ICI,"Candidate status: I (incumbent), C (challenger) or O (open seat)","Situación del candidato: I (titular), C (retador) u O (escaño abierto)"
candidate_status,STRING,Situação do registro do candidato no ciclo,,yes,,,no,,CAND_STATUS,Status of the candidate's registration in the cycle,Situación del registro del candidato en el ciclo
address_1,STRING,Primeira linha do endereço postal do candidato,,no,,,no,,CAND_ST1,First line of the candidate's mailing address,Primera línea de la dirección postal del candidato
address_2,STRING,Segunda linha do endereço postal do candidato,,no,,,no,,CAND_ST2,Second line of the candidate's mailing address,Segunda línea de la dirección postal del candidato
city,STRING,Cidade do endereço postal do candidato,,no,,,no,,CAND_CITY,City of the candidate's mailing address,Ciudad de la dirección postal del candidato
state,STRING,Sigla do estado do endereço postal do candidato,,no,,,no,"Preenchido pelo declarante; inclui códigos estrangeiros, militares (AA, AE, AP) e erros de digitação, por isso não é ligado ao diretório de estados.",CAND_ST,State code of the candidate's mailing address,Código del estado de la dirección postal del candidato
zip_code,STRING,Código postal (ZIP) do endereço do candidato,,no,,,no,,CAND_ZIP,ZIP code of the candidate's address,Código postal (ZIP) de la dirección del candidato
