name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
cycle,INT64,"Ciclo eleitoral de dois anos, identificado pelo ano par em que termina",1980(2)2026,no,,year,no,"Coluna de partição. Corresponde ao arquivo em massa da FEC publicado para aquele ciclo; o ciclo é rotulado pelo ano par em que termina, de modo que cycle=2026 cobre as transações de 2025 e 2026.",,"Two-year election cycle, identified by the even year in which it ends","Ciclo electoral de dos años, identificado por el año par en que termina"
committee_id,STRING,Identificador de nove caracteres do comitê atribuído pela FEC,,no,,,no,,CMTE_ID,Nine-character committee identifier assigned by the FEC,Identificador de nueve caracteres del comité asignado por la FEC
candidate_id,STRING,"Identificador do candidato associado, quando o comitê é de campanha",,no,,,no,,CAND_ID,"Identifier of the associated candidate, when the committee is a campaign committee","Identificador del candidato asociado, cuando el comité es de campaña"
committee_name,STRING,Nome do comitê conforme registrado na FEC,,no,,,no,,CMTE_NM,Name of the committee as registered with the FEC,Nombre del comité según registrado en la FEC
treasurer_name,STRING,Nome do tesoureiro registrado do comitê,,no,,,no,,TRES_NM,Name of the committee's registered treasurer,Nombre del tesorero registrado del comité
committee_designation,STRING,"Designação do comitê (principal, autorizado, PAC de liderança, entre outras)",,yes,,,no,,CMTE_DSGN,"Committee designation (principal, authorized, leadership PAC, among others)","Designación del comité (principal, autorizado, PAC de liderazgo, entre otras)"
committee_type,STRING,"Tipo de comitê (campanha da Câmara, Senado, presidencial, PAC, partido, Super PAC)",,yes,,,no,,CMTE_TP,"Committee type (House, Senate or presidential campaign, PAC, party, Super PAC)","Tipo de comité (campaña de la Cámara, Senado, presidencial, PAC, partido, Super PAC)"
party,STRING,Partido ao qual o comitê é filiado,,yes,,,no,"Campo preenchido pelo declarante: cerca de 99% dos valores seguem a lista de códigos de partido da FEC, registrada no dicionário, mas o restante traz variantes não canônicas (por exemplo GOP, Rep, siglas de estado).",CMTE_PTY_AFFILIATION,Party the committee is affiliated with,Partido al que el comité está afiliado
filing_frequency,STRING,Frequência de apresentação de relatórios do comitê,,yes,,,no,,CMTE_FILING_FREQ,Frequency with which the committee files reports,Frecuencia con que el comité presenta informes
organization_type,STRING,Categoria do grupo de interesse por trás do comitê,,yes,,,no,,ORG_TP,Interest group category behind the committee,Categoría del grupo de interés detrás del comité
connected_organization_name,STRING,Nome da organização conectada ou patrocinadora do comitê,,no,,,no,,CONNECTED_ORG_NM,Name of the organization connected to or sponsoring the committee,Nombre de la organización conectada o patrocinadora del comité
address_1,STRING,Primeira linha do endereço postal do comitê,,no,,,no,,CMTE_ST1,First line of the committee's mailing address,Primera línea de la dirección postal del comité
address_2,STRING,Segunda linha do endereço postal do comitê,,no,,,no,,CMTE_ST2,Second line of the committee's mailing address,Segunda línea de la dirección postal del comité
city,STRING,Cidade do endereço postal do comitê,,no,,,no,,CMTE_CITY,City of the committee's mailing address,Ciudad de la dirección postal del comité
state,STRING,Sigla do estado do endereço postal do comitê,,no,,,no,"Preenchido pelo declarante; inclui códigos estrangeiros, militares (AA, AE, AP) e erros de digitação, por isso não é ligado ao diretório de estados.",CMTE_ST,State code of the committee's mailing address,Código del estado de la dirección postal del comité
zip_code,STRING,Código postal (ZIP) do endereço do comitê,,no,,,no,,CMTE_ZIP,ZIP code of the committee's address,Código postal (ZIP) de la dirección del comité
