name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,"Ano de referência, usado como coluna de partição",,no,diretorios_data_tempo.ano:ano,year,no,Derived during cleaning: year of year_of_loss,yearOfLoss
state_abbreviation,STRING,"Sigla de duas letras do estado, distrito ou território",,no,,,no,"Não vinculado ao diretório de estados, que é chaveado pelo código FIPS e não pela sigla; a integridade é verificada por teste dbt",state
county_id,STRING,Código FIPS de cinco posições do condado,,no,diretorios_us.county:id_county,,no,Derivado na limpeza; nulo quando a fonte não identifica um condado,countyCode
census_tract_id,STRING,Código de onze posições do setor censitário (census tract),,no,,,no,"Derivado dos onze primeiros dígitos de census_geoid. A vintage do código censitário não é documentada pela FEMA, portanto não há ligação com o diretório de setores censitários. Derived during cleaning: first 11 digits of census_geoid",
census_block_group_id,STRING,Código de doze posições do grupo de quadras censitário (block group),,no,,,no,"Doze dígitos: estado, condado, setor censitário e grupo de quadras",censusGeoid
claim_id,STRING,Identificador único do sinistro atribuído pela OpenFEMA,,no,,,no,,id
date_of_loss,DATE,Data em que a água entrou pela primeira vez na edificação segurada,,no,,,no,,dateOfLoss
agriculture_structure_indicator,BOOLEAN,Indica se o imóvel foi declarado como estrutura agrícola na proposta,,no,,,no,,agricultureStructureIndicator
as_of_date,DATETIME,Data de vigência dos dados no arquivo: quando o registro foi criado ou atualizado pela última vez no sistema de origem,,no,,,no,,asOfDate
basement_enclosure_crawlspace_type,STRING,"Tipo de porão, área fechada ou vão sanitário do imóvel segurado",,yes,,,no,,basementEnclosureCrawlspaceType
policy_count,INT64,Número de unidades seguradas em situação ativa,,no,,,no,Contagem sem unidade de medida cadastrada no back-end,policyCount
crs_class_code,STRING,"Classificação do Community Rating System usada para tarifar a apólice, que determina o desconto no prêmio",,yes,,,no,,crsClassCode
elevated_building_indicator,BOOLEAN,Indica se o imóvel atende à definição de edificação elevada do NFIP,,no,,,no,,elevatedBuildingIndicator
elevation_certificate_indicator,STRING,Indica se a apólice foi tarifada com Elevation Certificate,,yes,,,no,,elevationCertificateIndicator
