name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,"Ano de referência, usado como coluna de partição",,no,diretorios_data_tempo.ano:ano,year,no,Derived during cleaning: year of policy_effective_date,policyEffectiveDate
state_abbreviation,STRING,"Sigla de duas letras do estado, distrito ou território",,no,,,no,"Não vinculado ao diretório de estados, que é chaveado pelo código FIPS e não pela sigla; a integridade é verificada por teste dbt",propertyState
county_id,STRING,Código FIPS de cinco posições do condado,,no,diretorios_us.county:id_county,,no,Derivado na limpeza; nulo quando a fonte não identifica um condado. Derived during cleaning: first 5 digits of census_geoid,
census_tract_id,STRING,Código de onze posições do setor censitário (census tract),,no,,,no,"Derivado dos onze primeiros dígitos de census_geoid. A vintage do código censitário não é documentada pela FEMA, portanto não há ligação com o diretório de setores censitários. Derived during cleaning: first 11 digits of census_geoid",
census_block_group_id,STRING,Código de doze posições do grupo de quadras censitário (block group),,no,,,no,"Doze dígitos: estado, condado, setor censitário e grupo de quadras",censusGeoid
policy_id,STRING,Identificador único da apólice atribuído pela OpenFEMA,,no,,,no,,id
policy_effective_date,DATE,Data de início de vigência da apólice de inundação,,no,,,no,,policyEffectiveDate
agriculture_structure_indicator,BOOLEAN,Indica se o imóvel foi declarado como estrutura agrícola na proposta,,no,,,no,,agricultureStructureIndicator
as_of_date,DATETIME,Data de vigência dos dados no arquivo: quando o registro foi criado ou atualizado pela última vez no sistema de origem,,no,,,no,,asOfDate
base_flood_elevation,FLOAT64,"Cota de inundação base em pés, elevação com 1% de chance anual de ser atingida ou superada",,no,,foot,no,,baseFloodElevation
basement_enclosure_crawlspace_type,STRING,"Tipo de porão, área fechada ou vão sanitário do imóvel segurado",,yes,,,no,,basementEnclosureCrawlspaceType
cancellation_date_of_flood_policy,DATE,"Data de cancelamento da apólice de inundação, quando houver",,no,,,no,,cancellationDateOfFloodPolicy
condominium_coverage_type_code,STRING,Código do tipo de cobertura de condomínio contratada para a edificação,,yes,,,no,,condominiumCoverageTypeCode
construction,BOOLEAN,Indica se a edificação está em obras,,no,,,no,,construction
crs_class_code,STRING,"Classificação do Community Rating System usada para tarifar a apólice, que determina o desconto no prêmio",,yes,,,no,,crsClassCode
building_deductible_code,STRING,Código da franquia aplicável à edificação principal e às acessórias,,yes,,,no,,buildingDeductibleCode
contents_deductible_code,STRING,Código da franquia aplicável ao conteúdo,,yes,,,no,,contentsDeductibleCode
elevated_building_indicator,BOOLEAN,Indica se o imóvel atende à definição de edificação elevada do NFIP,,no,,,no,,elevatedBuildingIndicator
elevation_certificate_indicator,STRING,Indica se a apólice foi tarifada com Elevation Certificate,,yes,,,no,,elevationCertificateIndicator
elevation_difference,INT64,Diferença em pés entre a elevação do piso mais baixo usado na tarifação e a cota de inundação base,,no,,foot,no,,elevationDifference
federal_policy_fee,INT64,"Valor da taxa federal da apólice, em dólares",,no,,usd,no,,federalPolicyFee
rated_flood_zone,STRING,Zona de inundação do FIRM usada para tarifar o imóvel segurado,,yes,,,no,,ratedFloodZone
hfiaa_surcharge,INT64,"Sobretaxa anual instituída pelo HFIAA, obrigatória em apólices novas e renovadas a partir de 1 de abril de 2015, em dólares",,no,,usd,no,,hfiaaSurcharge
house_of_worship_indicator,BOOLEAN,Indica se o imóvel foi declarado como templo religioso na proposta,,no,,,no,,houseOfWorshipIndicator
location_of_contents,STRING,Código que indica onde o conteúdo segurado está situado dentro da edificação,,yes,,,no,,locationOfContents
lowest_adjacent_grade,FLOAT64,"Cota natural mais baixa adjacente à estrutura segurada antes de escavação ou aterro, em pés",,no,,foot,no,,lowestAdjacentGrade
