name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Year of the reporting quarter,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,,
quarter,INT64,"Calendar quarter of the report, 1 to 4",,no,,quarter,no,,
report_date,DATE,Last calendar day of the reporting quarter,,no,,,no,,RSSD9999
rssd_id,STRING,"RSSD identifier assigned by the Federal Reserve, unique per institution and stable across name and charter changes; the join key across every table in this dataset. To reach us_fdic_bankfind, join through institution.fdic_cert_id, which carries the FDIC certificate",,no,,,no,,RSSD9001
name,STRING,Legal name of the holding company,,no,,,no,,RSSD9017
short_name,STRING,Abbreviated name of the holding company,,no,,,no,,RSSD9010
address,STRING,Street address of the holding company's physical location,,no,,,no,,RSSD9028
city,STRING,City of the holding company's physical location,,no,,,no,,RSSD9130
state_abbreviation,STRING,Two-letter postal abbreviation of the state of the physical location,,no,,,no,Not linked to the state directory: its primary key is the FIPS code.,RSSD9200
zip_code,STRING,ZIP code of the holding company's physical location,,no,,,no,,RSSD9220
county_id,STRING,Five-digit FIPS code of the county of the physical location,,no,br_bd_diretorios_us.county:id_county,,no,"Built from the state FIPS code (RSSD9210) and the county code (RSSD9150), both of which the filer reports separately.",RSSD9210 + RSSD9150
tax_id,STRING,Employer identification number of the entity,,no,,,no,,RSSD6191
charter_type_id,STRING,Charter type code assigned by the Federal Reserve,,no,,,no,"The code list is published by the National Information Center rather than with the data, so the values are carried as filed and are not decoded here.",RSSD9048
organization_type_id,STRING,Organization type code assigned by the Federal Reserve,,no,,,no,"The code list is published by the National Information Center rather than with the data, so the values are carried as filed and are not decoded here.",RSSD9047
primary_activity_id,STRING,"NAICS code of the entity's primary activity, 551111 for a bank holding company",,no,,,no,"Not linked to the NAICS directory: the series spans four decades and several NAICS vintages, which the source does not restate.",RSSD9132
federal_reserve_district_id,STRING,"Federal Reserve district that supervises the entity, 1 to 12",,yes,,,no,,RSSD9032
bank_count,INT64,Number of banks the holding company controls,,no,,unit,no,,RSSD9146
is_financial_holding_company,STRING,"Whether the entity has elected financial holding company status, 1 for yes",,no,,,no,,RSSD9016
is_savings_loan_holding_company,STRING,"Whether the entity is a savings and loan holding company, 1 for yes",,no,,,no,,RSSD9198
