name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
item_code,STRING,"Eight-character MDRM identifier, the concatenation of mnemonic and item number",,no,,,no,,
mnemonic,STRING,"First four characters of the identifier, naming the report series and the consolidation basis, such as RCON for domestic offices or RCFD for consolidated domestic and foreign offices",,no,,,no,,
item_number,STRING,"Last four characters of the identifier, naming the item itself; the same number carries the same meaning across reporting forms",,no,,,no,,
name,STRING,Item name as published in the MDRM data dictionary,,no,,,no,,
description,STRING,Full item definition as published in the MDRM,,no,,,no,,
item_type,STRING,"MDRM item type: F financial, D derived, R rate, P percentage, S structure, E examination, J projected",,yes,,,no,,
measurement_unit,STRING,Unit of the values carried for this item in call_report_item and holding_company_item,,no,,,no,"Derived here, not published by the MDRM, which does not separate dollar amounts from counts. USD, percent, ratio, unit, or blank when the item is a yes/no answer, an indicator or a date rather than a quantity.",
is_flag,STRING,"Whether the item is a yes/no answer or an indicator code rather than a magnitude, 1 for yes",,no,,,no,,
is_confidential,STRING,"Whether the MDRM marks the item as confidential and therefore not publicly disclosed, 1 for yes",,no,,,no,,
reporting_form,STRING,"Reporting forms that collect the item, separated by semicolons",,no,,,no,,
start_date,DATE,First date on which the item was collected,,no,,,no,,
end_date,DATE,Last date on which the item was collected,,no,,,no,9999-12-31 marks an item that is still collected.,
series_glossary,STRING,MDRM glossary entry for the mnemonic,,no,,,no,,
