name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano a que se referem os dados do CRA declarados pela instituição,Year the institution reported CRA data for,Año al que se refieren los datos del CRA declarados por la institución,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,,Activity Year
respondent_id,STRING,"Identificador do declarante atribuído pela agência supervisora da instituição; é único apenas em conjunto com a agência e o ano, e não é um RSSD","Respondent identifier assigned by the institution's supervisory agency; unique only together with agency and year, and not an RSSD","Identificador del declarante asignado por la agencia supervisora de la institución; es único solo junto con la agencia y el año, y no es un RSSD",,no,,,no,,Respondent ID
agency_id,STRING,"Agência supervisora que atribuiu o identificador do declarante: occ, frs, fdic, ou ots para o Office of Thrift Supervision, extinto em 2011 e presente apenas até 2010","Supervisory agency that assigned the respondent identifier: occ, frs, fdic, or ots for the Office of Thrift Supervision, which was abolished in 2011 and appears only up to 2010","Agencia supervisora que asignó el identificador del declarante: occ, frs, fdic, u ots para la Office of Thrift Supervision, suprimida en 2011 y presente solo hasta 2010",,no,,,no,,Agency Code
rssd_id,STRING,"Identificador RSSD da instituição declarante, obtido da folha de transmissão do CRA para o mesmo declarante, agência e ano; é a chave de junção com institution, call_report_item e holding_company","RSSD identifier of the reporting institution, taken from the CRA transmittal sheet for the same respondent, agency and year; the join key to institution, call_report_item and holding_company","Identificador RSSD de la institución declarante, obtenido de la hoja de transmisión del CRA para el mismo declarante, agencia y año; es la clave de unión con institution, call_report_item y holding_company",,no,,,no,,ID_RSSD
name,STRING,Nome da instituição declarante,Name of the reporting institution,Nombre de la institución declarante,,no,,,no,,Respondent Name
address,STRING,Logradouro da instituição declarante,Street address of the reporting institution,Domicilio de la institución declarante,,no,,,no,,Respondent Address
city,STRING,Cidade da instituição declarante,City of the reporting institution,Ciudad de la institución declarante,,no,,,no,,Respondent City
state_abbreviation,STRING,Sigla postal de duas letras do estado da instituição,Two-letter postal abbreviation of the institution's state,Sigla postal de dos letras del estado de la institución,,no,,,no,Not linked to the state directory: its primary key is the FIPS code.,Respondent State
zip_code,STRING,Código postal da instituição declarante,ZIP code of the reporting institution,Código postal de la institución declarante,,no,,,no,,Respondent Zip Code
tax_id,STRING,Número de identificação fiscal do empregador da instituição,Employer identification number of the institution,Número de identificación fiscal del empleador de la institución,,no,,,no,,Tax ID
total_assets,FLOAT64,Ativo total declarado no Call Report do encerramento do ano anterior,Total assets reported on the prior year-end Call Report,Activo total declarado en el Call Report del cierre del año anterior,,no,,USD,no,"Filed in thousands of dollars and multiplied by 1,000 here.",Assets
