name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano do trimestre de referência,Year of the reporting quarter,Año del trimestre de referencia,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,,
quarter,INT64,"Trimestre civil do relatório, de 1 a 4","Calendar quarter of the report, 1 to 4","Trimestre calendario del informe, de 1 a 4",,no,,quarter,no,,
report_date,DATE,Último dia civil do trimestre de referência,Last calendar day of the reporting quarter,Último día calendario del trimestre de referencia,,no,,,no,,
rssd_id,STRING,"Identificador RSSD atribuído pelo Federal Reserve, único por instituição e estável diante de mudanças de nome e de carta patente; é a chave de junção entre todas as tabelas deste conjunto e o correspondente de `cert` em us_fdic_bankfind","RSSD identifier assigned by the Federal Reserve, unique per institution and stable across name and charter changes; the join key across every table in this dataset and the correspondent of `cert` in us_fdic_bankfind","Identificador RSSD asignado por la Reserva Federal, único por institución y estable ante cambios de nombre y de licencia; es la clave de unión entre todas las tablas de este conjunto y el correspondiente de `cert` en us_fdic_bankfind",,no,,,no,,IDRSSD
fdic_cert_id,STRING,"Número do certificado FDIC, chave da instituição usada em us_fdic_bankfind","FDIC certificate number, the institution key used by us_fdic_bankfind","Número de certificado FDIC, clave de la institución usada en us_fdic_bankfind",,no,,,no,Reported as 0 when the institution has no FDIC certificate; converted to NULL.,FDIC Certificate Number
occ_charter_id,STRING,Número da carta patente no OCC dos bancos com carta federal,OCC charter number for nationally chartered banks,Número de licencia de la OCC de los bancos con licencia federal,,no,,,no,Reported as 0 when not OCC chartered; converted to NULL.,OCC Charter Number
ots_docket_id,STRING,Antigo número de registro no OTS das instituições de poupança,Former OTS docket number for thrift institutions,Antiguo número de registro en la OTS de las instituciones de ahorro,,no,,,no,Reported as 0 when absent; converted to NULL.,OTS Docket Number
aba_routing_id,STRING,Número principal de roteamento ABA,Primary ABA routing number,Número principal de enrutamiento ABA,,no,,,no,Reported as 0 when absent; converted to NULL.,Primary ABA Routing Number
name,STRING,Razão social da instituição financeira,Legal name of the financial institution,Razón social de la institución financiera,,no,,,no,,Financial Institution Name
address,STRING,Logradouro da sede da instituição,Street address of the institution's main office,Domicilio de la casa matriz de la institución,,no,,,no,,Financial Institution Address
city,STRING,Cidade da sede da instituição,City of the institution's main office,Ciudad de la casa matriz de la institución,,no,,,no,,Financial Institution City
state_abbreviation,STRING,Sigla postal de duas letras do estado da sede,Two-letter postal abbreviation of the state of the main office,Sigla postal de dos letras del estado de la casa matriz,,no,,,no,"Not linked to the state directory: its primary key is the FIPS code, and the abbreviation is a non-key column.",Financial Institution State
zip_code,STRING,Código postal da sede da instituição,ZIP code of the institution's main office,Código postal de la casa matriz de la institución,,no,,,no,,Financial Institution Zip Code
call_report_form_id,STRING,Formulário do Call Report entregue pela instituição no trimestre,Call Report form the institution filed for the quarter,Formulario del Call Report presentado por la institución en el trimestre,,yes,,,no,,Financial Institution Filing Type
last_submission_updated_at,DATETIME,Data e hora em que a instituição atualizou pela última vez sua entrega do trimestre,Timestamp at which the institution last updated its submission for the quarter,Fecha y hora en que la institución actualizó por última vez su presentación del trimestre,,no,,,no,"Later than the report date, and moves when an amended filing is accepted.",Last Date/Time Submission Updated On
