"ntee","description","definition"
"A","Arts, Culture & Humanities","Private nonprofit organizations whose primary purpose is to promote appreciation for and enjoyment and understanding of the visual, performing, folk, and media arts; the humanities (archaeology, art history, modern and classical languages, philosophy, ethics, theology, and comparative religion); history and historical events; and/or communications (film, video, publishing, journalism, radio, television)."
"A01","Alliances & Advocacy","Organizations whose activities focus on influencing public policy within the Arts, Culture, and Humanities major group area. Includes a variety of activities from public education and influencing public opinion to lobbying national and state legislatures."
"A02","Management & Technical Assistance","Consultation, training, and other forms of management assistance services to nonprofit groups within the Arts, Culture, and Humanities major group area."
"A03","Professional Societies & Associations","Learned societies, professional councils, and other organizations that bring together individuals or organizations with a common professional or vocational interest within the Arts, Culture, and Humanities major group area."
"A05","Research Institutes & Public Policy Analysis","Organizations whose primary purpose is to conduct research and/or public policy analysis within the Arts, Culture, and Humanities major group area"
"A11","Single Organization Support","Organizations existing as a support and fund-raising entity for a single institution within the Arts, Culture & Humanities major group."
"A12","Fund Raising & Fund Distribution","Organizations that raise and distribute funds for multiple organizations within the Arts, Culture, and Humanities major group area."
"A19","Support N.E.C.","Organizations that provide all forms of support except for financial assistance or fund raising for other organizations within the Arts, Culture, and Humanities major group area."
"A20","Arts & Culture","Organizations that promote, produce or provide access to a variety of arts experiences encompassing the visual, media or performing arts."
"A23","Cultural & Ethnic Awareness","Organizations that promote artistic expression within a particular ethnic community; work for the preservation and promotion of the traditions, values and lifestyles of different cultural groups; organize activities and events which promote cultural exchange locally or nationally; and encourage understanding and respect for different cultural heritages among the youthful members of the group as well as the mainstream population."
"A24","Folk Arts","Organizations that produce, promote and disseminate information on traditional music, dance, theater or folklore of various cultures and organizations that perform, present and support folk art in a specific region."
"A25","Arts Education","Organizations that provide informal arts educational programming and/or instruction but do not grant diplomas or degrees; or which offer services regarding the arts to educational institutions or to public entities involved in education."
"A26","Arts & Humanities Councils & Agencies","Organizations that foster, nurture and sustain artistic excellence and create a climate in which the arts and humanities may flourish in a community."
"A27","Community Celebrations","Organizations that are engaged in the promotion, production or performance of community and public celebratory events."
"A30","Media & Communications","Organizations that are involved in publishing, productions or programming utilizing any of a variety of media or in educational programs related to the media. Use this code for organizations involved in productions in different types of media or for those using types of media not specified below."
"A31","Film & Video","Organizations that produce films, videos and holographic images for a variety of educational, documentary and cultural purposes, and/or promote public appreciation of film and video. Also included are organizations that encourage new, foreign and independent filmmakers through the organization and presentation of film expositions and festivals or which show old or difficult to obtain films in noncommercial facilities."
"A32","Television","Organizations engaged in television productions and broadcast. Includes producers of public television, cable television, community access television, broadcasting in schools, and interactive television."
"A33","Printing & Publishing","Organizations that publish a variety of materials on diverse topics. Includes university presses."
"A34","Radio","Organizations engaged in radio productions and broadcast, including public radio stations and radio stations that offer programming that is designed for community residents who are blind or visually impaired (radio reading services)."
