name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Election year,,no,,year,no,,election_year
election_date,DATE,Date of the election,,no,,,no,,election_date
id_constituency,STRING,Electoral constituency (Wahlkreis) identifier,,no,br_bd_diretorios_de.constituency:id_constituency,,no,,wkr_nr
constituency_name,STRING,Electoral constituency (Wahlkreis) name,,no,,,no,,wkr_name
id_state,STRING,"State identifier, 2-digit Land code",,no,br_bd_diretorios_de.state:id_state,,no,,state
ballot,STRING,"Ballot type: first_vote (Erststimme, candidate) or second_vote (Zweitstimme, party list)",,no,,,no,,stimme
eligible_voters,INT64,Number of eligible voters (Wahlberechtigte),,no,,person,no,,eligible_voters
voters,INT64,Number of voters including invalid ballots (Wähler),,no,,person,no,,number_voters
valid_votes,INT64,Number of valid votes (gültige Stimmen); counts votes not ballots under multi-vote systems,,no,,vote,no,,valid_votes
invalid_votes,INT64,Number of invalid votes (ungültige Stimmen),,no,,vote,no,,invalid_votes
turnout,FLOAT64,"Voter turnout as a percentage (0-100), number_voters divided by eligible_voters times 100, capped at 100",,no,,percent,no,,turnout
party,STRING,"Party or list, GERDA normalized name",,no,br_bd_diretorios_de.party:id_party,,no,,party
votes,INT64,Votes cast for the party,,no,,vote,no,,votes
vote_share,FLOAT64,"Party vote share as a percentage (0-100); denominator is number_voters for federal and European, valid_votes otherwise",,no,,percent,no,,vote_share
