name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Election year,,no,,year,no,,election_year
election_date,DATE,Date of the election,,no,,,no,,election_date
id_municipality,STRING,"Municipality identifier, 8-digit Amtlicher Gemeindeschlüssel (AGS)",,no,br_bd_diretorios_de.municipality:id_municipality,,no,,ags
id_county,STRING,"County identifier, 5-digit Kreisschlüssel",,no,br_bd_diretorios_de.county:id_county,,no,,county
id_state,STRING,"State identifier, 2-digit Land code",,no,br_bd_diretorios_de.state:id_state,,no,,state
eligible_voters,INT64,Number of eligible voters (Wahlberechtigte),,no,,person,no,,eligible_voters
voters,INT64,Number of voters including invalid ballots (Wähler),,no,,person,no,,number_voters
valid_votes,INT64,Number of valid votes (gültige Stimmen); counts votes not ballots under multi-vote systems,,no,,vote,no,,valid_votes
invalid_votes,INT64,Number of invalid votes (ungültige Stimmen),,no,,vote,no,,invalid_votes
turnout,FLOAT64,"Voter turnout as a percentage (0-100), number_voters divided by eligible_voters times 100, capped at 100",,no,,percent,no,,turnout
flag_harm_turnout_above_1,STRING,"1 if uncapped turnout exceeded 1 after harmonization, else 0",,no,,,no,,flag_harm_turnout_above_1
flag_unsuccessful_naive_merge,STRING,"1 if the boundary-harmonization merge fell back to an alternative match, else 0",,no,,,no,,flag_unsuccessful_naive_merge
flag_other_party_residual,STRING,"1 if the other-party share was derived as a residual rather than reported, else 0",,no,,,no,,flag_other_party_residual
party,STRING,"Party or list, GERDA normalized name",,no,br_bd_diretorios_de.party:id_party,,no,,party
vote_share,FLOAT64,"Party vote share as a percentage (0-100); denominator is number_voters for federal and European, valid_votes otherwise",,no,,percent,no,,vote_share
