name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano do nascimento,Year of birth,Año de nacimiento,1968(1)2024,no,diretorios_data_tempo.ano:ano,year,no,"partition column; pre-2003 the source stores a truncated year, so it is taken from the file",dob_yy|datayear
birth_month,INT64,Mês do nascimento,Month of birth,Mes de nacimiento,1968(1)2024,no,,month,no,,dob_mm|birmon
birth_day_of_week,STRING,Dia da semana do nascimento,Day of the week of birth,Día de la semana del nacimiento,2003(1)2024,yes,,,no,2003 onward,dob_wk
state_residence_id,STRING,Código FIPS da unidade federativa de residência da mãe; ausente no arquivo público a partir de 2005,FIPS code of the mother's state of residence; absent from the public-use file from 2005 onward,Código FIPS del estado de residencia de la madre; ausente del archivo público a partir de 2005,1968(1)2004,no,diretorios_us.state:id_state,,no,"state FIPS; native FIPS 1982-2002, NCHS alphabetical code mapped 1968-1981, postal code mapped 2003-2004; ABSENT from the public-use file 2005 onward",stresfip|mrstate|stateres
county_residence_id,STRING,"Código FIPS do condado de residência da mãe, disponível apenas de 1982 a 2002","FIPS code of the mother's county of residence, available only from 1982 to 2002","Código FIPS del condado de residencia de la madre, disponible solo de 1982 a 2002",1982(1)2002,no,,,no,"5-digit state+county FIPS, 1982-2002 only. Deliberately NOT back-filled from the pre-1982 `cntyres`, which is an NCHS county code on a different numbering system",cntyrfip
residence_status,STRING,Situação de residência do registro em relação ao local de ocorrência,Residence status of the record relative to the place of occurrence,Situación de residencia del registro respecto al lugar de ocurrencia,1968(1)2024,yes,,,no,,restatus
record_weight,INT64,"Peso amostral do registro; o arquivo é amostra de 50% em anos iniciais, portanto contagens devem ser ponderadas","Sampling weight of the record; the file is a 50 percent sample in the early years, so counts must be weighted","Ponderador muestral del registro; el archivo es una muestra del 50% en los primeros años, por lo que los conteos deben ponderarse",1968(1)2024,no,,,no,"NCHS sampling weight. The natality file is a 50 percent sample for states outside the 100 percent reporting programme in the early years, so a record may stand for two births: counts and rates must be weighted by this column. It is 1 for all states from 1985 and is not published before 1972 (see the table description for how to treat 1968-1971)",recwt
county_residence_population_code,STRING,Categoria de tamanho populacional do condado de residência,Population-size category of the county of residence,Categoría de tamaño poblacional del condado de residencia,1989(1)2002,no,,,no,"population-size category of the residence county, not a count",rcnty_pop|cntrspop
mother_age_years,INT64,Idade da mãe em anos completos,Age of the mother in completed years,Edad de la madre en años cumplidos,1968(1)2024,no,,year,no,,mager|umagerpt|dmage
mother_age_recode_9,STRING,Faixa etária da mãe em nove categorias,Age of the mother recoded into nine categories,Edad de la madre recodificada en nueve categorías,1968(1)2024,no,,,no,category boundaries differ before and after 2003,mager9|mage8
mother_education_years,INT64,"Anos de estudo concluídos pela mãe, conforme a certidão de 1989; não comparável a mother_education_code",Years of schooling completed by the mother under the 1989 certificate; not comparable to mother_education_code,Años de escolaridad completados por la madre según el certificado de 1989; no comparable con mother_education_code,1970(1)2008,no,,year,no,1989 certificate: YEARS of schooling completed. 1970-2008 only,dmeduc
mother_education_code,STRING,"Escolaridade da mãe em categorias, conforme a certidão de 2003; não comparável a mother_education_years",Educational attainment of the mother in categories under the 2003 certificate; not comparable to mother_education_years,Nivel educativo de la madre en categorías según el certificado de 2003; no comparable con mother_education_years,2003(1)2024,yes,,,no,2003 certificate: CATEGORIES. NOT comparable to mother_education_years,meduc
mother_race_code,STRING,"Raça detalhada da mãe em codificação de raça única ou ponte, usada até 2013",Detailed race of the mother under the single or bridged race coding used through 2013,Raza detallada de la madre bajo la codificación de raza única o puente usada hasta 2013,1968(1)2013,no,,,no,"single/bridged detail race, 1968-2013",mrace
mother_race_bridged_code,STRING,"Raça da mãe em codificação ponte, disponível de 2003 a 2019","Bridged race of the mother, available from 2003 to 2019","Raza puente de la madre, disponible de 2003 a 2019",2003(1)2019,no,,,no,2003-2019,mbrace
mother_race_recode_6,STRING,"Raça da mãe em seis categorias sob o padrão OMB de 1997, a partir de 2014; não comparável a mother_race_code","Race of the mother in six categories under the 1997 OMB standard, from 2014 onward; not comparable to mother_race_code","Raza de la madre en seis categorías bajo el estándar OMB de 1997, desde 2014; no comparable con mother_race_code",2014(1)2024,yes,,,no,"OMB 1997 multi-race, 2014 onward. NOT comparable to mother_race_code",mrace6
mother_race_recode_31,STRING,"Raça da mãe em 31 categorias, incluindo combinações de múltiplas raças, a partir de 2014","Race of the mother in 31 categories including multiple-race combinations, from 2014 onward","Raza de la madre en 31 categorías incluyendo combinaciones de razas, desde 2014",2014(1)2024,yes,,,no,2014 onward,mrace31
mother_hispanic_origin_code,STRING,Origem hispânica da mãe,Hispanic origin of the mother,Origen hispano de la madre,2003(1)2024,yes,,,no,2003 onward,mhisp_r|umhisp
mother_race_hispanic_code,STRING,Raça e origem hispânica combinadas da mãe,Combined race and Hispanic origin of the mother,Raza y origen hispano combinados de la madre,2003(1)2024,yes,,,no,"combined race and Hispanic-origin recode, 2003-2024",mracehisp
mother_nativity_code,STRING,"Naturalidade da mãe, indicando nascimento dentro ou fora dos Estados Unidos","Nativity of the mother, indicating birth inside or outside the United States","Origen de nacimiento de la madre, dentro o fuera de los Estados Unidos","2003(1)2004, 2014(1)2024",yes,,,no,,mbstate_rec
mother_marital_status,STRING,Estado civil da mãe,Marital status of the mother,Estado civil de la madre,1978(1)2024,yes,,,no,,dmar|mar
father_age_years,INT64,Idade do pai em anos completos,Age of the father in completed years,Edad del padre en años cumplidos,1970(1)2024,no,,year,no,,fagecomb|dfage
father_race_code,STRING,"Raça detalhada do pai, usada até 2013","Detailed race of the father, used through 2013","Raza detallada del padre, usada hasta 2013",1968(1)2013,no,,,no,1968-2013,frace
father_race_recode_6,STRING,"Raça do pai em seis categorias sob o padrão OMB de 1997, a partir de 2014","Race of the father in six categories under the 1997 OMB standard, from 2014 onward","Raza del padre en seis categorías bajo el estándar OMB de 1997, desde 2014",2014(1)2024,yes,,,no,2014 onward,frace6
live_birth_order,INT64,Ordem deste nascimento entre os nascidos vivos da mãe,Order of this birth among the mother's live births,Orden de este nacimiento entre los nacidos vivos de la madre,1968(1)2024,no,,,no,order of this birth among the mother's live births,lbo_rec|dlivord
total_birth_order,INT64,"Ordem total de gestações, somando nascidos vivos e óbitos fetais","Total birth order, counting live births and fetal deaths","Orden total de gestaciones, sumando nacidos vivos y muertes fetales",1970(1)2024,no,,,no,live births plus fetal deaths,tbo_rec|dtotord
gestation_weeks,INT64,Duração da gestação em semanas completas,Length of gestation in completed weeks,Duración de la gestación en semanas completas,1968(1)2024,no,,week,no,,combgest|dgestat
gestation_recode_3,STRING,Duração da gestação em três categorias,Length of gestation in three categories,Duración de la gestación en tres categorías,2003(1)2024,yes,,,no,2003 onward,gestrec3
birth_weight_grams,INT64,Peso ao nascer em gramas,Birth weight in grams,Peso al nacer en gramos,1968(1)2024,no,,gram,no,,dbwt|dbirwt
birth_weight_recode_4,STRING,Peso ao nascer em quatro categorias,Birth weight in four categories,Peso al nacer en cuatro categorías,2003(1)2024,yes,,,no,2003 onward,bwtr4
prenatal_care_month_began,INT64,Mês de gestação em que o pré-natal começou; zero indica ausência de pré-natal,Month of pregnancy in which prenatal care began; zero indicates no prenatal care,Mes de gestación en que comenzó el control prenatal; cero indica ausencia de control,1989(1)2024,no,,month,no,month of pregnancy in which prenatal care began; 0 means no prenatal care,precare|monpre
prenatal_visits,INT64,Número total de consultas de pré-natal,Total number of prenatal visits,Número total de consultas prenatales,1972(1)2024,no,,,no,,previs|uprevis|nprevis
sex,STRING,Sexo do recém-nascido,Sex of the newborn,Sexo del recién nacido,1968(1)2024,yes,,,no,,sex|csex
plurality,STRING,"Multiplicidade do parto, de único a quíntuplo ou mais","Plurality of the delivery, from single to quintuplet or higher","Multiplicidad del parto, de único a quintuple o más","1968(1)1968, 1971(1)2024",yes,,,no,top code caps at quintuplet and above,dplural
delivery_method_recode,STRING,Via de parto recodificada,"Method of delivery, recoded",Vía de parto recodificada,2003(1)2024,yes,,,no,2003 onward,rdmeth_rec|dmeth_rec
birth_attendant,STRING,Profissional que assistiu ao parto,Attendant at the birth,Profesional que asistió el parto,1968(1)2024,yes,,,no,,attend|birattnd
apgar_score_5min,INT64,"Escore de Apgar no quinto minuto, de 0 a 10","Five-minute Apgar score, from 0 to 10","Puntaje de Apgar al quinto minuto, de 0 a 10",2003(1)2024,no,,,no,"five-minute Apgar score, 0-10; 2003 onward",apgar5
