name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano do óbito,Year of death,Año de defunción,1968(1)2024,no,diretorios_data_tempo.ano:ano,year,no,partition column,year|datayear
death_month,INT64,Mês do óbito,Month of death,Mes de defunción,1968(1)2024,no,,month,no,,monthdth
death_day_of_week,STRING,Dia da semana do óbito,Day of the week of death,Día de la semana de la defunción,1989(1)2024,yes,,,no,1989 onward,weekday
state_residence_id,STRING,Código FIPS da unidade federativa de residência do falecido; ausente no arquivo público a partir de 2005,FIPS code of the decedent's state of residence; absent from the public-use file from 2005 onward,Código FIPS del estado de residencia del fallecido; ausente del archivo público a partir de 2005,1968(1)2004,no,diretorios_us.state:id_state,,no,"state FIPS; native FIPS 1982-2002, NCHS alphabetical code mapped 1968-1981, postal code mapped 2003-2004; ABSENT from the public-use file 2005 onward",fipsstr|staters
county_residence_id,STRING,"Código FIPS do condado de residência do falecido, disponível apenas de 1982 a 2004","FIPS code of the decedent's county of residence, available only from 1982 to 2004","Código FIPS del condado de residencia del fallecido, disponible solo de 1982 a 2004",1982(1)2002,no,,,no,"5-digit state+county FIPS, 1982-2002 only. Deliberately NOT back-filled from the pre-1982 `countyrs`, which is an NCHS county code on a different numbering system",fipsctyr
residence_status,STRING,Situação de residência do registro em relação ao local de ocorrência,Residence status of the record relative to the place of occurrence,Situación de residencia del registro respecto al lugar de ocurrencia,1968(1)2024,yes,,,no,,restatus
age_detail_code,STRING,"Código bruto de idade com prefixo de unidade, tal como publicado pelo NCHS","Raw age code with its unit prefix, as published by NCHS","Código bruto de edad con prefijo de unidad, tal como lo publica NCHS",1968(1)2024,no,,,no,"raw unit-prefixed age code as published; 3 characters before 2003, 4 from 2003",age
age_years,INT64,"Idade do falecido em anos completos, derivada de age_detail_code; nula quando a unidade não é anos ou a idade é desconhecida","Age of the decedent in completed years, derived from age_detail_code; null when the unit is not years or age is unknown","Edad del fallecido en años cumplidos, derivada de age_detail_code; nula cuando la unidad no es años o la edad es desconocida",1968(1)2024,no,,year,no,derived from age_detail_code; NULL when the record's age unit is not years or age is unknown,
age_recode_27,STRING,Idade do falecido em 27 categorias,Age of the decedent in 27 categories,Edad del fallecido en 27 categorías,1968(1)2024,no,,,no,,ager27
age_recode_12,STRING,Idade do falecido em 12 categorias,Age of the decedent in 12 categories,Edad del fallecido en 12 categorías,1968(1)2024,no,,,no,,ager12
sex,STRING,Sexo do falecido,Sex of the decedent,Sexo del fallecido,1968(1)2024,yes,,,no,,sex
race_code,STRING,Raça detalhada do falecido tal como publicada,Detailed race of the decedent as published,Raza detallada del fallecido tal como se publica,1968(1)2020,no,,,no,detail race as published,race
race_recode_3,STRING,Raça do falecido em três categorias,Race of the decedent in three categories,Raza del fallecido en tres categorías,1968(1)2020,yes,,,no,1968-2020,racer3
race_recode_5,STRING,Raça do falecido em cinco categorias,Race of the decedent in five categories,Raza del fallecido en cinco categorías,2004(1)2020,yes,,,no,2004-2020,racer5
race_bridged_flag,STRING,Indicador de que a raça foi convertida pela metodologia ponte,Flag indicating that race was bridged,Indicador de que la raza fue convertida por la metodología puente,2003(1)2020,no,,,no,2003 onward,brace
race_recode_6,STRING,"Raça do falecido em seis categorias de raça única sob o padrão OMB de 1997, a partir de 2022","Race of the decedent in six single-race categories under the 1997 OMB standard, from 2022 onward","Raza del fallecido en seis categorías de raza única bajo el estándar OMB de 1997, desde 2022",2022(1)2024,yes,,,no,"single race under the 1997 OMB standard, 2022 onward. Replaces the bridged race_recode_3/5, which NCHS stopped publishing after 2020",racer6
race_recode_40,STRING,"Raça detalhada do falecido em 40 categorias de raça única sob o padrão OMB de 1997, a partir de 2019; de 2021 em diante é a única informação de raça no arquivo","Detailed race of the decedent in 40 single-race categories under the 1997 OMB standard, from 2019 onward; from 2021 it is the only race information in the file","Raza detallada del fallecido en 40 categorías de raza única bajo el estándar OMB de 1997, desde 2019; desde 2021 es la única información de raza en el archivo",2019(1)2024,yes,,,no,"detailed single race under the 1997 OMB standard, 2019 onward. From 2021 this and race_recode_6 are the only race information in the file: the bridged race_code is no longer populated",race40
hispanic_origin_code,STRING,Origem hispânica do falecido,Hispanic origin of the decedent,Origen hispano del fallecido,1989(1)2024,no,,,no,1989 onward,hispanic
