id_tabela,nome_coluna,chave,cobertura_temporal,valor
birth,birth_attendant,1,2003(1)2024,Doctor of Medicine
birth,birth_attendant,2,2003(1)2024,Doctor of Osteopathy
birth,birth_attendant,3,2003(1)2024,Certified Nurse Midwife or Certified Midwife
birth,birth_attendant,4,2003(1)2024,Other midwife
birth,birth_attendant,5,2003(1)2024,Other
birth,birth_attendant,9,2003(1)2024,Unknown or not stated
birth,birth_day_of_week,1,2003(1)2024,Sunday
birth,birth_day_of_week,2,2003(1)2024,Monday
birth,birth_day_of_week,3,2003(1)2024,Tuesday
birth,birth_day_of_week,4,2003(1)2024,Wednesday
birth,birth_day_of_week,5,2003(1)2024,Thursday
birth,birth_day_of_week,6,2003(1)2024,Friday
birth,birth_day_of_week,7,2003(1)2024,Saturday
birth,birth_weight_recode_4,1,2003(1)2024,227 to 1499 grams
birth,birth_weight_recode_4,2,2003(1)2024,1500 to 2499 grams
birth,birth_weight_recode_4,3,2003(1)2024,2500 to 8165 grams
birth,birth_weight_recode_4,4,2003(1)2024,Unknown or not stated
birth,delivery_method_recode,1,2005(1)2024,"Vaginal, excluding vaginal after previous caesarean"
birth,delivery_method_recode,2,2005(1)2024,Vaginal after previous caesarean
birth,delivery_method_recode,3,2005(1)2024,Primary caesarean
birth,delivery_method_recode,4,2005(1)2024,Repeat caesarean
birth,delivery_method_recode,5,2005(1)2024,"Vaginal, unknown if previous caesarean"
birth,delivery_method_recode,6,2005(1)2024,"Caesarean, unknown if previous caesarean"
birth,delivery_method_recode,9,2005(1)2024,Not stated
birth,father_race_recode_6,1,2014(1)2024,White only
birth,father_race_recode_6,2,2014(1)2024,Black only
birth,father_race_recode_6,3,2014(1)2024,American Indian or Alaska Native only
birth,father_race_recode_6,4,2014(1)2024,Asian only
birth,father_race_recode_6,5,2014(1)2024,Native Hawaiian or Other Pacific Islander only
birth,father_race_recode_6,6,2014(1)2024,More than one race
birth,gestation_recode_3,1,2003(1)2024,Under 37 weeks
birth,gestation_recode_3,2,2003(1)2024,37 weeks and over
birth,gestation_recode_3,3,2003(1)2024,Not stated
birth,mother_education_code,1,2003(1)2024,8th grade or less
birth,mother_education_code,2,2003(1)2024,9th through 12th grade with no diploma
birth,mother_education_code,3,2003(1)2024,High school graduate or GED completed
birth,mother_education_code,4,2003(1)2024,Some college credit but not a degree
birth,mother_education_code,5,2003(1)2024,Associate degree
birth,mother_education_code,6,2003(1)2024,Bachelor's degree
birth,mother_education_code,7,2003(1)2024,Master's degree
birth,mother_education_code,8,2003(1)2024,Doctorate or professional degree
birth,mother_education_code,9,2003(1)2024,Unknown
birth,mother_hispanic_origin_code,0,2014(1)2024,Non-Hispanic
birth,mother_hispanic_origin_code,1,2014(1)2024,Mexican
birth,mother_hispanic_origin_code,2,2014(1)2024,Puerto Rican
birth,mother_hispanic_origin_code,3,2014(1)2024,Cuban
birth,mother_hispanic_origin_code,4,2014(1)2024,Central and South American
birth,mother_hispanic_origin_code,5,2014(1)2024,Other and unknown Hispanic origin
birth,mother_hispanic_origin_code,9,2014(1)2024,Hispanic origin not stated
birth,mother_marital_status,1,1978(1)2002,Married
birth,mother_marital_status,2,1978(1)2002,Unmarried
birth,mother_marital_status,1,2003(1)2024,Married
birth,mother_marital_status,2,2003(1)2024,Unmarried
birth,mother_marital_status,9,2003(1)2024,Unknown or not stated
birth,mother_nativity_code,1,2003(1)2024,Born in the United States (50 states)
birth,mother_nativity_code,2,2003(1)2024,Born outside the United States (includes possessions)
birth,mother_nativity_code,3,2003(1)2024,Unknown or not stated
birth,mother_race_hispanic_code,1,2003(1)2024,Non-Hispanic White only
birth,mother_race_hispanic_code,2,2003(1)2024,Non-Hispanic Black only
birth,mother_race_hispanic_code,3,2003(1)2024,Non-Hispanic American Indian or Alaska Native only
birth,mother_race_hispanic_code,4,2003(1)2024,Non-Hispanic Asian only
birth,mother_race_hispanic_code,5,2003(1)2024,Non-Hispanic Native Hawaiian or Other Pacific Islander only
birth,mother_race_hispanic_code,6,2003(1)2024,Non-Hispanic more than one race
birth,mother_race_hispanic_code,7,2003(1)2024,Hispanic
birth,mother_race_hispanic_code,8,2003(1)2024,Origin unknown or not stated
birth,mother_race_recode_31,01,2014(1)2024,White only
birth,mother_race_recode_31,02,2014(1)2024,Black only
birth,mother_race_recode_31,03,2014(1)2024,American Indian or Alaska Native only
