product,year,column,bigquery_type,measurement_unit,source_variable,sentinels,note
birth,1968,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1970,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1971,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1972,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1973,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1974,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1975,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1976,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1977,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1978,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1979,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1980,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1981,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1982,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1983,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1984,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1985,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1986,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1987,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1988,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1989,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1990,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1991,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1992,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1993,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1994,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1995,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1996,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1997,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1998,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,1999,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2000,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2001,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2002,year,INT64,year,datayear,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2003,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2004,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2005,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2006,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2007,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2008,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2009,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2010,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2011,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2012,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2013,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2014,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2015,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2016,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2017,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2018,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2019,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2020,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
birth,2021,year,INT64,year,dob_yy,,"partition; pre-2003 datayear is a 1-2 digit year suffix, rebuilt from the file year"
