product,year,variable,start_col,width,stata_type,source_label
death,1968,datayear,1,1,byte,
death,1968,shipno,2,2,str2,
death,1968,reparea,4,1,byte,
death,1968,rectype,11,1,byte,
death,1968,restatus,12,1,byte,
death,1968,countyrs,13,5,str5,
death,1968,staters,13,2,str2,
death,1968,cityrs,18,3,str3,
death,1968,popsize,21,1,str1,
death,1968,smsares,22,3,str3,
death,1968,metro,25,1,str1,
death,1968,stateoc,26,2,str2,
death,1968,countyoc,26,5,str5,
death,1968,monthdth,31,2,byte,
death,1968,sex,35,1,byte,
death,1968,race,36,1,byte,
death,1968,racer2,37,1,byte,
death,1968,racer3,38,1,byte,
death,1968,age,39,3,int,
death,1968,ager12,42,2,byte,
death,1968,ager27,44,2,byte,
death,1968,ager22,46,2,byte,
death,1968,divstres,48,2,byte,
death,1968,divstoc,50,2,byte,
death,1968,autopsy,52,1,byte,
death,1968,ucod,60,4,str4,
death,1968,ucr281,64,5,long,
death,1968,ucr69,69,3,int,
death,1968,ucr65,72,3,int,
death,1968,ucr34,75,3,int,
death,1968,seqnum,92,7,long,
death,1968,eanum,99,2,byte,
death,1968,entity1,101,8,str8,
death,1968,econdp_1,101,1,byte,
death,1968,econds_1,102,2,str2,
death,1968,enicon_1,104,4,str4,
death,1968,eniflag1,108,1,byte,
death,1968,entity2,109,8,str8,
death,1968,econdp_2,109,1,byte,
death,1968,econds_2,110,2,str2,
death,1968,enicon_2,112,4,str4,
death,1968,eniflag2,116,1,byte,
death,1968,entity3,117,8,str8,
death,1968,econdp_3,117,1,byte,
death,1968,econds_3,118,2,str2,
death,1968,enicon_3,120,4,str4,
death,1968,eniflag3,124,1,byte,
death,1968,entity4,125,8,str8,
death,1968,econdp_4,125,1,byte,
death,1968,econds_4,126,2,str2,
death,1968,enicon_4,128,4,str4,
death,1968,eniflag4,132,1,byte,
death,1968,entity5,133,8,str8,
death,1968,econdp_5,133,1,byte,
death,1968,econds_5,134,2,str2,
death,1968,enicon_5,136,4,str4,
death,1968,eniflag5,140,1,byte,
death,1968,entity6,141,8,str8,
death,1968,econdp_6,141,1,byte,
death,1968,econds_6,142,2,str2,
death,1968,enicon_6,144,4,str4,
death,1968,eniflag6,148,1,byte,
death,1968,entity7,149,8,str8,
death,1968,econdp_7,149,1,byte,
death,1968,econds_7,150,2,str2,
death,1968,enicon_7,152,4,str4,
death,1968,eniflag7,156,1,byte,
death,1968,entity8,157,8,str8,
death,1968,econdp_8,157,1,byte,
death,1968,econds_8,158,2,str2,
death,1968,enicon_8,160,4,str4,
death,1968,eniflag8,164,1,byte,
death,1968,entity9,165,8,str8,
death,1968,econdp_9,165,1,byte,
death,1968,econds_9,166,2,str2,
death,1968,enicon_9,168,4,str4,
death,1968,eniflag9,172,1,byte,
death,1968,entity10,173,8,str8,
death,1968,econdp_10,173,1,byte,
death,1968,econds_10,174,2,str2,
death,1968,enicon_10,176,4,str4,
death,1968,eniflag10,180,1,byte,
death,1968,entity11,181,8,str8,
death,1968,econdp_11,181,1,byte,
death,1968,econds_11,182,2,str2,
death,1968,enicon_11,184,4,str4,
death,1968,eniflag11,188,1,byte,
death,1968,entity12,189,8,str8,
death,1968,econdp_12,189,1,byte,
death,1968,econds_12,190,2,str2,
death,1968,enicon_12,192,4,str4,
death,1968,eniflag12,196,1,byte,
death,1968,entity13,197,8,str8,
death,1968,econdp_13,197,1,byte,
death,1968,econds_13,198,2,str2,
death,1968,enicon_13,200,4,str4,
death,1968,eniflag13,204,1,byte,
death,1968,entity14,205,8,str8,
death,1968,econdp_14,205,1,byte,
death,1968,econds_14,206,2,str2,
death,1968,enicon_14,208,4,str4,
death,1968,eniflag14,212,1,byte,
death,1968,ranum,213,2,byte,
death,1968,record_1,215,5,str5,
death,1968,rnifla_1,219,1,byte,
death,1968,record_2,220,5,str5,
death,1968,rnifla_2,224,1,byte,
death,1968,record_3,225,5,str5,
death,1968,rnifla_3,229,1,byte,
death,1968,record_4,230,5,str5,
death,1968,rnifla_4,234,1,byte,
death,1968,record_5,235,5,str5,
death,1968,rnifla_5,239,1,byte,
death,1968,record_6,240,5,str5,
death,1968,rnifla_6,244,1,byte,
death,1968,record_7,245,5,str5,
death,1968,rnifla_7,249,1,byte,
death,1968,record_8,250,5,str5,
death,1968,rnifla_8,254,1,byte,
death,1968,record_9,255,5,str5,
death,1968,rnifla_9,259,1,byte,
death,1968,record_10,260,5,str5,
death,1968,rnifla_10,264,1,byte,
death,1968,record_11,265,5,str5,
death,1968,rnifla_11,269,1,byte,
death,1968,record_12,270,5,str5,
death,1968,rnifla_12,274,1,byte,
death,1968,record_13,275,5,str5,
death,1968,rnifla_13,279,1,byte,
death,1968,record_14,280,5,str5,
death,1968,rnifla_14,284,1,byte,
death,1969,datayear,1,1,byte,
death,1969,shipno,2,2,str2,
death,1969,reparea,4,1,byte,
death,1969,rectype,11,1,byte,
death,1969,restatus,12,1,byte,
death,1969,countyrs,13,5,str5,
death,1969,staters,13,2,str2,
death,1969,cityrs,18,3,str3,
death,1969,popsize,21,1,str1,
death,1969,smsares,22,3,str3,
death,1969,metro,25,1,str1,
death,1969,stateoc,26,2,str2,
death,1969,countyoc,26,5,str5,
death,1969,monthdth,31,2,byte,
death,1969,sex,35,1,byte,
death,1969,race,36,1,byte,
death,1969,racer2,37,1,byte,
death,1969,racer3,38,1,byte,
death,1969,age,39,3,int,
death,1969,ager12,42,2,byte,
death,1969,ager27,44,2,byte,
death,1969,ager22,46,2,byte,
death,1969,divstres,48,2,byte,
death,1969,divstoc,50,2,byte,
death,1969,autopsy,52,1,byte,
death,1969,ucod,60,4,str4,
death,1969,ucr281,64,5,long,
death,1969,ucr69,69,3,int,
death,1969,ucr65,72,3,int,
death,1969,ucr34,75,3,int,
death,1969,accident,91,1,byte,
death,1969,seqnum,92,7,long,
death,1969,eanum,99,2,byte,
death,1969,entity1,101,8,str8,
death,1969,econdp_1,101,1,byte,
death,1969,econds_1,102,2,str2,
death,1969,enicon_1,104,4,str4,
death,1969,eniflag1,108,1,byte,
death,1969,entity2,109,8,str8,
death,1969,econdp_2,109,1,byte,
death,1969,econds_2,110,2,str2,
death,1969,enicon_2,112,4,str4,
death,1969,eniflag2,116,1,byte,
death,1969,entity3,117,8,str8,
death,1969,econdp_3,117,1,byte,
death,1969,econds_3,118,2,str2,
death,1969,enicon_3,120,4,str4,
death,1969,eniflag3,124,1,byte,
death,1969,entity4,125,8,str8,
death,1969,econdp_4,125,1,byte,
death,1969,econds_4,126,2,str2,
death,1969,enicon_4,128,4,str4,
death,1969,eniflag4,132,1,byte,
death,1969,entity5,133,8,str8,
death,1969,econdp_5,133,1,byte,
death,1969,econds_5,134,2,str2,
death,1969,enicon_5,136,4,str4,
death,1969,eniflag5,140,1,byte,
death,1969,entity6,141,8,str8,
death,1969,econdp_6,141,1,byte,
death,1969,econds_6,142,2,str2,
death,1969,enicon_6,144,4,str4,
death,1969,eniflag6,148,1,byte,
death,1969,entity7,149,8,str8,
death,1969,econdp_7,149,1,byte,
death,1969,econds_7,150,2,str2,
death,1969,enicon_7,152,4,str4,
