name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano fiscal da apropriação de que os recursos do projeto foram obrigados,Fiscal year of the appropriation from which the project's funds were obligated,Año fiscal de la apropiación de la que se obligaron los recursos del proyecto,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Ano FISCAL federal dos Estados Unidos, que vai de 1 de outubro a 30 de setembro e é nomeado pelo ano em que termina. Não é o ano-calendário. Coluna de particionamento.","United States federal FISCAL year, running from 1 October to 30 September and named for the year in which it ends. It is not the calendar year. Partition column.","Año FISCAL federal de los Estados Unidos, que va del 1 de octubre al 30 de septiembre y se nombra por el año en que termina. No es el año calendario. Columna de particionamiento.",FY
application_id,STRING,Identificador único do registro do projeto na base RePORTER,Unique identifier of the project record in the RePORTER database,Identificador único del registro del proyecto en la base RePORTER,,no,,,no,"Chave lógica da tabela junto com year. Único dentro de cada ano fiscal, sem exceção; em todo o período repete-se uma única vez, no identificador 11169374.","Logical key of the table together with year. Unique within each fiscal year without exception; across the whole period it repeats exactly once, on identifier 11169374.","Clave lógica de la tabla junto con year. Único dentro de cada año fiscal, sin excepción; en todo el período se repite una sola vez, en el identificador 11169374.",APPLICATION_ID
full_project_num,STRING,"Número completo do projeto, formado pelo tipo de solicitação, código de atividade, código do instituto, número de série, ano de apoio e sufixo","Full project number, made up of the application type, activity code, institute code, serial number, support year and suffix","Número completo del proyecto, formado por el tipo de solicitud, código de actividad, código del instituto, número de serie, año de apoyo y sufijo",,no,,,no,"Também chamado de número da concessão, do projeto intramuros ou do contrato. As colunas application_type, activity, administering_ic, serial_number, support_year e suffix repetem essas componentes tal como a fonte as publica, mas não são uma decomposição literal desta string: ver core_project_num.","Also called the grant number, intramural project number or contract number. The columns application_type, activity, administering_ic, serial_number, support_year and suffix repeat those components as the source publishes them, but are not a literal decomposition of this string: see core_project_num.","También llamado número de la subvención, del proyecto intramuros o del contrato. Las columnas application_type, activity, administering_ic, serial_number, support_year y suffix repiten esas componentes tal como la fuente las publica, pero no son una descomposición literal de esta cadena: ver core_project_num.",FULL_PROJECT_NUM
core_project_num,STRING,"Identificador do projeto de pesquisa que não varia entre anos de apoio, formado pelo código de atividade, código do instituto e número de série","Identifier of the research project that does not vary across support years, made up of the activity code, institute code and serial number","Identificador del proyecto de investigación que no varía entre años de apoyo, formado por el código de actividad, código del instituto y número de serie",,no,,,no,"Sempre é uma subsequência de full_project_num, nas 2.951.523 linhas do período. Difere da concatenação de activity, administering_ic e serial_number em 91.147 linhas (3,09%), porque o instituto administrador muda quando a concessão é transferida enquanto o número mantém as letras originais. É esta coluna, e não as componentes, que liga a project as tabelas publication_link, patent_link e clinical_study_link.","Always a substring of full_project_num, on all 2,951,523 rows of the period. It differs from the concatenation of activity, administering_ic and serial_number on 91,147 rows (3.09%), because the administering institute moves when an award is transferred while the number keeps the original letters. This column, not the components, is what joins project to publication_link, patent_link and clinical_study_link.","Siempre es una subcadena de full_project_num, en las 2.951.523 filas del período. Difiere de la concatenación de activity, administering_ic y serial_number en 91.147 filas (3,09%), porque el instituto administrador cambia cuando la subvención se transfiere mientras el número conserva las letras originales. Es esta columna, y no las componentes, la que une project con publication_link, patent_link y clinical_study_link.",CORE_PROJECT_NUM
subproject_id,STRING,Identificador do subprojeto dentro de uma concessão multiprojeto,Identifier of the subproject within a multi-project award,Identificador del subproyecto dentro de una subvención multiproyecto,,no,,,no,"Vazio em 79,53% das linhas, que são registros de projeto único ou o registro-pai de uma concessão multiprojeto.","Blank on 79.53% of rows, which are single-project records or the parent record of a multi-project award.","Vacío en el 79,53% de las filas, que son registros de proyecto único o el registro padre de una subvención multiproyecto.",SUBPROJECT_ID
application_type,STRING,Código de um dígito que identifica o tipo de solicitação financiada,One-digit code identifying the type of application funded,Código de un dígito que identifica el tipo de solicitud financiada,,yes,,,no,"O dicionário de dados da fonte define os valores 1, 2, 3, 4, 5, 7 e 9. Os valores 6 e 8 ocorrem nos dados, em 4.885 e 2.213 linhas, e não são definidos em documentação alguma.","The source's data dictionary defines values 1, 2, 3, 4, 5, 7 and 9. Values 6 and 8 occur in the data, on 4,885 and 2,213 rows, and are defined in no documentation.","El diccionario de datos de la fuente define los valores 1, 2, 3, 4, 5, 7 y 9. Los valores 6 y 8 ocurren en los datos, en 4.885 y 2.213 filas, y no están definidos en ninguna documentación.",APPLICATION_TYPE
activity,STRING,"Código de três caracteres do programa de concessão, contrato ou atividade intramuros que apoia o projeto","Three-character code of the grant, contract or intramural activity programme supporting the project","Código de tres caracteres del programa de subvención, contrato o actividad intramuros que apoya el proyecto",,yes,,,no,"372 valores distintos no período, dos quais 233 têm rótulo no dicionário. O registro oficial do NIH cobre 258 códigos de concessões e acordos de cooperação; contratos de pesquisa e desenvolvimento (iniciados por N), projetos intramuros (iniciados por Z) e códigos de outras agências ficam sem rótulo.","372 distinct values over the period, of which 233 carry a label in the dictionary. The official NIH register covers 258 grant and cooperative agreement codes; research and development contracts (beginning with N), intramural projects (beginning with Z) and other agencies' codes have no label.","372 valores distintos en el período, de los cuales 233 tienen etiqueta en el diccionario. El registro oficial del NIH cubre 258 códigos de subvenciones y acuerdos de cooperación; los contratos de investigación y desarrollo (iniciados por N), los proyectos intramuros (iniciados por Z) y los códigos de otras agencias quedan sin etiqueta.",ACTIVITY
administering_ic,STRING,"Código de dois caracteres da agência, instituto ou centro que administra a concessão","Two-character code of the agency, institute or centre administering the award","Código de dos caracteres de la agencia, instituto o centro que administra la subvención",,yes,,,no,"114 códigos no período. O nome por extenso está em ic_name; 13 dos 114 códigos aparecem com mais de uma grafia do nome ao longo do tempo, e o dicionário registra a grafia mais frequente.","114 codes over the period. The full name is in ic_name; 13 of the 114 codes appear under more than one spelling of the name over time, and the dictionary records the most frequent spelling.","114 códigos en el período. El nombre completo está en ic_name; 13 de los 114 códigos aparecen con más de una grafía del nombre a lo largo del tiempo, y el diccionario registra la grafía más frecuente.",ADMINISTERING_IC
serial_number,STRING,Número de série atribuído em ordem sequencial dentro de cada organização administradora,Serial number assigned in sequence within each administering organisation,Número de serie asignado en orden secuencial dentro de cada organización administradora,,no,,,no,"Publicado sem zeros à esquerda, com um a seis dígitos, enquanto aparece com seis posições dentro de core_project_num e full_project_num.","Published without leading zeros, with one to six digits, while it appears in six positions inside core_project_num and full_project_num.","Publicado sin ceros a la izquierda, con uno a seis dígitos, mientras que aparece con seis posiciones dentro de core_project_num y full_project_num.",SERIAL_NUMBER
suffix,STRING,Sufixo do número da solicitação que identifica versões emendadas e suplementos,Suffix to the application number identifying amended versions and supplements,Sufijo del número de la solicitud que identifica versiones enmendadas y suplementos,,no,,,no,"A letra A seguida de número indica solicitação emendada e a letra S seguida de número indica suplemento; ocorrem também as formas A1S1, X1, M001 e sequências puramente numéricas. Vazio em 85,82% das linhas.","The letter A followed by a number marks an amended application and the letter S followed by a number a supplement; the forms A1S1, X1, M001 and purely numeric sequences also occur. Blank on 85.82% of rows.","La letra A seguida de número indica solicitud enmendada y la letra S seguida de número indica suplemento; también ocurren las formas A1S1, X1, M001 y secuencias puramente numéricas. Vacío en el 85,82% de las filas.",SUFFIX
support_year,INT64,"Ano de apoio do projeto, conforme consta do número completo do projeto","Year of support of the project, as shown in the full project number","Año de apoyo del proyecto, según consta en el número completo del proyecto",,no,,year,no,Assume valores de 0 a 95. Valores acima de 50 são raros e correspondem sobretudo a centros e contratos de longa duração.,Takes values from 0 to 95. Values above 50 are rare and correspond mostly to long-running centres and contracts.,Asume valores de 0 a 95. Los valores por encima de 50 son raros y corresponden sobre todo a centros y contratos de larga duración.,SUPPORT_YEAR
assistance_listing_number,STRING,"Número do programa federal no catálogo de auxílios federais, antes chamado código CFDA","Number of the federal programme in the assistance listings catalogue, formerly called the CFDA code","Número del programa federal en el catálogo de asistencias federales, antes llamado código CFDA",,no,,,no,"A fonte chamou esta coluna de CFDA_CODE até o ano fiscal de 2024 e ASSISTANCE_LISTING_NUMBER a partir de 2025, sem mudança de conteúdo.","The source called this column CFDA_CODE through fiscal year 2024 and ASSISTANCE_LISTING_NUMBER from 2025 on, with no change of content.","La fuente llamó a esta columna CFDA_CODE hasta el año fiscal de 2024 y ASSISTANCE_LISTING_NUMBER a partir de 2025, sin cambio de contenido.",CFDA_CODE / ASSISTANCE_LISTING_NUMBER
opportunity_number,STRING,Número do anúncio de oportunidade de financiamento sob o qual a solicitação foi apresentada,Number of the funding opportunity announcement under which the application was solicited,Número del anuncio de oportunidad de financiamiento bajo el cual se presentó la solicitud,,no,,,no,"A fonte chamou esta coluna de FOA_NUMBER até o ano fiscal de 2005 e ""OPPORTUNITY NUMBER"", com espaço, a partir de 2006. Vazio em 48,96% das linhas.","The source called this column FOA_NUMBER through fiscal year 2005 and ""OPPORTUNITY NUMBER"", with a space, from 2006 on. Blank on 48.96% of rows.","La fuente llamó a esta columna FOA_NUMBER hasta el año fiscal de 2005 y ""OPPORTUNITY NUMBER"", con espacio, a partir de 2006. Vacío en el 48,96% de las filas.",FOA_NUMBER / OPPORTUNITY NUMBER
study_section,STRING,Código do painel de revisão por pares que avaliou o mérito científico e técnico da solicitação,Code of the peer review panel that assessed the scientific and technical merit of the application,Código del panel de revisión por pares que evaluó el mérito científico y técnico de la solicitud,,no,,,no,"1.578 códigos distintos. O nome do painel está em study_section_name, que fica vazio quando a revisão coube a um painel de ênfase especial e não a um comitê permanente. Vazio em 14,48% das linhas.","1,578 distinct codes. The panel's name is in study_section_name, which is blank when the review fell to a special emphasis panel rather than a standing committee. Blank on 14.48% of rows.","1.578 códigos distintos. El nombre del panel está en study_section_name, que queda vacío cuando la revisión correspondió a un panel de énfasis especial y no a un comité permanente. Vacío en el 14,48% de las filas.",STUDY_SECTION
