name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano-calendário do arquivo de publicações de que o registro provém,Calendar year of the publication file the record comes from,Año calendario del archivo de publicaciones del que proviene el registro,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Ano-CALENDÁRIO de divulgação do arquivo de publicações de que o registro provém, e não o ano fiscal usado nas tabelas project e project_abstract. Coluna de particionamento.","CALENDAR year of release of the publication file the record comes from, not the fiscal year used in the project and project_abstract tables. Partition column.","Año CALENDARIO de divulgación del archivo de publicaciones del que proviene el registro, y no el año fiscal usado en las tablas project y project_abstract. Columna de particionamiento.",
pmid,STRING,Identificador único da publicação no PubMed,Unique identifier of the publication in PubMed,Identificador único de la publicación en PubMed,,no,,,no,"Número de acesso de um a oito dígitos, sem zeros à esquerda. Liga esta tabela a publication_link.",One- to eight-digit accession number with no leading zeros. Joins this table to publication_link.,"Número de acceso de uno a ocho dígitos, sin ceros a la izquierda. Une esta tabla con publication_link.",PMID
pmc_id,STRING,Identificador único do artigo no PubMed Central,Unique identifier of the article in PubMed Central,Identificador único del artículo en PubMed Central,,no,,,no,,,,PMC_ID
issn,STRING,Número internacional normalizado que identifica o periódico,International standard serial number identifying the journal,Número internacional normalizado que identifica la revista,,no,,,no,,,,ISSN
publication_title,STRING,Título do artigo,Title of the journal article,Título del artículo,,no,,,no,Sempre em inglês; títulos originalmente publicados em outra língua e traduzidos aparecem entre colchetes.,Always in English; titles originally published in another language and translated appear in square brackets.,Siempre en inglés; los títulos publicados originalmente en otra lengua y traducidos aparecen entre corchetes.,PUB_TITLE
journal_title,STRING,Título completo do periódico,Full title of the journal,Título completo de la revista,,no,,,no,,,,JOURNAL_TITLE
journal_title_abbreviation,STRING,Abreviatura padronizada do título do periódico,Standard abbreviation of the journal title,Abreviatura estandarizada del título de la revista,,no,,,no,,,,JOURNAL_TITLE_ABBR
journal_volume,STRING,Volume do periódico em que o artigo foi publicado,Volume of the journal in which the article was published,Volumen de la revista en que se publicó el artículo,,no,,,no,,,,JOURNAL_VOLUME
journal_issue,STRING,"Número, parte ou suplemento do periódico em que o artigo foi publicado","Issue, part or supplement of the journal in which the article was published","Número, parte o suplemento de la revista en que se publicó el artículo",,no,,,no,,,,JOURNAL_ISSUE
page_number,STRING,Páginas do artigo no periódico,Pages of the article in the journal,Páginas del artículo en la revista,,no,,,no,A paginação pode não ser numérica; artigos eletrônicos trazem aqui o número do documento.,The pagination need not be numeric; electronic articles carry the document number here.,La paginación puede no ser numérica; los artículos electrónicos traen aquí el número del documento.,PAGE_NUMBER
publication_date,STRING,"Data de publicação do fascículo, conforme impressa no periódico","Publication date of the journal issue, as printed in the journal","Fecha de publicación del fascículo, tal como está impresa en la revista",,no,,,no,"Mantida como texto porque a fonte a publica como os elementos que constam do fascículo, que nem sempre incluem mês e dia.","Kept as text because the source publishes whichever elements the issue carries, which do not always include a month and a day.","Mantenida como texto porque la fuente la publica con los elementos que constan en el fascículo, que no siempre incluyen mes y día.",PUB_DATE
publication_year,INT64,Ano de publicação do artigo,Year the article was published,Año de publicación del artículo,,no,,year,no,"Extraído pela fonte de publication_date. Pode diferir do ano da coluna year, que é o do arquivo de divulgação.","Extracted by the source from publication_date. It can differ from the year in the year column, which is that of the release file.","Extraído por la fuente de publication_date. Puede diferir del año de la columna year, que es el del archivo de divulgación.",PUB_YEAR
author_list,STRING,"Autores do artigo, separados por ponto e vírgula","Authors of the article, separated by semicolons","Autores del artículo, separados por punto y coma",,no,,,no,"Cada autor aparece como sobrenome seguido de até duas iniciais e, quando aplicável, de uma abreviatura de sufixo.","Each author appears as a surname followed by up to two initials and, where applicable, a suffix abbreviation.","Cada autor aparece como apellido seguido de hasta dos iniciales y, cuando corresponde, de una abreviatura de sufijo.",AUTHOR_LIST
affiliation,STRING,Vínculo institucional do primeiro autor,Institutional affiliation of the first author,Vinculación institucional del primer autor,,no,,,no,,,,AFFILIATION
country,STRING,País de publicação do periódico,Country of publication of the journal,País de publicación de la revista,,no,,,no,Usa os nomes de país da categoria Z do vocabulário MeSH da Biblioteca Nacional de Medicina dos Estados Unidos.,Uses the country names in category Z of the United States National Library of Medicine's MeSH vocabulary.,Usa los nombres de país de la categoría Z del vocabulario MeSH de la Biblioteca Nacional de Medicina de los Estados Unidos.,COUNTRY
language,STRING,Língua em que o artigo foi publicado,Language in which the article was published,Lengua en que se publicó el artículo,,no,,,no,"Abreviaturas de três letras em caixa baixa, como eng, fre e ger.","Lower-case three-letter abbreviations, such as eng, fre and ger.","Abreviaturas de tres letras en minúsculas, como eng, fre y ger.",LANG
