name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es,observations_en,observations_es
year,INT64,Ano fiscal da instituição a que se referem os dados,,no,diretorios_data_tempo.ano:ano,year,no,"Coluna de partição. O ano fiscal varia por instituição; a Questão 17 do questionário registra o mês de encerramento, que não consta do arquivo de uso público",year,Institution fiscal year the data describe,Año fiscal de la institución al que se refieren los datos,"Partition column. The fiscal year varies by institution; questionnaire item 17 records the month it ends, which the public use file does not carry","Columna de partición. El año fiscal varía por institución; el ítem 17 del cuestionario registra el mes de cierre, que no consta en el archivo de uso público"
institution_id,STRING,Código de identificação da instituição atribuído pelo NCSES,,no,,,no,Chamado 'fice' nos arquivos de 1972 a 2009 e 'inst_id' a partir de 2010; é o mesmo código nas duas eras,inst_id / fice,NCSES institution identification code,Código de identificación de la institución asignado por el NCSES,Called 'fice' in the 1972 to 2009 files and 'inst_id' from 2010; it is the same code in both eras,Llamado 'fice' en los archivos de 1972 a 2009 e 'inst_id' desde 2010; es el mismo código en las dos eras
unitid,STRING,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave das tabelas us_ed_ipeds e us_ed_college_scorecard; como em us_ed_ipeds o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)",,no,diretorios_us.higher_education_institution:id_institution,,no,Presente na fonte a partir do ano fiscal de 2010. Para 1972-2009 é transportado do mesmo institution_id observado em 2010 ou depois; instituições que deixaram a pesquisa antes de 2010 ficam nulas,ipeds_unitid,"IPEDS institution identifier (UNITID). The same key as us_ed_ipeds and us_ed_college_scorecard; us_ed_ipeds types it INT64, so a join needs safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). La misma clave que us_ed_ipeds y us_ed_college_scorecard; en us_ed_ipeds el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)",Present in the source from fiscal year 2010. For 1972-2009 it is carried back from the same institution_id observed in 2010 or later; institutions that left the survey before 2010 stay null,Presente en la fuente desde el año fiscal de 2010. Para 1972-2009 se traslada desde el mismo institution_id observado en 2010 o después; las instituciones que dejaron la encuesta antes de 2010 quedan nulas
survey_form,STRING,Versão do questionário respondida pela instituição no ano,,yes,,,no,"O formulário curto existe a partir do ano fiscal de 2012, para instituições com menos de US$ 1 milhão em P&D total",(nome do arquivo),Questionnaire version the institution answered in the year,Versión del cuestionario respondida por la institución en el año,"The short form exists from fiscal year 2012, for institutions with less than $1 million in total R&D","El formulario corto existe desde el año fiscal de 2012, para instituciones con menos de 1 millón de dólares en I+D total"
question_code,STRING,Código do item do questionário,,no,,,no,Os códigos foram harmonizados pelo NCSES com o formato do ano fiscal de 2024 dentro de cada era. Itens com o prefixo 'NA_' não têm número no questionário,questionnaire_no,Questionnaire item code,Código del ítem del cuestionario,NCSES harmonised the codes with the fiscal year 2024 format within each era. Items prefixed 'NA_' have no questionnaire number,El NCSES armonizó los códigos con el formato del año fiscal de 2024 dentro de cada era. Los ítems con el prefijo 'NA_' no tienen número en el cuestionario
question,STRING,Assunto do item do questionário,,no,,,no,Necessário junto de question_code para identificar o item: de 1972 a 2009 o mesmo código cobre assuntos diferentes,question,Subject of the questionnaire item,Asunto del ítem del cuestionario,Needed alongside question_code to identify the item: from 1972 to 2009 the same code covers different subjects,Necesario junto a question_code para identificar el ítem: de 1972 a 2009 el mismo código cubre asuntos diferentes
row_label,STRING,Rótulo da linha do item do questionário,,no,,,no,"Conforme o item, identifica a fonte de recursos, o campo de pesquisa, o tipo de despesa ou a agência federal",row,Row label of the questionnaire item,Etiqueta de la fila del ítem del cuestionario,"Depending on the item, it names the source of funds, the field of research, the type of cost or the federal agency","Según el ítem, identifica la fuente de recursos, el campo de investigación, el tipo de gasto o la agencia federal"
column_label,STRING,Rótulo da coluna do item do questionário,,no,,,no,"Conforme o item, identifica a agência federal, a origem federal ou não federal dos recursos ou a fonte não federal. Vazio nos itens de uma única coluna",column,Column label of the questionnaire item,Etiqueta de la columna del ítem del cuestionario,"Depending on the item, it names the federal agency, whether the funds are federal or nonfederal, or the nonfederal source. Empty on single-column items","Según el ítem, identifica la agencia federal, el origen federal o no federal de los recursos o la fuente no federal. Vacío en los ítems de una sola columna"
expenditure,FLOAT64,"Despesa de pesquisa e desenvolvimento, em dólares correntes",,no,,USD,no,"O NCSES publica os valores em milhares de dólares; aqui estão multiplicados por mil, de modo que a precisão de origem é o milhar. Valores em dólares correntes, sem deflacionamento",data,"Research and development expenditure, in current dollars","Gasto en investigación y desarrollo, en dólares corrientes","NCSES publishes the values in thousands of dollars; here they are multiplied by a thousand, so the source precision is the thousand. Current dollars, not deflated","El NCSES publica los valores en miles de dólares; aquí están multiplicados por mil, de modo que la precisión de origen es el millar. Dólares corrientes, sin deflactar"
status_code,STRING,Código de situação do valor de despesa,,yes,,,no,Vazio indica resposta normal. Os arquivos de 1972 a 2009 gravam o mesmo código em maiúsculas e minúsculas; aqui está padronizado em minúsculas,status,Status code for the expenditure value,Código de situación del valor de gasto,Empty means a normal response. The 1972 to 2009 files write the same code in upper and lower case; here it is standardised to lower case,Vacío indica respuesta normal. Los archivos de 1972 a 2009 graban el mismo código en mayúsculas y minúsculas; aquí está estandarizado en minúsculas
