name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano fiscal da instituição a que se referem os dados,,no,diretorios_data_tempo.ano:ano,year,no,"Coluna de partição. O ano fiscal varia por instituição; a Questão 17 do questionário registra o mês de encerramento, que não consta do arquivo de uso público",year,Institution fiscal year the data describe,Año fiscal de la institución al que se refieren los datos
institution_id,STRING,Código de identificação da instituição atribuído pelo NCSES,,no,,,no,Chamado 'fice' nos arquivos de 1972 a 2009 e 'inst_id' a partir de 2010; é o mesmo código nas duas eras,inst_id / fice,NCSES institution identification code,Código de identificación de la institución asignado por el NCSES
ncses_institution_id,STRING,Identificador interno da instituição no NCSES,,no,,,no,Presente apenas a partir do ano fiscal de 2010,ncses_inst_id,NCSES internal institution identifier,Identificador interno de la institución en el NCSES
unitid,STRING,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave das tabelas us_ed_ipeds e us_ed_college_scorecard; como em us_ed_ipeds o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)",,no,diretorios_us.higher_education_institution:id_institution,,no,Presente na fonte a partir do ano fiscal de 2010. Para 1972-2009 é transportado do mesmo institution_id observado em 2010 ou depois; instituições que deixaram a pesquisa antes de 2010 ficam nulas,ipeds_unitid,"IPEDS institution identifier (UNITID). The same key as us_ed_ipeds and us_ed_college_scorecard; us_ed_ipeds types it INT64, so a join needs safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). La misma clave que us_ed_ipeds y us_ed_college_scorecard; en us_ed_ipeds el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)"
combined_institution_id,STRING,Código da instituição com a qual esta é combinada no relatório,,no,,,no,"Presente apenas de 1972 a 2009. O valor de origem '000000', que significa 'não combinar', é gravado como nulo",fice_combined,Identifier of the institution this one is combined with for reporting,Código de la institución con la que esta se combina en el informe
survey_form,STRING,Versão do questionário respondida pela instituição no ano,,yes,,,no,"O formulário curto existe a partir do ano fiscal de 2012, para instituições com menos de US$ 1 milhão em P&D total",(nome do arquivo),Questionnaire version the institution answered in the year,Versión del cuestionario respondida por la institución en el año
institution_name,STRING,Nome da instituição,,no,,,no,,inst_name_long,Institution name,Nombre de la institución
institution_city,STRING,Município em que a instituição está localizada,,no,,,no,,inst_city,City where the institution is located,Ciudad en la que se ubica la institución
state_abbreviation,STRING,Sigla do estado norte-americano em que a instituição está localizada,,no,,,no,"Sem vínculo de diretório: br_bd_diretorios_us.state é chaveado no código FIPS (id_state), não na sigla. A checagem referencial é feita por teste dbt contra a coluna abbreviation. O marcador de origem '??', que indica agregação de instituições, é nulo aqui",inst_state_code / inst_state,Abbreviation of the U.S. state where the institution is located,Sigla del estado estadounidense en el que se ubica la institución
zip_code,STRING,Código postal (ZIP) da instituição,,no,,,no,"O marcador de origem '?????', que indica agregação de instituições, é nulo aqui",inst_zip,Institution ZIP code,Código postal (ZIP) de la institución
hbcu_indicator,STRING,Indica se a instituição é uma HBCU (faculdade ou universidade historicamente negra),,yes,,,no,O conjunto de códigos muda entre 1972-2009 e 2010-2024,hbcu_flag,Whether the institution is a historically black college or university,Indica si la institución es una HBCU (universidad históricamente negra)
medical_school_indicator,STRING,Indica se a instituição tem escola de medicina,,yes,,,no,,med_sch_flag / has_med_sch_flag,Whether the institution has a medical school,Indica si la institución tiene escuela de medicina
high_hispanic_enrollment_indicator,STRING,Indica se a instituição tem alta matrícula de estudantes hispânicos,,yes,,,no,O conjunto de códigos muda entre 1972-2009 e 2010-2024,hhe_flag,Whether the institution is a high Hispanic enrollment institution,Indica si la institución tiene alta matrícula de estudiantes hispanos
institution_type_code,STRING,Código do tipo de instituição,,yes,,,no,,toi_code,Institution type code,Código del tipo de institución
highest_degree_code,STRING,Código do grau mais alto concedido pela instituição,,yes,,,no,Os códigos de 1972-2009 referem-se ao grau mais alto em ciência e engenharia e não são comparáveis aos de 2010-2024,hdg_code,Code for the highest degree the institution grants,Código del grado más alto que otorga la institución
control_type_code,STRING,Código do tipo de controle da instituição,,yes,,,no,,toc_code,Institution control type code,Código del tipo de control de la institución
fy09_pilot_indicator,STRING,Indica se a instituição participou do piloto da pesquisa HERD no ano fiscal de 2009,,yes,,,no,Presente apenas nos arquivos de 1972 a 2009,pilot_fy09_flag,Whether the institution took part in the FY2009 HERD pilot survey,Indica si la institución participó en el piloto de la encuesta HERD en el año fiscal 2009
