name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es,observations_en,observations_es
year,INT64,Ano fiscal da instituição a que se referem os dados,,no,diretorios_data_tempo.ano:ano,year,no,"Coluna de partição. O ano fiscal varia por instituição; a Questão 17 do questionário registra o mês de encerramento, que não consta do arquivo de uso público",year,Institution fiscal year the data describe,Año fiscal de la institución al que se refieren los datos,"Partition column. The fiscal year varies by institution; questionnaire item 17 records the month it ends, which the public use file does not carry","Columna de partición. El año fiscal varía por institución; el ítem 17 del cuestionario registra el mes de cierre, que no consta en el archivo de uso público"
institution_id,STRING,Código de identificação da instituição atribuído pelo NCSES,,no,,,no,Chamado 'fice' nos arquivos de 1972 a 2009 e 'inst_id' a partir de 2010; é o mesmo código nas duas eras,inst_id / fice,NCSES institution identification code,Código de identificación de la institución asignado por el NCSES,Called 'fice' in the 1972 to 2009 files and 'inst_id' from 2010; it is the same code in both eras,Llamado 'fice' en los archivos de 1972 a 2009 e 'inst_id' desde 2010; es el mismo código en las dos eras
unitid,STRING,"Código de identificação da instituição no IPEDS (UNITID). Mesma chave das tabelas us_ed_ipeds e us_ed_college_scorecard; como em us_ed_ipeds o tipo é INT64, o cruzamento exige safe_cast(unitid as int64)",,no,diretorios_us.higher_education_institution:id_institution,,no,Presente na fonte a partir do ano fiscal de 2010. Para 1972-2009 é transportado do mesmo institution_id observado em 2010 ou depois; instituições que deixaram a pesquisa antes de 2010 ficam nulas,ipeds_unitid,"IPEDS institution identifier (UNITID). The same key as us_ed_ipeds and us_ed_college_scorecard; us_ed_ipeds types it INT64, so a join needs safe_cast(unitid as int64)","Código de identificación de la institución en IPEDS (UNITID). La misma clave que us_ed_ipeds y us_ed_college_scorecard; en us_ed_ipeds el tipo es INT64, por lo que el cruce exige safe_cast(unitid as int64)",Present in the source from fiscal year 2010. For 1972-2009 it is carried back from the same institution_id observed in 2010 or later; institutions that left the survey before 2010 stay null,Presente en la fuente desde el año fiscal de 2010. Para 1972-2009 se traslada desde el mismo institution_id observado en 2010 o después; las instituciones que dejaron la encuesta antes de 2010 quedan nulas
survey_form,STRING,Versão do questionário respondida pela instituição no ano,,yes,,,no,"O formulário curto existe a partir do ano fiscal de 2012, para instituições com menos de US$ 1 milhão em P&D total",(nome do arquivo),Questionnaire version the institution answered in the year,Versión del cuestionario respondida por la institución en el año,"The short form exists from fiscal year 2012, for institutions with less than $1 million in total R&D","El formulario corto existe desde el año fiscal de 2012, para instituciones con menos de 1 millón de dólares en I+D total"
personnel_group,STRING,Grupo de pessoal a que se refere a contagem,,no,,,no,De 2010 a 2019 distingue pesquisadores principais e demais integrantes; de 2010 a 2015 há também a contagem de pós-doutorandos,row,Personnel group the count refers to,Grupo de personal al que se refiere el conteo,From 2010 to 2019 it separates principal investigators from other personnel; from 2010 to 2015 it also carries the postdoc count,De 2010 a 2019 distingue investigadores principales y demás integrantes; de 2010 a 2015 también trae el conteo de posdoctorandos
personnel_function,STRING,Função de pesquisa e desenvolvimento exercida pelo pessoal,,no,,,no,Preenchido a partir do ano fiscal de 2022,column,Research and development function the personnel perform,Función de investigación y desarrollo que ejerce el personal,Populated from fiscal year 2022,Completado desde el año fiscal de 2022
headcount,INT64,Número de pessoas que apoiam atividades de pesquisa e desenvolvimento,,no,,person,no,Os arquivos de uso público não trazem contagem de pessoal para os anos fiscais de 2020 e 2021,data,Number of people supporting research and development activities,Número de personas que apoyan actividades de investigación y desarrollo,The public use files carry no personnel count for fiscal years 2020 and 2021,Los archivos de uso público no traen conteo de personal para los años fiscales de 2020 y 2021
headcount_status_code,STRING,Código de situação do valor de contagem,,yes,,,no,Vazio indica resposta normal. Os arquivos de 1972 a 2009 gravam o mesmo código em maiúsculas e minúsculas; aqui está padronizado em minúsculas,status,Status code for the headcount value,Código de situación del valor de conteo,Empty means a normal response. The 1972 to 2009 files write the same code in upper and lower case; here it is standardised to lower case,Vacío indica respuesta normal. Los archivos de 1972 a 2009 graban el mismo código en mayúsculas y minúsculas; aquí está estandarizado en minúsculas
full_time_equivalent,FLOAT64,Equivalentes de tempo integral do pessoal de pesquisa e desenvolvimento,,no,,full_time_equivalent,no,Coletado a partir do ano fiscal de 2022,data,Full-time equivalents of research and development personnel,Equivalentes de tiempo completo del personal de investigación y desarrollo,Collected from fiscal year 2022,Recolectado desde el año fiscal de 2022
full_time_equivalent_status_code,STRING,Código de situação do valor de equivalente de tempo integral,,yes,,,no,Vazio indica resposta normal. Os arquivos de 1972 a 2009 gravam o mesmo código em maiúsculas e minúsculas; aqui está padronizado em minúsculas,status,Status code for the full-time equivalent value,Código de situación del valor de equivalente de tiempo completo,Empty means a normal response. The 1972 to 2009 files write the same code in upper and lower case; here it is standardised to lower case,Vacío indica respuesta normal. Los archivos de 1972 a 2009 graban el mismo código en mayúsculas y minúsculas; aquí está estandarizado en minúsculas
