name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano de divulgação do conjunto de dados trimestral,,no,,year,no,"Refere-se ao trimestre de divulgação do conjunto de dados (o arquivo ZIP de origem), não ao período fiscal reportado. Um trimestre contém todas as submissões protocoladas nele, que podem reportar períodos de anos anteriores.",(derivado do nome do arquivo ZIP),Year of the quarterly data set release,Año de divulgación del conjunto de datos trimestral
quarter,INT64,Trimestre de divulgação do conjunto de dados,,no,,quarter,no,"Valores de 1 a 4. Refere-se ao trimestre de divulgação do conjunto de dados (o arquivo ZIP de origem), não ao período fiscal reportado. Um trimestre contém todas as submissões protocoladas nele, que podem reportar períodos de anos anteriores.",(derivado do nome do arquivo ZIP),Quarter of the data set release,Trimestre de divulgación del conjunto de datos
accession_number,STRING,Número de adesão (accession number) da submissão no EDGAR,,no,,,no,Cadeia de 20 caracteres no formato nnnnnnnnnn-nn-nnnnnn. Chave primária de `submission` e chave estrangeira em `numeric_fact` e `presentation`.,adsh,EDGAR accession number of the submission,Número de adhesión (accession number) de la presentación en EDGAR
tag,STRING,Identificador do marcador (tag) da taxonomia XBRL,,no,,,no,"Junto com version, referencia a tabela `tag`.",tag,Identifier of the XBRL taxonomy tag,Identificador de la etiqueta (tag) de la taxonomía XBRL
version,STRING,Versão da taxonomia em que o marcador foi definido,,no,,,no,"Para marcadores padrão, a taxonomia de origem (por exemplo us-gaap/2024); para marcadores customizados, o número de adesão da submissão que o definiu.",version,Taxonomy version in which the tag was defined,Versión de la taxonomía en la que se definió la etiqueta
period_end_date,DATE,Data final do período a que o valor se refere,,no,,,no,Arredondada para o fim do mês.,ddate,End date of the period the value refers to,Fecha final del período al que se refiere el valor
quantity_quarters,INT64,Número de trimestres cobertos pelo valor,,no,,quarter,no,"0 indica um valor pontual (estoque); 1 indica um trimestre, 4 um ano.",qtrs,Number of quarters covered by the value,Número de trimestres cubiertos por el valor
unit_of_measure,STRING,Unidade de medida do valor,,no,,,no,"Por exemplo USD, EUR, shares, pure. Rótulos já legíveis, por isso não coberto por dicionário.",uom,Unit of measure of the value,Unidad de medida del valor
segments,STRING,Eixos e membros XBRL que qualificam o valor,,no,,,no,Pares eixo=membro separados por ponto e vírgula; nulo para o valor não dimensional.,segments,XBRL axes and members qualifying the value,Ejes y miembros XBRL que califican el valor
coregistrant,STRING,"Corregistrante, empresa controladora ou outra entidade a que o valor se refere",,no,,,no,Nulo indica a entidade consolidada.,coreg,"Co-registrant, parent company or other entity the value refers to","Corregistrante, empresa matriz u otra entidad a la que se refiere el valor"
value,FLOAT64,Valor numérico reportado,,no,,,no,"A unidade varia por linha e está em unit_of_measure, por isso measurement_unit fica em branco. Conforme protocolado, sem escala, limitado a quatro casas decimais.",value,Reported numeric value,Valor numérico reportado
footnote,STRING,Texto das notas de rodapé associadas ao valor,,no,,,no,Truncado em 512 caracteres.,footnote,Text of the footnotes attached to the value,Texto de las notas al pie asociadas al valor
