name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano de divulgação do conjunto de dados trimestral,,no,,year,no,"Refere-se ao trimestre de divulgação do conjunto de dados (o arquivo ZIP de origem), não ao período fiscal reportado. Um trimestre contém todas as submissões protocoladas nele, que podem reportar períodos de anos anteriores.",(derivado do nome do arquivo ZIP),Year of the quarterly data set release,Año de divulgación del conjunto de datos trimestral
quarter,INT64,Trimestre de divulgação do conjunto de dados,,no,,quarter,no,"Valores de 1 a 4. Refere-se ao trimestre de divulgação do conjunto de dados (o arquivo ZIP de origem), não ao período fiscal reportado. Um trimestre contém todas as submissões protocoladas nele, que podem reportar períodos de anos anteriores.",(derivado do nome do arquivo ZIP),Quarter of the data set release,Trimestre de divulgación del conjunto de datos
accession_number,STRING,Número de adesão (accession number) da submissão no EDGAR,,no,,,no,Cadeia de 20 caracteres no formato nnnnnnnnnn-nn-nnnnnn. Chave primária de `submission` e chave estrangeira em `numeric_fact` e `presentation`.,adsh,EDGAR accession number of the submission,Número de adhesión (accession number) de la presentación en EDGAR
report,STRING,Identificador do relatório dentro das demonstrações financeiras,,no,,,no,"Número sequencial, correspondente ao arquivo R publicado no EDGAR. Ordenar exige safe_cast(report as int64).",report,Identifier of the report within the financial statements,Identificador del informe dentro de los estados financieros
line,STRING,Ordem de apresentação da linha dentro do relatório,,no,,,no,Número sequencial. Ordenar exige safe_cast(line as int64).,line,Presentation order of the line within the report,Orden de presentación de la línea dentro del informe
statement,STRING,Demonstração financeira a que o relatório pertence,,yes,,,no,"BS, IS, CF, EQ, CI, SI ou UN; os dados também trazem CP (página de rosto), valor ausente da documentação da SEC. Rótulos em `dicionario`.",stmt,Financial statement the report belongs to,Estado financiero al que pertenece el informe
parenthetical,STRING,Indicador de valor apresentado entre parênteses no corpo da demonstração,,yes,,,no,"1 se verdadeiro, 0 se falso.",inpth,Indicator of a value presented parenthetically in the statement,Indicador de valor presentado entre paréntesis en el estado financiero
render_file,STRING,Tipo de arquivo de dados interativos renderizado no EDGAR,,yes,,,no,"H para arquivo .htm, X para arquivo .xml.",rfile,Type of interactive data file rendered on EDGAR,Tipo de archivo de datos interactivos renderizado en EDGAR
tag,STRING,Identificador do marcador (tag) da taxonomia XBRL,,no,,,no,Marcador escolhido pelo declarante para esta linha.,tag,Identifier of the XBRL taxonomy tag,Identificador de la etiqueta (tag) de la taxonomía XBRL
version,STRING,Versão da taxonomia em que o marcador foi definido,,no,,,no,"Para marcadores padrão, a taxonomia de origem (por exemplo us-gaap/2024); para marcadores customizados, o número de adesão da submissão que o definiu.",version,Taxonomy version in which the tag was defined,Versión de la taxonomía en la que se definió la etiqueta
preferred_label,STRING,Texto apresentado na linha da demonstração financeira,,no,,,no,Também conhecido como rótulo preferencial (preferred label).,plabel,Text presented on the financial statement line,Texto presentado en la línea del estado financiero
negating,STRING,Indicador de que o rótulo preferencial inverte o sinal do valor,,yes,,,no,"1 se verdadeiro, 0 se falso.",negating,Indicator that the preferred label negates the value,Indicador de que la etiqueta preferencial invierte el signo del valor
