name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano de divulgação do conjunto de dados trimestral,,no,,year,no,"Refere-se ao trimestre de divulgação do conjunto de dados (o arquivo ZIP de origem), não ao período fiscal reportado. Um trimestre contém todas as submissões protocoladas nele, que podem reportar períodos de anos anteriores.",(derivado do nome do arquivo ZIP),Year of the quarterly data set release,Año de divulgación del conjunto de datos trimestral
quarter,INT64,Trimestre de divulgação do conjunto de dados,,no,,quarter,no,"Valores de 1 a 4. Refere-se ao trimestre de divulgação do conjunto de dados (o arquivo ZIP de origem), não ao período fiscal reportado. Um trimestre contém todas as submissões protocoladas nele, que podem reportar períodos de anos anteriores.",(derivado do nome do arquivo ZIP),Quarter of the data set release,Trimestre de divulgación del conjunto de datos
tag,STRING,Identificador do marcador (tag) da taxonomia XBRL,,no,,,no,Único dentro de uma versão de taxonomia.,tag,Identifier of the XBRL taxonomy tag,Identificador de la etiqueta (tag) de la taxonomía XBRL
version,STRING,Versão da taxonomia em que o marcador foi definido,,no,,,no,"Para marcadores padrão, a taxonomia de origem (por exemplo us-gaap/2024); para marcadores customizados, o número de adesão da submissão que o definiu.",version,Taxonomy version in which the tag was defined,Versión de la taxonomía en la que se definió la etiqueta
custom,STRING,Indicador de marcador customizado pelo declarante,,yes,,,no,"1 se customizado (version igual ao número de adesão), 0 se padrão.",custom,Indicator of a tag customized by the filer,Indicador de etiqueta personalizada por el declarante
abstract,STRING,Indicador de que o marcador não representa um fato numérico,,yes,,,no,"1 se verdadeiro, 0 se falso. Quando 1, datatype, balance e period_type são nulos.",abstract,Indicator that the tag does not represent a numeric fact,Indicador de que la etiqueta no representa un hecho numérico
datatype,STRING,Tipo de dado do marcador,,yes,,,no,"Por exemplo monetary, shares, percent, perShare, pure.",datatype,Data type of the tag,Tipo de dato de la etiqueta
period_type,STRING,Natureza temporal do valor do marcador,,yes,,,no,"I para valor pontual (instant), D para duração.",iord,Temporal nature of the tag's value,Naturaleza temporal del valor de la etiqueta
balance,STRING,Saldo contábil natural do marcador monetário,,yes,,,no,"C para crédito, D para débito; nulo quando não definido ou quando o marcador não é monetário.",crdr,Natural accounting balance of the monetary tag,Saldo contable natural de la etiqueta monetaria
label,STRING,Rótulo de documentação do marcador,,no,,,no,Texto da taxonomia para marcadores padrão; texto do declarante para marcadores customizados.,tlabel,Documentation label of the tag,Etiqueta de documentación de la etiqueta
documentation,STRING,Definição detalhada do marcador,,no,,,no,,doc,Detailed definition of the tag,Definición detallada de la etiqueta
