name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,"Ano de referência, correspondente à edição anual de dezembro",,no,br_bd_diretorios_data_tempo.ano:ano,year,no,As estatísticas são um retrato do mês de dezembro do ano de referência.,month,"Reference year, corresponding to the annual December edition","Año de referencia, correspondiente a la edición anual de diciembre"
state_id,STRING,Código ANSI (FIPS) de dois dígitos do estado,,no,br_bd_diretorios_us.state:id_state,,no,"Nulo nas linhas que não correspondem a um estado: 'All areas' (total nacional), 'Other', 'Foreign countries' e 'Unknown'.",ansi,Two-digit state ANSI (FIPS) code,Código ANSI (FIPS) de dos dígitos del estado
state_or_area,STRING,"Estado, território ou categoria agregada",,no,,,no,"Inclui o total nacional ('All areas'), os territórios e as categorias residuais 'Other', 'Foreign countries' e 'Unknown'. Filtre por state_id não nulo para obter apenas estados e territórios.",state_or_area,"State, territory or aggregate category","Estado, territorio o categoría agregada"
benefit_type,STRING,Tipo de benefício do OASDI,,yes,,,no,"Os nove tipos de benefício somam o valor de 'total'. As linhas com sexo ('men', 'women') são um recorte do subconjunto de 65 anos ou mais e não devem ser somadas aos tipos de benefício.",measure,Type of OASDI benefit,Tipo de beneficio del OASDI
age_group,STRING,Faixa etária do beneficiário,,yes,,,no,"É um recorte alternativo do total, não um subconjunto do tipo de benefício ou da categoria de elegibilidade.",measure,Age group of the beneficiary,Grupo de edad del beneficiario
sex,STRING,"Sexo do beneficiário, disponível apenas para a faixa de 65 anos ou mais",,yes,,,no,,measure,"Sex of the beneficiary, available only for the 65-or-older group","Sexo del beneficiario, disponible solo para el grupo de 65 años o más"
beneficiary_count,INT64,Número de beneficiários do OASDI em current-payment status,,no,,persons,no,Valores de condado são arredondados pela fonte. Nulo quando suprimido ou indisponível; veja beneficiary_count_note para o motivo. Nunca preenchido com zero.,persons_*,Number of OASDI beneficiaries in current-payment status,Número de beneficiarios del OASDI en current-payment status
beneficiary_count_note,STRING,Motivo pelo qual beneficiary_count está nulo,,yes,,,no,Nulo quando o valor está presente.,,Reason why beneficiary_count is null,Motivo por el cual beneficiary_count es nulo
benefit_amount_month,INT64,"Valor total dos benefícios do OASDI pagos no mês de dezembro, em milhares de dólares",,no,,thousand_dollars,no,"A fonte publica o valor em milhares de dólares ('in thousands of dollars' no cabeçalho da tabela anual), apesar de o metadado JSON registrar a unidade como 'dollars'. Nulo quando suprimido ou indisponível.",benefits_month_total_*,"Total OASDI benefits paid in the month of December, in thousands of dollars","Monto total de los beneficios del OASDI pagados en el mes de diciembre, en miles de dólares"
benefit_amount_month_note,STRING,Motivo pelo qual benefit_amount_month está nulo,,yes,,,no,Nulo quando o valor está presente.,,Reason why benefit_amount_month is null,Motivo por el cual benefit_amount_month es nulo
