name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
cycle,INT64,Two-year election cycle during which the contribution was recorded,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column. Cycles are even years; the 1980 cycle covers 1979-1980,cycle
transaction_id,STRING,"Unique identifier of the contribution record, assigned by DIME",,no,,,no,Primary key within a cycle,transaction.id
contributor_id,STRING,"Unique identifier of the contributor, assigned by DIME entity resolution",,no,,,no,Stable across election cycles and levels of government; joins to the contributor table,bonica.cid
recipient_id,STRING,"Unique identifier of the recipient candidate or committee, assigned by DIME",,no,,,no,"Stable across cycles, offices and levels of government; joins to the recipient table",bonica.rid
efec_transaction_id_original,STRING,Original transaction identifier from the FEC electronic filing,,no,,,no,Empty for state and local records,efec.transaction.id.orig
efec_committee_id_original,STRING,Original committee identifier from the FEC electronic filing,,no,,,no,Empty for state and local records,efec.comid.orig
back_reference_transaction_id,STRING,Identifier of an earlier record in the database that this record repeats,,no,,,no,Points at transaction_id; use it to drop duplicate entries,bk.ref.transaction.id
date,DATE,Date on which the contribution was transacted,,no,,,no,,date
amount,FLOAT64,Dollar amount of the contribution,,no,,USD,no,"Nominal dollars, not adjusted for inflation. Negative values occur on refunds and corrections",amount
transaction_type,STRING,FEC code for the type of transaction,,yes,,,no,"Non-FEC codes 15S, 15L, 15PD, PF and PFR are assigned by DIME for state and local records",transaction.type
election_type,STRING,Type of election the contribution was made for,,yes,,,no,,election.type
seat,STRING,Elected office sought by the recipient,,no,,,no,"Readable labels of the form level:office, for example federal:house or state:lower. Offices prefixed 'local:' are not standardized, so the value space is open-ended (139 distinct values observed)",seat
contributor_name,STRING,"Full name of the contributor, cleaned and standardized by DIME",,no,,,yes,Last name first; suffix and title removed,contributor.name
contributor_last_name,STRING,Last name of the contributor,,no,,,yes,Empty for committees and organizations,contributor.lname
contributor_first_name,STRING,First name of the contributor,,no,,,yes,Empty for committees and organizations,contributor.fname
contributor_middle_name,STRING,Middle name or initial of the contributor,,no,,,yes,,contributor.mname
contributor_suffix,STRING,Name suffix of the contributor,,no,,,yes,"For example Jr., Sr., III",contributor.suffix
contributor_title,STRING,Title of the contributor,,no,,,yes,"For example Mr., Mrs., Dr., Esq.",contributor.title
contributor_full_first_name,STRING,"First name, middle name, suffix and title of the contributor concatenated",,no,,,yes,,contributor.ffname
contributor_type,STRING,Whether the contributor is an individual or an organization,,yes,,,no,,contributor.type
contributor_gender,STRING,Gender of the contributor,,yes,,,yes,Imputed by DIME from first-name gender ratios reported by the U.S. Census and from gendered titles; not self-reported,contributor.gender
contributor_address,STRING,Street address reported by the contributor,,no,,,yes,,contributor.address
contributor_city,STRING,City reported by the contributor,,no,,,no,,contributor.city
contributor_state,STRING,Two-letter state abbreviation reported by the contributor,,no,,,no,"Includes territories and foreign codes, so it is not restricted to the 50 states plus DC and is not linked to the state directory",contributor.state
contributor_zipcode,STRING,ZIP code reported by the contributor,,no,,,no,Five or nine digits depending on the filing,contributor.zipcode
contributor_district,STRING,Congressional district the contributor's geocode falls in,,no,,,no,"Two-letter state abbreviation followed by the district number. District boundaries are those in force for the cycle, so the code is not comparable across redistricting cycles",contributor.district
census_tract_id,STRING,Census tract the contributor's geocode falls in,,no,,,no,"Eleven-digit GEOID. Tract vintage follows the decennial boundaries in force for the cycle, so it is not linked to a single-vintage census tract directory",censustract
latitude,FLOAT64,Latitude of the contributor's geocoded address,,no,,degree,yes,Geocoded with the Pelias geocoder; consistent per contributor_id across records with varying address completeness,latitude
longitude,FLOAT64,Longitude of the contributor's geocoded address,,no,,degree,yes,Geocoded with the Pelias geocoder,longitude
gis_confidence,FLOAT64,"Confidence in the accuracy of the geocoded coordinates, from 0 to 1",,no,,index,no,,gis.confidence
contributor_occupation,STRING,Occupation reported by the contributor,,no,,,no,Cleaned and standardized by DIME,contributor.occupation
contributor_employer,STRING,Employer reported by the contributor,,no,,,no,Cleaned and standardized by DIME,contributor.employer
occupation_standardized,STRING,Industry category the reported occupation was mapped to,,no,,,no,Assigned by DIME; populated for a minority of records,occ.standardized
is_corporation,STRING,Whether the contributing committee is a corporation or trade organization,,no,,,no,Applies to committees only; these donors are excluded from the CFscore estimation,is.corp
recipient_name,STRING,Name of the recipient candidate or committee,,no,,,no,,recipient.name
recipient_party,STRING,Party of the recipient,,yes,,,no,Match against the recipient table for more detailed party codings,recipient.party
recipient_type,STRING,Whether the recipient is a candidate or a committee,,yes,,,no,,recipient.type
recipient_state,STRING,Two-letter state abbreviation of the recipient,,no,,,no,Not linked to the state directory because it includes non-state codes,recipient.state
contributor_cfscore,FLOAT64,Common-space CFscore of the contributor,,no,,score_point,no,"Ideal point estimated from the contributor's giving; negative is liberal, positive is conservative. Repeated on every record of the same contributor",contributor.cfscore
candidate_cfscore,FLOAT64,Common-space CFscore of the recipient,,no,,score_point,no,"Ideal point estimated from the donations the recipient received; negative is liberal, positive is conservative",candidate.cfscore
excluded_from_scaling,STRING,Whether the record was excluded from the CFscore estimation,,yes,,,no,Stored as 0 or 1 in the source,excluded.from.scaling
efec_memo,STRING,Memo field from the FEC electronic filing,,no,,,no,,efec.memo
efec_memo2,STRING,Auxiliary memo field from the FEC electronic filing,,no,,,no,,efec.memo2
efec_organization_original,STRING,Original recipient name from the FEC electronic filing,,no,,,no,,efec.org.orig
efec_form_type,STRING,Form type of the FEC electronic filing the record came from,,no,,,no,,efec.form.type
