name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
cycle,INT64,Two-year election cycle the entry refers to,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column,cycle
recipient_id,STRING,"Unique identifier of the candidate or committee, assigned by DIME",,no,,,no,"Stable across cycles, offices and levels of government; joins to the contribution table",bonica.rid
contributor_id,STRING,Identifier of the same person in the contributor database,,no,,,no,Links a candidate to their own personal contributions. Partially populated: a missing value does not mean the candidate made no contributions,bonica.cid
election,STRING,Election cycle prefixed by the two-letter state code,,no,,,no,"Federal candidates take 'fd' as the state code, for example fd1980",election
icpsr_id,STRING,Adjusted ICPSR legislator identifier with the election cycle appended,,no,,,no,"Row identifier. Candidates who never served in Congress get identifiers derived from their FEC, NIMSP or state agency candidate identifier",ICPSR
icpsr2_id,STRING,Adjusted ICPSR legislator identifier without the cycle suffix,,no,,,no,Party switchers are assigned a new value after switching,ICPSR2
candidate_id,STRING,Candidate identifier assigned by the FEC or the state reporting agency,,no,,,no,,Cand.ID
fec_committee_id,STRING,Committee identifier assigned by the FEC or the state reporting agency,,no,,,no,,FEC.ID
nimsp_id,STRING,Candidate identifier assigned by CRP/NIMSP,,no,,,no,,NID
icpsr_id_before_switch,STRING,ICPSR identifier held before switching parties,,no,,,no,Populated for party switchers only,before.switch.ICPSR
icpsr_id_after_switch,STRING,ICPSR identifier held after switching parties,,no,,,no,Populated for party switchers only,after.switch.ICPSR
fec_year,INT64,"Year of the election the campaign targets, as listed by the FEC",,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Can be later than the cycle, as for senators fundraising during their first four years in office",fecyear
name,STRING,Name of the candidate or committee,,no,,,no,,name
last_name,STRING,Last name of the candidate,,no,,,no,,lname
first_name,STRING,First name of the candidate,,no,,,no,,fname
middle_name,STRING,Middle name of the candidate,,no,,,no,The source codebook mislabels this field as the first name,mname
full_first_name,STRING,"First name, middle name, suffix and title of the candidate concatenated",,no,,,no,,ffname
title,STRING,Title of the candidate,,no,,,no,"For example Mr., Mrs., Dr., Esq.",title
suffix,STRING,Name suffix of the candidate,,no,,,no,,suffix
