name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,"Ano fiscal (1º de outubro a 30 de setembro, designado pelo ano civil em que termina); o trimestre de transição de julho a setembro de 1976 é atribuído a 1976","Fiscal year (October 1 to September 30, designated by the calendar year in which it ends); the July-September 1976 transition quarter is assigned to 1976","Año fiscal (1 de octubre a 30 de septiembre, designado por el año civil en que termina); el trimestre de transición de julio a septiembre de 1976 se asigna a 1976",,no,br_bd_diretorios_data_tempo.ano:ano,year,no,,Fiscal Year
fiscal_period,STRING,"Período fiscal conforme publicado: o ano fiscal, ou 1976TQ para o trimestre de transição de julho a setembro de 1976","Fiscal period as published: the fiscal year, or 1976TQ for the July-September 1976 transition quarter","Período fiscal según publicado: el año fiscal, o 1976TQ para el trimestre de transición de julio a septiembre de 1976",,no,,,no,,Fiscal Year
transaction_date,DATE,"Data em que o registro financeiro foi transacionado no sistema contábil da agência, consolidada por trimestre para algumas agências; não informada antes do ano fiscal de 2002","Date the financial record was transacted in the agency's accounting system, consolidated by quarter for some agencies; not reported before FY2002","Fecha en que el registro financiero fue transado en el sistema contable de la agencia, consolidada por trimestre para algunas agencias; no informada antes del año fiscal 2002",,no,,,no,Source format DDMONYYYY (e.g. 01SEP2024).,Transaction Date
transaction_type_id,STRING,"Código do tipo de transação: 2 = obrigações (empenhos), 3 = desembolsos, 1 = apropriado e planejado, 18 = requisição orçamentária do Presidente","Transaction type code: 2 = obligations, 3 = disbursements, 1 = appropriated and planned, 18 = President's budget request","Código del tipo de transacción: 2 = obligaciones, 3 = desembolsos, 1 = asignado y planificado, 18 = solicitud presupuestaria del Presidente",,yes,,,no,,Transaction Type ID
country_iso3_code,STRING,Código ISO 3166-1 alfa-3 do país receptor; vazio para receptores regionais e Estados extintos,ISO 3166-1 alpha-3 code of the recipient country; empty for regional recipients and former states,Código ISO 3166-1 alfa-3 del país receptor; vacío para receptores regionales y Estados extintos,,no,br_bd_diretorios_mundo.pais:sigla_iso3,,no,"Derived from country_code: kept only when the recipient has a 3-digit ISO numeric country_id and the code exists in the world country directory (drops SCG, YUF and SDF, former states).",Country Code
country_id,STRING,"Identificador do receptor no ForeignAssistance.gov: código numérico ISO 3166-1 para países, ou código interno de 4 dígitos para regiões e entidades sem código ISO","ForeignAssistance.gov recipient identifier: the ISO 3166-1 numeric code for countries, or a 4-digit internal code for regions and entities without an ISO code","Identificador del receptor en ForeignAssistance.gov: código numérico ISO 3166-1 para países, o código interno de 4 dígitos para regiones y entidades sin código ISO",,yes,,,no,,Country ID
country_code,STRING,"Código do receptor conforme publicado: código ISO alfa-3 para países, ou código interno de 3 letras para regiões (ex.: WLD = Mundo, SSN = Região da África Subsaariana)","Recipient code as published: the ISO alpha-3 code for countries, or a 3-letter internal code for regions (e.g. WLD = World, SSN = Sub-Saharan Africa Region)","Código del receptor según publicado: código ISO alfa-3 para países, o código interno de 3 letras para regiones (p. ej. WLD = Mundo, SSN = Región de África Subsahariana)",,no,,,no,Labels are in the dictionary under country_id.,Country Code
region_id,STRING,Código da região do Departamento de Estado que agrupa o receptor,Code of the Department of State region that groups the recipient,Código de la región del Departamento de Estado que agrupa al receptor,,yes,,,no,,Region ID
income_group_id,STRING,Código do grupo de renda do Banco Mundial do país receptor,World Bank income group code of the recipient country,Código del grupo de ingreso del Banco Mundial del país receptor,,yes,,,no,,Income Group ID
managing_agency_id,STRING,"Código da agência do governo dos EUA que empenha e desembolsa a assistência, diretamente ou por meio de um parceiro implementador","Code of the U.S. government agency that obligates and disburses the assistance, directly or through an implementing partner","Código de la agencia del gobierno de EE. UU. que obliga y desembolsa la asistencia, directamente o a través de un socio implementador",,yes,,,no,,Managing Agency ID
