name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Calendar year of the record date,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column derived from record_date,record_date
month,INT64,Calendar month of the record date,,no,br_bd_diretorios_data_tempo.mes:mes,month,no,Derived from record_date,record_date
record_date,DATE,Last day of the month the statement reports,,no,,,no,MTS is a monthly report,record_date
fiscal_year,INT64,"U.S. federal fiscal year of the record date, running October through September",,no,,year,no,,record_fiscal_year
src_line_nbr,STRING,"Source line number within the MTS table, stable across releases for a given line",,no,,,no,"Part of the natural key (record_date, src_line_nbr)",src_line_nbr
parent_id,STRING,"Classification id of the parent row in the statement hierarchy, empty for top-level rows",,no,,,no,Pairs with classification_id to reconstruct the tree within a release,parent_id
classification_id,STRING,"Classification id of the row within a single release, not stable across releases",,no,,,no,Regenerated each release; use src_line_nbr as the stable key,classification_id
classification_desc,STRING,"Name of the receipt source, spending agency, budget function, or financing category the row reports",,no,,,no,Human-readable label,classification_desc
sequence_level_nbr,STRING,"Depth of the row in the statement hierarchy, from 1 at the top to deeper components",,no,,,no,Distinguishes totals from their components,sequence_level_nbr
current_month_net_transactions,FLOAT64,Net financing transactions in the current month,,no,,USD,no,,current_month_net_txn_amt
current_fytd_net_transactions,FLOAT64,Net financing transactions in the current fiscal year to date,,no,,USD,no,,fytd_net_txn_amt
prior_fytd_net_transactions,FLOAT64,Net financing transactions in the prior fiscal year to date,,no,,USD,no,,prior_fytd_net_txn_amt
beginning_year_balance,FLOAT64,Account balance at the beginning of the fiscal year,,no,,USD,no,,begin_year_acct_bal_amt
beginning_month_balance,FLOAT64,Account balance at the beginning of the month,,no,,USD,no,,begin_month_acct_bal_amt
closing_month_balance,FLOAT64,Account balance at the close of the month,,no,,USD,no,,close_month_acct_bal_amt
