name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
fiscal_year,INT64,"Ano fiscal federal norte-americano da data da ação, iniciado em 1º de outubro do ano civil anterior","United States federal fiscal year of the action date, beginning on October 1 of the previous calendar year","Año fiscal federal estadounidense de la fecha de la acción, iniciado el 1 de octubre del año civil anterior",,no,,year,no,"Coluna de partição. Renomeada de action_date_fiscal_year. O ano fiscal federal norte-americano começa em 1º de outubro do ano civil anterior, portanto não coincide com o ano civil e não é ligada ao diretório de tempo",action_date_fiscal_year
contract_transaction_unique_key,STRING,"Chave única da transação de contrato, gerada pelo USAspending","Unique key of the contract transaction, generated by USAspending","Clave única de la transacción de contrato, generada por USAspending",,no,,,no,,contract_transaction_unique_key
contract_award_unique_key,STRING,Chave única do contrato ao qual a transação pertence,Unique key of the contract award the transaction belongs to,Clave única del contrato al que pertenece la transacción,,no,,,no,,contract_award_unique_key
award_id_piid,STRING,Identificador do instrumento de compra (PIID) atribuído pela agência,Procurement instrument identifier (PIID) assigned by the agency,Identificador del instrumento de compra (PIID) asignado por la agencia,,no,,,no,,award_id_piid
modification_number,STRING,Número do aditivo que identifica esta modificação do contrato,Number of the modification that identifies this change to the award,Número de la modificación que identifica este cambio del contrato,,no,,,no,,modification_number
transaction_number,STRING,Número que distingue transações registradas com o mesmo PIID e aditivo,Number distinguishing transactions filed with the same PIID and modification,Número que distingue transacciones registradas con el mismo PIID y modificación,,no,,,no,,transaction_number
parent_award_agency_id,STRING,Código da agência que firmou o contrato-mãe (IDV),Code of the agency that awarded the parent award (IDV),Código de la agencia que firmó el contrato matriz (IDV),,no,,,no,,parent_award_agency_id
parent_award_agency_name,STRING,Nome da agência que firmou o contrato-mãe (IDV),Name of the agency that awarded the parent award (IDV),Nombre de la agencia que firmó el contrato matriz (IDV),,no,,,no,,parent_award_agency_name
parent_award_id_piid,STRING,Identificador (PIID) do contrato-mãe ao qual a ação se vincula,Identifier (PIID) of the parent award the action belongs to,Identificador (PIID) del contrato matriz al que se vincula la acción,,no,,,no,,parent_award_id_piid
parent_award_modification_number,STRING,Número do aditivo do contrato-mãe,Modification number of the parent award,Número de la modificación del contrato matriz,,no,,,no,,parent_award_modification_number
federal_action_obligation,FLOAT64,Valor empenhado ou desempenhado pelo governo federal nesta transação,Amount obligated or de-obligated by the federal government in this transaction,Monto comprometido o descomprometido por el gobierno federal en esta transacción,,no,,USD,no,,federal_action_obligation
total_dollars_obligated,FLOAT64,"Valor total empenhado no contrato, somadas todas as transações",Total amount obligated on the award across all transactions,"Monto total comprometido en el contrato, sumadas todas las transacciones",,no,,USD,no,,total_dollars_obligated
total_outlayed_amount_for_overall_award,FLOAT64,Valor total desembolsado no auxílio ou contrato até a data,Total amount outlayed on the award to date,Monto total desembolsado en la ayuda o contrato hasta la fecha,,no,,USD,no,,total_outlayed_amount_for_overall_award
base_and_exercised_options_value,FLOAT64,Valor do contrato considerando a base e as opções já exercidas nesta transação,Award value covering the base and the options exercised in this transaction,Valor del contrato considerando la base y las opciones ya ejercidas en esta transacción,,no,,USD,no,,base_and_exercised_options_value
current_total_value_of_award,FLOAT64,"Valor total corrente do contrato, incluindo as opções já exercidas","Current total value of the award, including exercised options","Valor total actual del contrato, incluidas las opciones ya ejercidas",,no,,USD,no,,current_total_value_of_award
base_and_all_options_value,FLOAT64,Valor do contrato considerando a base e todas as opções previstas nesta transação,Award value covering the base and all options contemplated in this transaction,Valor del contrato considerando la base y todas las opciones previstas en esta transacción,,no,,USD,no,,base_and_all_options_value
potential_total_value_of_award,FLOAT64,Valor total potencial do contrato caso todas as opções sejam exercidas,Potential total value of the award if all options are exercised,Valor total potencial del contrato si se ejercen todas las opciones,,no,,USD,no,,potential_total_value_of_award
disaster_emergency_fund_codes_for_overall_award,STRING,"Códigos de fundos de emergência e desastre que financiam o auxílio ou contrato, separados por ponto e vírgula","Disaster and emergency fund codes financing the award, semicolon separated","Códigos de fondos de emergencia y desastre que financian la ayuda o contrato, separados por punto y coma",,yes,,,no,,disaster_emergency_fund_codes_for_overall_award
outlayed_amount_from_covid19_supplementals_for_overall_award,FLOAT64,Valor desembolsado no auxílio ou contrato com recursos suplementares de resposta à COVID-19,Amount outlayed on the award from COVID-19 supplemental appropriations,Monto desembolsado en la ayuda o contrato con recursos suplementarios de respuesta a la COVID-19,,no,,USD,no,"Renomeada da coluna de origem, que contém hífen",outlayed_amount_from_COVID-19_supplementals_for_overall_award
obligated_amount_from_covid19_supplementals_for_overall_award,FLOAT64,Valor empenhado no auxílio ou contrato com recursos suplementares de resposta à COVID-19,Amount obligated on the award from COVID-19 supplemental appropriations,Monto comprometido en la ayuda o contrato con recursos suplementarios de respuesta a la COVID-19,,no,,USD,no,"Renomeada da coluna de origem, que contém hífen",obligated_amount_from_COVID-19_supplementals_for_overall_award
outlayed_amount_from_IIJA_supplemental_for_overall_award,FLOAT64,Valor desembolsado no auxílio ou contrato com recursos suplementares da lei de infraestrutura (IIJA),Amount outlayed on the award from the Infrastructure Investment and Jobs Act (IIJA) supplemental,Monto desembolsado en la ayuda o contrato con recursos suplementarios de la ley de infraestructura (IIJA),,no,,USD,no,,outlayed_amount_from_IIJA_supplemental_for_overall_award
