name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano em que o compromisso financeiro oficial foi firmado (ano de compromisso),Year the official financial commitment was made (commitment year),Año en que se realizó el compromiso financiero oficial (año de compromiso),2000(1)2021,no,br_bd_diretorios_data_tempo.ano:ano,,no,Partition column; commitment year,
country_iso3_code,STRING,Código ISO 3166-1 alfa-3 do país receptor,Recipient country ISO 3166-1 alpha-3 code,Código ISO 3166-1 alfa-3 del país receptor,,no,br_bd_diretorios_mundo.pais:sigla_iso3,,no,Blank for regional/multi-country records,
recipient_name,STRING,"País receptor, ou região quando envolve múltiplos países receptores","Recipient country, or region when multiple recipient countries are involved","País receptor, o región cuando participan varios países receptores",,no,,,no,Regional labels used when multiple countries,
recipient_region,STRING,Região geográfica do país receptor,Geographical region of the recipient country,Región geográfica del país receptor,,no,,,no,,
financier_country,STRING,País de origem da transferência financeira ou em espécie oficial,Country from which the official financial or in-kind transfer originated,País del que se originó la transferencia financiera o en especie oficial,,no,,,no,,
id_record,STRING,Número de identificação único atribuído pela AidData a cada registro de projeto/atividade,Unique identification number AidData assigns to each project/activity record,Número de identificación único que AidData asigna a cada registro de proyecto/actividad,,no,,,no,,
id_parent,STRING,Identificador do pacote que agrupa registros de projeto/atividade relacionados,Identifier of the linked package grouping related project/activity records,Identificador del paquete que agrupa registros de proyecto/actividad relacionados,,no,,,no,Links related records into a common package,
recommended_for_aggregates,STRING,Se a AidData recomenda incluir o registro em análises agregadas (Sim/Não),Whether AidData recommends including the record in aggregate analyses (Yes/No),Si AidData recomienda incluir el registro en análisis agregados (Sí/No),,no,,,no,,
umbrella,STRING,"Se o registro é um acordo guarda-chuva, excluído dos agregados (Sim/Não)","Whether the record is an umbrella agreement, excluded from aggregates (Yes/No)","Si el registro es un acuerdo paraguas, excluido de los agregados (Sí/No)",,no,,,no,,
implementation_start_year,INT64,Ano em que o projeto/atividade iniciou a implementação,Year the project/activity began implementation,Año en que el proyecto/actividad comenzó su implementación,,no,,,no,,
completion_year,INT64,Ano em que o projeto/atividade foi concluído,Year the project/activity was completed,Año en que el proyecto/actividad se completó,,no,,,no,,
title,STRING,Nome ou descrição breve do projeto/atividade,Short name or description of the project/activity,Nombre o descripción breve del proyecto/actividad,,no,,,no,,
description,STRING,Resumo narrativo detalhado do projeto/atividade e de seu financiamento,Detailed narrative summary of the project/activity and its financing,Resumen narrativo detallado del proyecto/actividad y su financiamiento,,no,,,no,,
staff_comments,STRING,"Comentários da equipe da AidData sobre premissas, lógica e evidências de codificação","AidData staff comments on coding assumptions, logic, and evidence","Comentarios del personal de AidData sobre supuestos, lógica y evidencia de codificación",,no,,,no,,
status,STRING,Situação mais recente do projeto/atividade,Latest status of the project/activity,Estado más reciente del proyecto/actividad,,no,,,no,"Six categories: Pipeline: Pledge/Commitment, Implementation, Completion, Suspended, Cancelled",
intent,STRING,Propósito principal do projeto/atividade,Primary purpose of the project/activity,Propósito principal del proyecto/actividad,,no,,,no,"Development, Commercial, Representational, Mixed, or Military",
flow_type,STRING,Tipo de transferência financeira ou em espécie que apoia o projeto/atividade,Type of financial or in-kind transfer supporting the project/activity,Tipo de transferencia financiera o en especie que apoya el proyecto/actividad,,no,,,no,,
flow_type_simplified,STRING,Tipo de fluxo simplificado agrupado em quatro categorias,Simplified flow type grouping into four categories,Tipo de flujo simplificado agrupado en cuatro categorías,,no,,,no,"Grant, Loan, Debt Rescheduling, or Vague",
oecd_oda_concessionality_threshold,FLOAT64,Limiar de concessionalidade da OCDE aplicado ao empréstimo para classificação como AOD,OECD concessionality threshold applied to the loan for ODA classification,Umbral de concesionalidad de la OCDE aplicado al préstamo para clasificación como AOD,,no,,proportion,no,Grant-element threshold applied to classify the loan as ODA,
flow_class,STRING,"Classe do fluxo OCDE-CAD: tipo AOD, tipo OOF ou Vago (Finanças Oficiais)","OECD-DAC flow class: ODA-like, OOF-like, or Vague (Official Finance)","Clase de flujo OCDE-CAD: tipo AOD, tipo OOF o Vago (Financiamiento Oficial)",,no,,,no,"ODA-like, OOF-like, or Vague (Official Finance)",
sector_code,STRING,Código setorial de 3 dígitos da OCDE do setor principal do projeto/atividade,OECD 3-digit sector code of the project/activity's primary sector,Código sectorial de 3 dígitos de la OCDE del sector principal del proyecto/actividad,,no,,,no,OECD 3-digit sector code; label in sector_name,
sector_name,STRING,Nome setorial da OCDE do setor principal do projeto/atividade,OECD sector name of the project/activity's primary sector,Nombre sectorial de la OCDE del sector principal del proyecto/actividad,,no,,,no,,
infrastructure,STRING,Marcador definido como 'Sim' quando o projeto envolve infraestrutura física,Marker set to 'Yes' when the project involves physical infrastructure,Marcador definido como 'Sí' cuando el proyecto implica infraestructura física,,no,,,no,"'Yes' when applicable, otherwise blank",
covid,STRING,Marcador definido como 'Sim' quando o projeto integra a resposta da China à COVID-19,Marker set to 'Yes' when the project is part of China's COVID-19 response,Marcador definido como 'Sí' cuando el proyecto forma parte de la respuesta de China a la COVID-19,,no,,,no,"'Yes' when applicable, otherwise blank",
funding_agencies,STRING,Nome da(s) agência(s) que emitiu(ram) o compromisso ou promessa; separadas por barra vertical quando múltiplas,Name of the agency(ies) that issued the commitment or pledge; pipe-delimited when multiple,Nombre de la(s) agencia(s) que emitió(eron) el compromiso o promesa; separadas por barra vertical cuando son varias,,no,,,no,,
funding_agencies_type,STRING,Tipo e país de origem da(s) agência(s) financiadora(s); separados por barra vertical quando múltiplos,Type and country of origin of the funding agency(ies); pipe-delimited when multiple,Tipo y país de origen de la(s) agencia(s) financiadora(s); separados por barra vertical cuando son varios,,no,,,no,,
cofinanced,STRING,Se uma agência distinta cofinanciou o projeto/atividade (Sim/Não),Whether a separate agency co-financed the project/activity (Yes/No),Si una agencia distinta cofinanció el proyecto/actividad (Sí/No),,no,,,no,,
cofinancing_agencies,STRING,Nome da(s) agência(s) cofinanciadora(s); separadas por barra vertical quando múltiplas,Name of the co-financing agency(ies); pipe-delimited when multiple,Nombre de la(s) agencia(s) cofinanciadora(s); separadas por barra vertical cuando son varias,,no,,,no,,
cofinancing_agencies_type,STRING,Tipo e país de origem da(s) agência(s) cofinanciadora(s); separados por barra vertical quando múltiplos,Type and country of origin of the co-financing agency(ies); pipe-delimited when multiple,Tipo y país de origen de la(s) agencia(s) cofinanciadora(s); separados por barra vertical cuando son varios,,no,,,no,,
direct_receiving_agencies,STRING,Nome da(s) agência(s) receptora(s) direta(s); separadas por barra vertical quando múltiplas,Name of the direct receiving agency(ies); pipe-delimited when multiple,Nombre de la(s) agencia(s) receptora(s) directa(s); separadas por barra vertical cuando son varias,,no,,,no,Borrower/repayer for loans,
direct_receiving_agencies_type,STRING,Tipo e país de origem da(s) agência(s) receptora(s) direta(s); separados por barra vertical quando múltiplos,Type and country of origin of the direct receiving agency(ies); pipe-delimited when multiple,Tipo y país de origen de la(s) agencia(s) receptora(s) directa(s); separados por barra vertical cuando son varios,,no,,,no,,
indirect_receiving_agencies,STRING,Nome da(s) agência(s) receptora(s) indireta(s) em arranjos de repasse; separadas por barra vertical quando múltiplas,Name of the indirect receiving agency(ies) in on-lending arrangements; pipe-delimited when multiple,Nombre de la(s) agencia(s) receptora(s) indirecta(s) en arreglos de represtamo; separadas por barra vertical cuando son varias,,no,,,no,On-lending recipients,
indirect_receiving_agencies_type,STRING,Tipo e país de origem da(s) agência(s) receptora(s) indireta(s); separados por barra vertical quando múltiplos,Type and country of origin of the indirect receiving agency(ies); pipe-delimited when multiple,Tipo y país de origen de la(s) agencia(s) receptora(s) indirecta(s); separados por barra vertical cuando son varios,,no,,,no,,
on_lending,STRING,Marcador definido como 'Sim' quando o empréstimo envolve arranjo de repasse,Marker set to 'Yes' when the loan involves an on-lending arrangement,Marcador definido como 'Sí' cuando el préstamo implica un arreglo de represtamo,,no,,,no,"'Yes' when applicable, otherwise blank",
implementing_agencies,STRING,Nome da(s) agência(s) executora(s); separadas por barra vertical quando múltiplas,Name of the implementing agency(ies); pipe-delimited when multiple,Nombre de la(s) agencia(s) ejecutora(s); separadas por barra vertical cuando son varias,,no,,,no,,
implementing_agencies_type,STRING,Tipo e país de origem da(s) agência(s) executora(s); separados por barra vertical quando múltiplos,Type and country of origin of the implementing agency(ies); pipe-delimited when multiple,Tipo y país de origen de la(s) agencia(s) ejecutora(s); separados por barra vertical cuando son varios,,no,,,no,,
guarantee_provided,STRING,Se foi emitida garantia de pagamento do empréstimo por terceiro (Sim/Não),Whether a third-party loan repayment guarantee was issued (Yes/No),Si se emitió una garantía de pago del préstamo por un tercero (Sí/No),,no,,,no,,
guarantor,STRING,Nome da(s) agência(s) garantidora(s); separadas por barra vertical quando múltiplas,Name of the guarantor agency(ies); pipe-delimited when multiple,Nombre de la(s) agencia(s) garante(s); separadas por barra vertical cuando son varias,,no,,,no,,
guarantor_agency_type,STRING,Tipo e país de origem da(s) agência(s) garantidora(s); separados por barra vertical quando múltiplos,Type and country of origin of the guarantor agency(ies); pipe-delimited when multiple,Tipo y país de origen de la(s) agencia(s) garante(s); separados por barra vertical cuando son varios,,no,,,no,,
insurance_provided,STRING,Se um terceiro forneceu seguro de crédito sobre o empréstimo (Sim/Não),Whether a third party provided credit insurance on the loan (Yes/No),Si un tercero proporcionó un seguro de crédito sobre el préstamo (Sí/No),,no,,,no,,
insurance_provider,STRING,Nome da(s) provedor(es) de seguro de crédito; separadas por barra vertical quando múltiplas,Name of the credit insurance provider(s); pipe-delimited when multiple,Nombre de la(s) proveedor(es) de seguro de crédito; separadas por barra vertical cuando son varias,,no,,,no,,
insurance_provider_agency_type,STRING,Tipo e país de origem da(s) provedor(es) de seguro de crédito; separados por barra vertical quando múltiplos,Type and country of origin of the credit insurance provider(s); pipe-delimited when multiple,Tipo y país de origen de la(s) proveedor(es) de seguro de crédito; separados por barra vertical cuando son varios,,no,,,no,,
collateralized,STRING,Marcador definido como 'Sim' quando o empréstimo é garantido por colateral ou securitizado,Marker set to 'Yes' when the loan is collateralized or securitized,Marcador definido como 'Sí' cuando el préstamo está garantizado con colateral o securitizado,,no,,,no,"'Yes' when applicable, otherwise blank",
collateral_provider,STRING,Nome da(s) provedor(es) de colateral; separadas por barra vertical quando múltiplas,Name of the collateral provider(s); pipe-delimited when multiple,Nombre de la(s) proveedor(es) de colateral; separadas por barra vertical cuando son varias,,no,,,no,,
collateral_provider_agency_type,STRING,Tipo e país de origem da(s) provedor(es) de colateral; separados por barra vertical quando múltiplos,Type and country of origin of the collateral provider(s); pipe-delimited when multiple,Tipo y país de origen de la(s) proveedor(es) de colateral; separados por barra vertical cuando son varios,,no,,,no,,
security_agent,STRING,Nome da(s) agente(s) de garantia/colateral; separadas por barra vertical quando múltiplas,Name of the security/collateral agent(s); pipe-delimited when multiple,Nombre de la(s) agente(s) de garantía/colateral; separadas por barra vertical cuando son varias,,no,,,no,,
security_agent_type,STRING,Tipo e país de origem da(s) agente(s) de garantia/colateral; separados por barra vertical quando múltiplos,Type and country of origin of the security/collateral agent(s); pipe-delimited when multiple,Tipo y país de origen de la(s) agente(s) de garantía/colateral; separados por barra vertical cuando son varios,,no,,,no,,
collateral,STRING,Descrição do colateral ou garantia que respalda o empréstimo,Description of the collateral or security backing the loan,Descripción del colateral o garantía que respalda el préstamo,,no,,,no,,
amount_original_currency,FLOAT64,Valor da transação na moeda original,Transaction amount in the original currency,Monto de la transacción en la moneda original,,no,,,no,Denominated in the currency given by original_currency,
original_currency,STRING,Moeda em que o valor original está denominado,Currency in which the original amount is denominated,Moneda en que está denominado el monto original,,no,,,no,ISO currency code,
amount_estimated,STRING,Marcador definido como 'Sim' quando o valor da transação é uma estimativa,Marker set to 'Yes' when the transaction amount is an estimate,Marcador definido como 'Sí' cuando el monto de la transacción es una estimación,,no,,,no,"'Yes' when applicable, otherwise blank",
amount_constant_usd_2021,FLOAT64,Valor da transação em dólares dos EUA constantes de 2021,Transaction amount in constant 2021 US dollars,Monto de la transacción en dólares estadounidenses constantes de 2021,,no,,USD,no,Constant 2021 US dollars,
amount_nominal_usd,FLOAT64,Valor da transação em dólares dos EUA nominais,Transaction amount in nominal US dollars,Monto de la transacción en dólares estadounidenses nominales,,no,,USD,no,Nominal US dollars,
adjusted_amount_original_currency,FLOAT64,Valor ajustado da transação na moeda original,Adjusted transaction amount in the original currency,Monto ajustado de la transacción en la moneda original,,no,,,no,Adjusted for double-counting; in original_currency,
adjusted_amount_constant_usd_2021,FLOAT64,Valor ajustado da transação em dólares dos EUA constantes de 2021,Adjusted transaction amount in constant 2021 US dollars,Monto ajustado de la transacción en dólares estadounidenses constantes de 2021,,no,,USD,no,Adjusted for double-counting,
adjusted_amount_nominal_usd,FLOAT64,Valor ajustado da transação em dólares dos EUA nominais,Adjusted transaction amount in nominal US dollars,Monto ajustado de la transacción en dólares estadounidenses nominales,,no,,USD,no,Adjusted for double-counting,
financial_distress,STRING,Marcador definido como 'Sim' quando o empréstimo apresenta sinais de estresse financeiro,Marker set to 'Yes' when the loan shows signs of financial distress,Marcador definido como 'Sí' cuando el préstamo muestra señales de estrés financiero,,no,,,no,"'Yes' when applicable, otherwise blank",
commitment_date,DATE,Data em que o compromisso financeiro oficial foi firmado,Date the official financial commitment was made,Fecha en que se realizó el compromiso financiero oficial,,no,,,no,,
commitment_date_estimated,STRING,Se a data de compromisso é uma estimativa (Sim/Não),Whether the commitment date is an estimate (Yes/No),Si la fecha de compromiso es una estimación (Sí/No),,no,,,no,,
