name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,"Ano da data de referência da linha, derivado pela Data Basis para particionar a tabela","Year of the row's reference date, derived by Data Basis to partition the table","Año de la fecha de referencia de la fila, derivado por Data Basis para particionar la tabla",,no,,year,no,Coluna de particionamento. Não existe na fonte: é extraída da coluna de data indicada na descrição da tabela,Partition column. Absent from the source: it is extracted from the date column named in the table description,Columna de particionamiento. No existe en la fuente: se extrae de la columna de fecha indicada en la descripción de la tabla,
registry_dataset_id,STRING,Identificador do conjunto de dados no Registro IATI de onde a linha veio,Identifier of the dataset in the IATI Registry the row came from,Identificador del conjunto de datos en el Registro IATI del que proviene la fila,,no,,,no,Esta tabela não traz a coluna dataset na fonte; ela é obtida pela Data Basis unindo transaction_id à tabela transaction,The source table carries no dataset column; Data Basis obtains it by joining transaction_id to the transaction table,La tabla de origen no trae la columna dataset; Data Basis la obtiene uniendo transaction_id a la tabla transaction,transaction.dataset
publisher_id,STRING,Identificador da organização publicadora no Registro IATI,Identifier of the publishing organisation in the IATI Registry,Identificador de la organización publicadora en el Registro IATI,,no,,,no,"Resolve para https://www.iatiregistry.org/publisher/<valor>. É quem registrou o arquivo, que nem sempre é a organização que reporta a atividade (reporting_org_id)","Resolves to https://www.iatiregistry.org/publisher/<value>. This is who registered the file, which is not always the organisation reporting the activity (reporting_org_id)","Resuelve a https://www.iatiregistry.org/publisher/<valor>. Es quien registró el archivo, que no siempre es la organización que reporta la actividad (reporting_org_id)",prefix
transaction_id,STRING,Identificador da transação que esta linha decompõe,Identifier of the transaction this row breaks down,Identificador de la transacción que esta fila descompone,,no,,,no,,,,_link_transaction
activity_id,STRING,Identificador da atividade a que a linha pertence,Identifier of the activity the row belongs to,Identificador de la actividad a la que pertenece la fila,,no,,,no,Chave sintética atribuída pelo IATI Tables (_link). Não é estável entre execuções: use iati_identifier para acompanhar uma atividade ao longo do tempo,Synthetic key assigned by IATI Tables (_link). It is not stable across runs: use iati_identifier to follow an activity over time,Clave sintética asignada por IATI Tables (_link). No es estable entre ejecuciones: use iati_identifier para seguir una actividad a lo largo del tiempo,_link_activity
iati_identifier,STRING,"Identificador global e único da atividade, atribuído pela organização que a reporta","Globally unique identifier of the activity, assigned by the organisation reporting it","Identificador global y único de la actividad, asignado por la organización que la reporta",,no,,,no,"Chave estável entre execuções, ao contrário de activity_id","Stable across runs, unlike activity_id","Clave estable entre ejecuciones, a diferencia de activity_id",iatiidentifier
reporting_org_id,STRING,Identificador IATI da organização que reporta a atividade,IATI identifier of the organisation reporting the activity,Identificador IATI de la organización que reporta la actividad,,no,,,no,,,,reportingorg_ref
licence_id,STRING,Licença sob a qual a organização publicadora liberou o conjunto de dados de origem,Licence under which the publishing organisation released the source dataset,Licencia bajo la cual la organización publicadora liberó el conjunto de datos de origen,,no,,,no,"Não existe no IATI Tables: é unido pela Data Basis a partir do índice do Bulk Data Service (short_name). Os dados IATI são licenciados por publicador, não por corpus; os 16 conjuntos não comerciais (cc-nc, other-nc) foram removidos. Vazio ou 'notspecified' significa que o publicador não declarou licença","Absent from IATI Tables: joined by Data Basis from the Bulk Data Service index (short_name). IATI data is licensed per publisher, not per corpus; the 16 non-commercial datasets (cc-nc, other-nc) were dropped. Blank or 'notspecified' means the publisher declared no licence","No existe en IATI Tables: es unido por Data Basis a partir del índice del Bulk Data Service (short_name). Los datos IATI se licencian por publicador, no por corpus; los 16 conjuntos no comerciales (cc-nc, other-nc) fueron eliminados. Vacío o 'notspecified' significa que el publicador no declaró licencia",
transaction_type_code,STRING,Código do tipo de transação,Code of the transaction type,Código del tipo de transacción,,no,,,no,Valor da lista de códigos TransactionType do padrão IATI,Value from the IATI standard's TransactionType codelist,Valor de la lista de códigos TransactionType del estándar IATI,transactiontype_code
transaction_type_name,STRING,Nome do tipo de transação,Name of the transaction type,Nombre del tipo de transacción,,no,,,no,Rótulo resolvido pelo IATI Tables a partir do código irmão,Label resolved by IATI Tables from the sibling code,Etiqueta resuelta por IATI Tables a partir del código hermano,transactiontype_codename
transaction_date,DATE,Data em que a transação ocorreu,Date the transaction took place,Fecha en que ocurrió la transacción,,no,,,no,Origem da coluna de particionamento year,Source of the year partition column,Origen de la columna de particionamiento year,transactiondate_isodate
sector_code,STRING,Código do setor a que esta parcela foi atribuída,Code of the sector this share was attributed to,Código del sector al que se atribuyó esta parte,,no,,,no,Valor da lista de códigos Sector do padrão IATI,Value from the IATI standard's Sector codelist,Valor de la lista de códigos Sector del estándar IATI,sector_code
sector_name,STRING,Nome do setor a que esta parcela foi atribuída,Name of the sector this share was attributed to,Nombre del sector al que se atribuyó esta parte,,no,,,no,Rótulo resolvido pelo IATI Tables a partir do código irmão,Label resolved by IATI Tables from the sibling code,Etiqueta resuelta por IATI Tables a partir del código hermano,sector_codename
recipient_country_code,STRING,Código do país a que esta parcela foi atribuída,Code of the country this share was attributed to,Código del país al que se atribuyó esta parte,,no,,,no,Valor da lista de códigos Country do padrão IATI,Value from the IATI standard's Country codelist,Valor de la lista de códigos Country del estándar IATI,recipientcountry_code
recipient_country_name,STRING,Nome do país a que esta parcela foi atribuída,Name of the country this share was attributed to,Nombre del país al que se atribuyó esta parte,,no,,,no,Rótulo resolvido pelo IATI Tables a partir do código irmão,Label resolved by IATI Tables from the sibling code,Etiqueta resuelta por IATI Tables a partir del código hermano,recipientcountry_codename
recipient_region_code,STRING,Código da região a que esta parcela foi atribuída,Code of the region this share was attributed to,Código de la región a la que se atribuyó esta parte,,no,,,no,Valor da lista de códigos Region do padrão IATI,Value from the IATI standard's Region codelist,Valor de la lista de códigos Region del estándar IATI,recipientregion_code
recipient_region_name,STRING,Nome da região a que esta parcela foi atribuída,Name of the region this share was attributed to,Nombre de la región a la que se atribuyó esta parte,,no,,,no,Rótulo resolvido pelo IATI Tables a partir do código irmão,Label resolved by IATI Tables from the sibling code,Etiqueta resuelta por IATI Tables a partir del código hermano,recipientregion_codename
value,FLOAT64,"Valor monetário da transação, na moeda declarada em currency_code","Monetary value of the transaction, in the currency declared in currency_code","Valor monetario de la transacción, en la moneda declarada en currency_code",,no,,currency,no,"Quando currency_code é nulo, vale a moeda padrão da atividade (activity.default_currency_code)","When currency_code is null, the activity's default currency applies (activity.default_currency_code)","Cuando currency_code es nulo, se aplica la moneda por defecto de la actividad (activity.default_currency_code)",value
currency_code,STRING,Código ISO 4217 da moeda do valor,ISO 4217 code of the value's currency,Código ISO 4217 de la moneda del valor,,no,,,no,,,,value_currency
value_date,DATE,"Data à qual o valor se refere, usada para a conversão cambial","Date the value refers to, used for the currency conversion","Fecha a la que se refiere el valor, usada para la conversión cambiaria",,no,,,no,,,,value_valuedate
value_usd,FLOAT64,Valor convertido para dólares dos Estados Unidos,Value converted to United States dollars,Valor convertido a dólares de los Estados Unidos,,no,,USD,no,"Conversão feita pelo IATI Tables usando as taxas do FMI publicadas pelo Code for IATI, na data de value_date","Converted by IATI Tables using the IMF rates published by Code for IATI, at value_date","Conversión hecha por IATI Tables usando las tasas del FMI publicadas por Code for IATI, en la fecha de value_date",value_usd
percentage_used,FLOAT64,Parcela do valor da transação atribuída a esta combinação de setor e destino,Share of the transaction's value attributed to this combination of sector and destination,Parte del valor de la transacción atribuida a esta combinación de sector y destino,,no,,percent,no,Declarado pelo publicador; a soma dentro de uma atividade nem sempre fecha em 100,Declared by the publisher; the sum within an activity does not always add to 100,Declarado por el publicador; la suma dentro de una actividad no siempre suma 100,percentage_used
