name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
station_id,STRING,Código de identificação da estação no GHCN-Daily,GHCN-Daily station identification code,Código de identificación de la estación en GHCN-Daily,,no,,,no,"Chave primária da tabela. Os dois primeiros caracteres são o código FIPS do país, o terceiro identifica a rede de numeração. | Primary key of the table. The first two characters are the FIPS country code and the third identifies the station numbering network. | Clave primaria de la tabla. Los dos primeros caracteres son el código FIPS del país y el tercero identifica la red de numeración.",ID
country_code,STRING,Código FIPS do país onde a estação está localizada,FIPS code of the country where the station is located,Código FIPS del país donde se ubica la estación,,no,,,no,Derivado dos dois primeiros caracteres de station_id. | Derived from the first two characters of station_id. | Derivado de los dos primeros caracteres de station_id.,
country_name,STRING,Nome do país onde a estação está localizada,Name of the country where the station is located,Nombre del país donde se ubica la estación,,no,,,no,,ghcnd-countries.txt NAME
network_code,STRING,Código da rede de numeração que atribuiu o identificador da estação,Code of the numbering network that assigned the station identifier,Código de la red de numeración que asignó el identificador de la estación,,yes,,,no,Terceiro caractere de station_id. | Third character of station_id. | Tercer carácter de station_id.,
state_code,STRING,"Código postal do estado ou província, apenas para estações dos Estados Unidos e do Canadá","Postal code of the state or province, for United States and Canadian stations only","Código postal del estado o provincia, solo para estaciones de Estados Unidos y Canadá",,no,,,no,,STATE
state_name,STRING,"Nome do estado, território ou província","Name of the state, territory or province","Nombre del estado, territorio o provincia",,no,,,no,,ghcnd-states.txt NAME
station_name,STRING,Nome da estação,Name of the station,Nombre de la estación,,no,,,no,,NAME
latitude,FLOAT64,Latitude da estação em graus decimais,Latitude of the station in decimal degrees,Latitud de la estación en grados decimales,,no,,,no,,LATITUDE
longitude,FLOAT64,Longitude da estação em graus decimais,Longitude of the station in decimal degrees,Longitud de la estación en grados decimales,,no,,,no,,LONGITUDE
elevation,FLOAT64,Altitude da estação,Elevation of the station,Altitud de la estación,,no,,meter,no,"O valor sentinela -999.9 da fonte foi convertido para nulo, o que ocorre em 4.619 das 132.501 estações. | The source sentinel -999.9 was converted to null, which affects 4,619 of the 132,501 stations. | El valor centinela -999.9 de la fuente se convirtió a nulo, lo que afecta a 4.619 de las 132.501 estaciones.",ELEVATION
gsn_flag,STRING,Indica se a estação pertence à GCOS Surface Network,Indicates whether the station belongs to the GCOS Surface Network,Indica si la estación pertenece a la GCOS Surface Network,,yes,,,no,Nulo para estações fora da rede. | Null for stations outside the network. | Nulo para estaciones fuera de la red.,GSN FLAG
hcn_crn_flag,STRING,Indica se a estação pertence à U.S. Historical Climatology Network ou à U.S. Climate Reference Network,Indicates whether the station belongs to the U.S. Historical Climatology Network or the U.S. Climate Reference Network,Indica si la estación pertenece a la U.S. Historical Climatology Network o a la U.S. Climate Reference Network,,yes,,,no,Nulo para estações fora dessas redes. | Null for stations outside those networks. | Nulo para estaciones fuera de esas redes.,HCN/CRN FLAG
wmo_id,STRING,Número da estação na Organização Meteorológica Mundial,World Meteorological Organization number of the station,Número de la estación en la Organización Meteorológica Mundial,,no,,,no,Nulo quando a estação não tem número WMO atribuído. | Null when the station has no WMO number assigned. | Nulo cuando la estación no tiene número WMO asignado.,WMO ID
