name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano de referência da observação,Reference year of the observation,Año de referencia de la observación,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Nos cubos com dimensão temporal vem de TIME_PERIOD; nos cubos sem dimensão temporal é extraída do atributo REF_PERIOD,Partition column. In cubes with a time dimension it comes from TIME_PERIOD; in cubes without one it is parsed from the REF_PERIOD attribute,Columna de particionamiento. En los cubos con dimensión temporal proviene de TIME_PERIOD; en los cubos sin ella se extrae del atributo REF_PERIOD,TIME_PERIOD
country_iso3_code,STRING,Código ISO 3166-1 alfa-3 do país da observação,ISO 3166-1 alpha-3 code of the observation's country,Código ISO 3166-1 alfa-3 del país de la observación,,no,br_bd_diretorios_mundo.pais:id_pais,,no,"Derivada de reference_area. Vazia quando a área não é um país, como nas entidades subnacionais e nos agregados do tipo OECD ou EU25","Derived from reference_area. Empty when the area is not a country, as for subnational entities and aggregates such as OECD or EU25","Derivada de reference_area. Vacía cuando el área no es un país, como en las entidades subnacionales y los agregados del tipo OECD o EU25",REF_AREA
reference_area,STRING,"Área de referência da observação: país, entidade subnacional ou agregado","Reference area of the observation: country, subnational entity or aggregate","Área de referencia de la observación: país, entidad subnacional o agregado",,yes,,,no,,,,REF_AREA
sex,STRING,Sexo da população de referência,Sex of the reference population,Sexo de la población de referencia,,yes,,,no,,,,SEX
age,STRING,Idade ou faixa etária da população de referência,Age or age band of the reference population,Edad o grupo de edad de la población de referencia,,yes,,,no,,,,AGE
attainment_level,STRING,Nível de escolaridade concluído pela pessoa,Highest level of education the person completed,Nivel de escolaridad completado por la persona,,yes,,,no,,,,ATTAINMENT_LEV
education_field,STRING,Área de formação segundo a CINE-F 2013,Field of education under ISCED-F 2013,Ámbito de formación según la CINE-F 2013,,yes,,,no,,,,EDUCATION_FIELD
measure,STRING,Grandeza medida pela observação,Quantity the observation measures,Magnitud que mide la observación,,yes,,,no,,,,MEASURE
income,STRING,Faixa de rendimento relativa à mediana,Earnings band relative to the median,Tramo de ingresos relativo a la mediana,,yes,,,no,,,,INCOME
birth_place,STRING,"Local de nascimento, distinguindo nativos de imigrantes","Place of birth, separating native-born from foreign-born","Lugar de nacimiento, distinguiendo nativos de inmigrantes",,yes,,,no,,,,BIRTH_PLACE
migration_age,STRING,Idade em que a pessoa imigrou,Age at which the person migrated,Edad a la que la persona migró,,yes,,,no,,,,MIGRATION_AGE
education_status,STRING,Situação da pessoa quanto à participação em educação ou formação,Whether the person is in education or training,Situación de la persona respecto a su participación en educación o formación,,yes,,,no,,,,EDU_STATUS
labour_force_status,STRING,Condição da pessoa perante a força de trabalho,Person's status with respect to the labour force,Condición de la persona respecto a la fuerza de trabajo,,yes,,,no,,,,LABOUR_FORCE_STATUS
unemployment_duration,STRING,Tempo decorrido de desemprego,Length of time spent unemployed,Tiempo transcurrido de desempleo,,yes,,,no,,,,DURATION_UNEMP
unit_measure,STRING,Unidade em que a observação está expressa,Unit in which the observation is expressed,Unidad en que se expresa la observación,,yes,,,no,,,,UNIT_MEASURE
statistical_operation,STRING,"Operação estatística aplicada ao valor, por exemplo média ou mediana","Statistical operation applied to the value, such as mean or median","Operación estadística aplicada al valor, por ejemplo media o mediana",,yes,,,no,,,,STATISTICAL_OPERATION
work_time_arrangement,STRING,Regime de jornada de trabalho: tempo integral ou parcial,Working time arrangement: full-time or part-time,Régimen de jornada laboral: tiempo completo o parcial,,yes,,,no,,,,WORK_TIME_ARNGMNT
questionnaire,STRING,Questionário do qual a observação foi extraída,Questionnaire the observation was drawn from,Cuestionario del que se extrajo la observación,,yes,,,no,,,,QUESTIONNAIRE
frequency,STRING,Periodicidade da série,Frequency of the series,Periodicidad de la serie,,yes,,,no,,,,FREQ
obs_value,FLOAT64,Valor da observação,Value of the observation,Valor de la observación,,no,,,no,A unidade varia por linha e está registrada em unit_measure; o valor deve ser multiplicado por dez elevado a unit_multiplier,The unit varies by row and is recorded in unit_measure; the value must be multiplied by ten to the power of unit_multiplier,La unidad varía por fila y se registra en unit_measure; el valor debe multiplicarse por diez elevado a unit_multiplier,OBS_VALUE
confidentiality_status,STRING,Situação de confidencialidade da observação,Confidentiality status of the observation,Situación de confidencialidad de la observación,,yes,,,no,,,,CONF_STATUS
decimals,STRING,Número de casas decimais com que a fonte publica o valor,Number of decimal places the source publishes the value with,Número de decimales con que la fuente publica el valor,,yes,,,no,,,,DECIMALS
obs_status,STRING,"Situação da observação, incluindo o motivo de ausência do valor","Status of the observation, including why a value is absent","Situación de la observación, incluido el motivo de ausencia del valor",,yes,,,no,,,,OBS_STATUS
unit_multiplier,STRING,Potência de dez pela qual o valor deve ser multiplicado,Power of ten the value must be multiplied by,Potencia de diez por la que debe multiplicarse el valor,,yes,,,no,,,,UNIT_MULT
source_flow,STRING,Dataflow SDMX de onde a linha foi extraída,SDMX dataflow the row was extracted from,Dataflow SDMX del que se extrajo la fila,,no,,,no,"Registrada porque algumas tabelas unem mais de uma versão do dataflow, e a versão identifica a edição do Education at a Glance","Recorded because some tables union more than one dataflow version, and the version identifies the Education at a Glance edition","Registrada porque algunas tablas unen más de una versión del dataflow, y la versión identifica la edición de Education at a Glance",
source_flow_version,STRING,Versão do dataflow SDMX de onde a linha foi extraída,Version of the SDMX dataflow the row was extracted from,Versión del dataflow SDMX del que se extrajo la fila,,no,,,no,"A OCDE mantém versões antigas publicadas. Nos cubos sem dimensão temporal, versões sucessivas cobrem anos de referência distintos","The OECD keeps older versions published. In cubes with no time dimension, successive versions cover different reference years","La OCDE mantiene publicadas las versiones antiguas. En los cubos sin dimensión temporal, versiones sucesivas cubren años de referencia distintos",
