name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano de referência da observação,Reference year of the observation,Año de referencia de la observación,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento,Partition column,Columna de particionamiento,TIME_PERIOD
country_iso3_code,STRING,Código ISO 3166-1 alfa-3 do país da observação,ISO 3166-1 alpha-3 code of the observation's country,Código ISO 3166-1 alfa-3 del país de la observación,,no,br_bd_diretorios_mundo.pais:sigla_iso3,,no,"Derivado de reference_area; vazio quando a área é um agregado (ex.: OECD_REP, A9) e não um país","Derived from reference_area; empty when the area is an aggregate (e.g. OECD_REP, A9) rather than a country","Derivado de reference_area; vacío cuando el área es un agregado (p. ej. OECD_REP, A9) y no un país",
reference_area,STRING,"Área de referência da observação: um país ou um agregado, no código de área SDMX da OCDE","Reference area of the observation: a country or an aggregate, in the OECD SDMX area code","Área de referencia de la observación: un país o un agregado, en el código de área SDMX de la OCDE",,no,,,no,Preserva os agregados da OCDE (ex.: OECD_REP) que não têm código ISO3; os países resolvem-se pelo diretório via country_iso3_code,Preserves OECD aggregates (e.g. OECD_REP) that have no ISO3 code; countries resolve to the directory via country_iso3_code,Conserva los agregados de la OCDE (p. ej. OECD_REP) que no tienen código ISO3; los países se resuelven al directorio vía country_iso3_code,REF_AREA
government_level_id,STRING,Nível de governo que arrecada a receita (setor institucional do SCN),Level of government receiving the revenue (SNA institutional sector),Nivel de gobierno que recauda el ingreso (sector institucional del SCN),,yes,,,no,S13 governo geral; S1311 central; S1312 estadual; S1313 local; S1314 fundos de seguridade social,S13 general government; S1311 central; S1312 state; S1313 local; S1314 social security funds,S13 gobierno general; S1311 central; S1312 estatal; S1313 local; S1314 fondos de seguridad social,SECTOR
tax_category_id,STRING,Categoria de imposto na classificação da OCDE (código T_),Tax category in the OECD classification (T_ code),Categoría de impuesto en la clasificación de la OCDE (código T_),,yes,,,no,Classificação hierárquica; use tax_category_parent_id para evitar dupla contagem ao somar categorias. A categoria não alocável T_1300 divide impostos sobre a renda entre pessoas físicas e jurídicas,Hierarchical classification; use tax_category_parent_id to avoid double-counting when summing categories. The unallocable category T_1300 splits income taxes between individuals and corporations,Clasificación jerárquica; use tax_category_parent_id para evitar el doble conteo al sumar categorías. La categoría no asignable T_1300 divide los impuestos a la renta entre personas físicas y jurídicas,STANDARD_REVENUE
tax_category_parent_id,STRING,Categoria de imposto imediatamente superior na hierarquia da OCDE,Immediate parent tax category in the OECD hierarchy,Categoría de impuesto inmediatamente superior en la jerarquía de la OCDE,,yes,,,no,Vazio para os totais no topo da hierarquia,Empty for the top-level totals,Vacío para los totales en la cima de la jerarquía,
tax_category_code,STRING,Código numérico da OCDE da categoria de imposto (ex.: 1000),Numeric OECD code of the tax category (e.g. 1000),Código numérico de la OCDE de la categoría de impuesto (p. ej. 1000),,no,,,no,,,,REVENUE_CODE
pct_gdp,FLOAT64,Receita como percentagem do PIB,Revenue as a percentage of GDP,Ingreso como porcentaje del PIB,,no,,percent,no,Unidade PT_B1GQ da OCDE,OECD unit PT_B1GQ,Unidad PT_B1GQ de la OCDE,
pct_institutional_sector,FLOAT64,Receita como percentagem da receita total do mesmo nível de governo,Revenue as a percentage of total revenue at the same government level,Ingreso como porcentaje del ingreso total del mismo nivel de gobierno,,no,,percent,no,Unidade PT_OTR_SECTOR; no nível de governo geral (S13) equivale à participação na arrecadação total,OECD unit PT_OTR_SECTOR; at the general-government level (S13) it equals the share of total taxation,Unidad PT_OTR_SECTOR; en el nivel de gobierno general (S13) equivale a la participación en la recaudación total,
pct_revenue_category,FLOAT64,Receita como percentagem da categoria de imposto imediatamente superior,Revenue as a percentage of the parent tax category,Ingreso como porcentaje de la categoría de impuesto superior,,no,,percent,no,Unidade PT_OTR_REV_CAT,OECD unit PT_OTR_REV_CAT,Unidad PT_OTR_REV_CAT de la OCDE,
value_national_currency,FLOAT64,Receita em moeda nacional,Revenue in national currency,Ingreso en moneda nacional,,no,,,no,"Moeda indicada na coluna currency; valor absoluto, com o multiplicador de unidade da OCDE já aplicado; unidade XDC","Currency given in the currency column; absolute value, with the OECD unit multiplier already applied; unit XDC","Moneda indicada en la columna currency; valor absoluto, con el multiplicador de unidad de la OCDE ya aplicado; unidad XDC",
value_usd,FLOAT64,Receita em dólares dos Estados Unidos,Revenue in US dollars,Ingreso en dólares estadounidenses,,no,,,no,"Valor absoluto, com o multiplicador de unidade da OCDE já aplicado; unidade USD","Absolute value, with the OECD unit multiplier already applied; unit USD","Valor absoluto, con el multiplicador de unidad de la OCDE ya aplicado; unidad USD",
currency,STRING,Código ISO 4217 da moeda nacional usada em value_national_currency,ISO 4217 code of the national currency used in value_national_currency,Código ISO 4217 de la moneda nacional usada en value_national_currency,,no,,,no,,,,CURRENCY
observation_status,STRING,Situação da observação segundo a OCDE (ex.: A = valor normal),Observation status per the OECD (e.g. A = normal value),Situación de la observación según la OCDE (p. ej. A = valor normal),,yes,,,no,,,,OBS_STATUS
source_flow_version,STRING,Versão do dataflow SDMX da OCDE de onde a linha foi extraída,Version of the OECD SDMX dataflow the row was extracted from,Versión del dataflow SDMX de la OCDE del que se extrajo la fila,,no,,,no,A OCDE codifica as edições (vintages) como versões do dataflow; registrada para rastrear a edição,The OECD encodes editions (vintages) as dataflow versions; recorded to track the edition,La OCDE codifica las ediciones (vintages) como versiones del dataflow; registrada para rastrear la edición,
