name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
country_code,STRING,Código da área geográfica na notação da WID,,no,,,no,Detalhado na tabela country,country,WID code for the geographic area,Código del área geográfica en la notación de WID
variable,STRING,Código completo da variável na notação da WID,,no,,,no,"Junto com country_code forma a chave da tabela: cada linha descreve uma série publicada para uma área geográfica",variable,Full WID variable code,Código completo de la variable en la notación de WID
series_type,STRING,Código do tipo de série,,yes,,,no,Primeiro caractere de variable,,Series type code,Código del tipo de serie
concept,STRING,Código do conceito econômico medido,,no,,,no,Caracteres 2 a 6 de variable,,Code of the economic concept measured,Código del concepto económico medido
pop,STRING,Código da unidade populacional,,yes,,,no,Caractere 7 de variable,pop,Population unit code,Código de la unidad poblacional
age,STRING,Código da faixa etária da população de referência,,yes,,,no,Caracteres 8 a 10 de variable,age,Age group code of the reference population,Código del grupo de edad de la población de referencia
country_name,STRING,Nome da área geográfica conforme publicado pela WID,,no,,,no,,countryname,Name of the geographic area as published by WID,Nombre del área geográfica según publicado por WID
name,STRING,Nome do conceito econômico medido pela série,,no,,,no,"Rótulo por extenso do código em concept, por exemplo Pretax national income para ptinc",shortname,Name of the economic concept measured by the series,Nombre del concepto económico medido por la serie
simple_description,STRING,Descrição não técnica do conceito medido,,no,,,no,Vazio em boa parte das séries,simpledes,Non-technical description of the concept measured,Descripción no técnica del concepto medido
technical_description,STRING,Descrição técnica do conceito medido,,no,,,no,Vazio em boa parte das séries,technicaldes,Technical description of the concept measured,Descripción técnica del concepto medido
type_name,STRING,Nome do tipo de série,,no,,,no,"Rótulo por extenso de series_type, por exemplo Average, Share, Threshold",shorttype,Name of the series type,Nombre del tipo de serie
type_description,STRING,Descrição do tipo de série,,no,,,no,,longtype,Description of the series type,Descripción del tipo de serie
pop_name,STRING,Nome da unidade populacional,,no,,,no,"Rótulo por extenso de pop, por exemplo individuals, equal-split adults",shortpop,Name of the population unit,Nombre de la unidad poblacional
pop_description,STRING,Descrição da unidade populacional,,no,,,no,,longpop,Description of the population unit,Descripción de la unidad poblacional
age_name,STRING,Nome da faixa etária,,no,,,no,"Rótulo por extenso de age, por exemplo All Ages, Adults",shortage,Name of the age group,Nombre del grupo de edad
age_description,STRING,Descrição da faixa etária,,no,,,no,,longage,Description of the age group,Descripción del grupo de edad
unit,STRING,Unidade de medida dos valores da série,,no,,,no,"Define a unidade da coluna value na tabela indicator. Assume 161 valores distintos, entre códigos de moeda (BRL, EUR, USD) e unidades relativas (% of national income, % of GDP, population)",unit,Unit of measurement of the series values,Unidad de medida de los valores de la serie
source,STRING,Fonte primária dos dados da série,,no,,,no,"Segmentado por intervalo de anos. A marcação de hiperlinks do arquivo de origem foi convertida em texto corrido seguido da URL entre parênteses",source,Primary source of the series data,Fuente primaria de los datos de la serie
method,STRING,Método de construção da série,,no,,,no,"Segmentado por intervalo de anos. A marcação de hiperlinks do arquivo de origem foi convertida em texto corrido seguido da URL entre parênteses",method,Method used to construct the series,Método de construcción de la serie
extrapolation,STRING,Intervalos de anos em que os valores foram extrapolados,,no,,,no,"Lista de pares de anos na notação do arquivo de origem, por exemplo [[1990, 2020]]",extrapolation,Year ranges over which values were extrapolated,Intervalos de años en los que los valores fueron extrapolados
data_points,STRING,Anos com observação primária disponível,,no,,,no,Vazio na maior parte das séries,data_points,Years with a primary observation available,Años con observación primaria disponible
data_quality_score,FLOAT64,Índice médio de qualidade dos dados da série,,no,,,no,"Escala de 0 a 5 com uma casa decimal. Nulo em 384.620 das 395.977 séries, incluindo todos os agregados regionais, cuja coluna não é publicada pelo arquivo de origem",data_quality_score,Average data quality index of the series,Índice medio de calidad de los datos de la serie
