CO_NCM,CO_UNID,CO_SH6,CO_PPE,CO_PPI,CO_FAT_AGREG,CO_CUCI_ITEM,CO_CGCE_N3,CO_SIIT,CO_ISIC_CLASSE,CO_EXP_SUBSET,NO_NCM_POR,NO_NCM_ESP,NO_NCM_ING
38247200,10,382472,3990,3639,03,59899,240,2000,2029,1499,"Outras misturas que contenham bromoclorodifluorometano, bromotrifluorometano ou dibromotetrafluoroetanos","Otras mezclas que contenga bromoclorodifluorometano, bromotrifluorometano y dibromotetrafluoroetano","Other mix. cont. bromochlorodifluoromethane,bromotrifluoromethane and dibromotetrafluoroethane"
38247300,10,382473,3990,3639,03,59899,240,2000,2029,1499,Outras misturas que contenham hidrobromofluorcarbonetos (HBFC),Otras mezclas que contenga hidrobromofluorocarburo (hbfc),Other mixtures contain. hydrobromofluorocarbons (hbfc)
38247410,10,382474,3990,3639,03,59899,240,2000,2029,1499,Preparações que contenham clorodifluormetano e pentafluoretano,Preparados a base de clorodifluorometano/pentafluoroetano,Prepared based on chlorodifluoromethane/pentafluoroethane
38247420,10,382474,3990,3639,03,59899,240,2000,2029,1499,Preparações que contenham clorodifluormetano e clorotetrafluoretano,Preparados a base de clorodifluorometano/clorotetrafluoroetano,Prepared based on chlorodifluoromethane/chlorotetrafluoroethane
38247490,10,382474,3990,3639,03,59899,240,2000,2029,1499,Outros produtos preparados à base de compostos orgânicos,Otros productos preparados a base de compuestos orgánicos,Other products prepared based on organic compounds
30041015,10,300410,3338,3338,03,54213,322,1000,2100,1406,"Medicamento contendo penicilina g procaínica, em doses","Medicamento q.contenga penicilina g procaínica, en dosis","Medicament cont.penicillin g procaine, in doses"
30041019,10,300410,3338,3338,03,54213,322,1000,2100,1406,Medicamento cont.outs.penicilinas/seus derivs.em doses,Medicamento q.cont.dem.penicilinas/sus derivs.en dosis,"Medicament cont.oth.penicillin/its derivatives, in doses"
30041020,10,300410,3338,3338,03,54213,322,1000,2100,1406,"Medicamento contendo estreptomicinas/seus derivados, em doses",Medicamento q.cont.estreptomicinas/sus derivs.en dosis,"Medicament cont.streptomycins/its derivatives, in doses"
30042011,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo cloranfenicol/seu palmitato, etc, em doses","Medicamento c/cloranfenicol/su palmitato, etc.en dosis","Medicament c/chloramphenicol, its palmitate, etc.in doses"
30042019,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo anfenicóis/outros sais, em doses","Medicamento q.contenga anfenicoles/otros sales, en dosis","Medicament c/amphenicols/other salts, in doses"
30042021,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo eritromicina ou seus sais, em doses","Medicamento q.contenga eritromicina o sus sales, en dos.","Medicament c/erythromycin or its salts, in doses"
30042029,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Outros medicamentos contendo macrolídeos/derivados, em doses","Los dem.medicamentos q cont.macrólidos/derivs., en dosis","Oth.medicam.c/macrolides/derivatives, in doses"
38247190,10,382471,3990,3639,03,59899,240,2000,2029,1499,Outras misturas contendo hidrocarboneto acíclico peralogenado com fluor e cloro,Las dem.mezclas c/hidroc.acícl.perhal.c/fluor y cloro,Ot.mixtures c/acycl.perhalog.hydroc.c/fluorine/chlorine
30042031,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo rifamicina sv sódica, em doses","Medicamento q contenga rifamicina sv sódica, en dosis","Medicament c/rifamycin sv sodium, in doses"
30042032,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo rifampicina, em doses","Medicamento que contenga rifampicina, en dosis","Medicament containig rifampicin, in doses"
30042039,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Outros medicamentos contendo ansamicinas/derivados, em doses",Los dem.medicamentos q.cont.ansamicinas/derivs.en dosis,"Other medicaments cont.ansamycin/deriv., in doses"
30042041,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo cloridrato de lincomicina, em doses","Medicamento q cont.clorhidrato de lincomicina, en dosis","Medicament contain.lincomycin hydrochloride, in doses"
30042049,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Outros medicamentos contendo lincosamidas/derivados, em dose",Los dem.medicamentos qcont.lincosamidas/derivs.en dosis,"Other medicaments cont.lincosamides/deriv., in doses"
30042051,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo cafalotina sódica, em doses","Medicamento q.contenga cefalotina sódica, en dosis","Medicament contain.cephalothin sodium, in doses"
30042052,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Medicamento contendo cefaclor/cefalexina monoidratadas, em doses",Medicamento c/cefaclor/cefalexina monohidrats.en dosis,"Medicam.con.cephalothin/cephalexin monohydrate, in doses"
30042059,10,300420,3338,3338,03,54219,322,1000,2100,1406,"Outros medicamentos contendo cefalosporinas, etc, em dose","Los dem.medicamentos q.cont.cefalosporinas, etc.dosis","Other medicaments cont.cephalosporin, etc.in doses"
